; Candidate 2693
; ADRP+ADD at VM 0xfffffff0086e24b0 (fileoff 0x16de4b0): page=0x1fea4f000 add_imm=0xd90

0xfffffff0086e2430: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0086e2434: 890240f9  ldr	x9, [x20]
0xfffffff0086e2438: 2909158b  add	x9, x9, x21, lsl #2
0xfffffff0086e243c: 2a6d42b9  ldr	w10, [x9, #0x26c]
0xfffffff0086e2440: 087d0053  lsr	w8, w8, #0
0xfffffff0086e2444: 0a250033  bfxil	w10, w8, #0, #0xa
0xfffffff0086e2448: 2a6d02b9  str	w10, [x9, #0x26c]
0xfffffff0086e244c: b5060091  add	x21, x21, #1
0xfffffff0086e2450: e82b40f9  ldr	x8, [sp, #0x50]
0xfffffff0086e2454: 1f0115eb  cmp	x8, x21
0xfffffff0086e2458: 41e0ff54  b.ne	#0xfffffff0086e2060
0xfffffff0086e245c: 880240f9  ldr	x8, [x20]
0xfffffff0086e2460: 1fc101b9  str	wzr, [x8, #0x1c0]
0xfffffff0086e2464: 880240f9  ldr	x8, [x20]
0xfffffff0086e2468: 1fc501b9  str	wzr, [x8, #0x1c4]
0xfffffff0086e246c: 880240f9  ldr	x8, [x20]
0xfffffff0086e2470: 1fc901b9  str	wzr, [x8, #0x1c8]
0xfffffff0086e2474: 880240f9  ldr	x8, [x20]
0xfffffff0086e2478: 1fcd01b9  str	wzr, [x8, #0x1cc]
0xfffffff0086e247c: e84f40b9  ldr	w8, [sp, #0x4c]
0xfffffff0086e2480: 480a0034  cbz	w8, #0xfffffff0086e25c8
0xfffffff0086e2484: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0086e2488: 098d8452  mov	w9, #0x2468
0xfffffff0086e248c: 09696938  ldrb	w9, [x8, x9]
0xfffffff0086e2490: 29020034  cbz	w9, #0xfffffff0086e24d4
0xfffffff0086e2494: 0a7564b9  ldr	w10, [x8, #0x2474]
0xfffffff0086e2498: 097964b9  ldr	w9, [x8, #0x2478]
0xfffffff0086e249c: 10000014  b	#0xfffffff0086e24dc
0xfffffff0086e24a0: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff0086e24a4: 6853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086e24a8: 08bd1991  add	x8, x8, #0x66f
0xfffffff0086e24ac: e80300f9  str	x8, [sp]
0xfffffff0086e24b0: 6052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e24b4: 00403691  add	x0, x0, #0xd90
0xfffffff0086e24b8: c198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e24bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e24c0: 8352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e24c4: 63e01d91  add	x3, x3, #0x778
0xfffffff0086e24c8: 02008052  mov	w2, #0
0xfffffff0086e24cc: 1943f197  bl	#0xfffffff008333130
0xfffffff0086e24d0: ce000014  b	#0xfffffff0086e2808
0xfffffff0086e24d4: 0a0080d2  mov	x10, #0
0xfffffff0086e24d8: 090080d2  mov	x9, #0
0xfffffff0086e24dc: ef3340f9  ldr	x15, [sp, #0x60]
0xfffffff0086e24e0: 0c9950f9  ldr	x12, [x8, #0x2130]
0xfffffff0086e24e4: 8b0940f9  ldr	x11, [x12, #0x10]
0xfffffff0086e24e8: 883540b9  ldr	w8, [x12, #0x34]
0xfffffff0086e24ec: 680108ab  adds	x8, x11, x8
0xfffffff0086e24f0: ee379f1a  cset	w14, hs
0xfffffff0086e24f4: 480108ab  adds	x8, x10, x8
0xfffffff0086e24f8: ed379f1a  cset	w13, hs
0xfffffff0086e24fc: 2a008052  mov	w10, #1
0xfffffff0086e2500: ee160037  tbnz	w14, #0, #0xfffffff0086e27dc
0xfffffff0086e2504: cd160037  tbnz	w13, #0, #0xfffffff0086e27dc
0xfffffff0086e2508: 8a3940b9  ldr	w10, [x12, #0x38]
0xfffffff0086e250c: 6a010aab  adds	x10, x11, x10
0xfffffff0086e2510: ec379f1a  cset	w12, hs
0xfffffff0086e2514: 29010aab  adds	x9, x9, x10
0xfffffff0086e2518: eb379f1a  cset	w11, hs
0xfffffff0086e251c: 4a008052  mov	w10, #2
0xfffffff0086e2520: ec150037  tbnz	w12, #0, #0xfffffff0086e27dc
0xfffffff0086e2524: cb150035  cbnz	w11, #0xfffffff0086e27dc
0xfffffff0086e2528: 8a0240f9  ldr	x10, [x20]
0xfffffff0086e252c: 4bc141b9  ldr	w11, [x10, #0x1c0]
