; Candidate 1339
; ADRP+ADD at VM 0xfffffff008358f18 (fileoff 0x1354f18): page=0x1ff627000 add_imm=0xd30

0xfffffff008358e98: 03008052  mov	w3, #0
0xfffffff008358e9c: f10309aa  mov	x17, x9
0xfffffff008358ea0: 51a9e6f2  movk	x17, #0x354a, lsl #48
0xfffffff008358ea4: 11093fd7  blraa	x8, x17
0xfffffff008358ea8: 80010037  tbnz	w0, #0, #0xfffffff008358ed8
0xfffffff008358eac: 900240f9  ldr	x16, [x20]
0xfffffff008358eb0: f10314aa  mov	x17, x20
0xfffffff008358eb4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008358eb8: 301ac1da  autda	x16, x17
0xfffffff008358ebc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008358ec0: e90310aa  mov	x9, x16
0xfffffff008358ec4: e00314aa  mov	x0, x20
0xfffffff008358ec8: f10309aa  mov	x17, x9
0xfffffff008358ecc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008358ed0: 11093fd7  blraa	x8, x17
0xfffffff008358ed4: 140080d2  mov	x20, #0
0xfffffff008358ed8: 08f600b0  adrp	x8, #0xfffffff00a219000
0xfffffff008358edc: 14f107f9  str	x20, [x8, #0xfe0]
0xfffffff008358ee0: c9d50294  bl	#0xfffffff00840e604
0xfffffff008358ee4: 28b1fff0  adrp	x8, #0xfffffff00797f000
0xfffffff008358ee8: 085d4db9  ldr	w8, [x8, #0xd5c]
0xfffffff008358eec: 08511d12  and	w8, w8, #0xfffff8
0xfffffff008358ef0: 1f610271  cmp	w8, #0x98
0xfffffff008358ef4: 22010054  b.hs	#0xfffffff008358f18
0xfffffff008358ef8: a0aeffb0  adrp	x0, #0xfffffff00792d000
0xfffffff008358efc: 00c01c91  add	x0, x0, #0x730
0xfffffff008358f00: 01138052  mov	w1, #0x98
0xfffffff008358f04: 82008252  mov	w2, #0x1004
0xfffffff008358f08: 8200a072  movk	w2, #4, lsl #16
0xfffffff008358f0c: 030080d2  mov	x3, #0
0xfffffff008358f10: 7c35e997  bl	#0xfffffff007da6500
0xfffffff008358f14: 05000014  b	#0xfffffff008358f28
0xfffffff008358f18: 20b1fff0  adrp	x0, #0xfffffff00797f000
0xfffffff008358f1c: 00c03491  add	x0, x0, #0xd30
0xfffffff008358f20: 81008052  mov	w1, #4
0xfffffff008358f24: a736e997  bl	#0xfffffff007da69c0
0xfffffff008358f28: 08f600d0  adrp	x8, #0xfffffff00a21a000
0xfffffff008358f2c: 08c10191  add	x8, x8, #0x70
0xfffffff008358f30: 09138052  mov	w9, #0x98
0xfffffff008358f34: 080129f8  ldadd	x9, x8, [x8]
0xfffffff008358f38: 28008052  mov	w8, #1
0xfffffff008358f3c: 080800b9  str	w8, [x0, #8]
0xfffffff008358f40: f0aeffd0  adrp	x16, #0xfffffff007936000
0xfffffff008358f44: 10421091  add	x16, x16, #0x410
0xfffffff008358f48: 10420091  add	x16, x16, #0x10
0xfffffff008358f4c: f10300aa  mov	x17, x0
0xfffffff008358f50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008358f54: 300ac1da  pacda	x16, x17
0xfffffff008358f58: 100000f9  str	x16, [x0]
0xfffffff008358f5c: 09f600b0  adrp	x9, #0xfffffff00a219000
0xfffffff008358f60: 29811091  add	x9, x9, #0x420
0xfffffff008358f64: 2a910091  add	x10, x9, #0x24
0xfffffff008358f68: 4a0128b8  ldadd	w8, w10, [x10]
0xfffffff008358f6c: 6a000035  cbnz	w10, #0xfffffff008358f78
0xfffffff008358f70: 290940f9  ldr	x9, [x9, #0x10]
0xfffffff008358f74: 89ffffb5  cbnz	x9, #0xfffffff008358f64
0xfffffff008358f78: b4aeffb0  adrp	x20, #0xfffffff00792d000
0xfffffff008358f7c: 806a04f9  str	x0, [x20, #0x8d0]
0xfffffff008358f80: 100040f9  ldr	x16, [x0]
0xfffffff008358f84: f10300aa  mov	x17, x0
0xfffffff008358f88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008358f8c: 301ac1da  autda	x16, x17
0xfffffff008358f90: 11a880d2  mov	x17, #0x540
0xfffffff008358f94: 1002118b  add	x16, x16, x17
