; Candidate 3867
; ADRP+ADD at VM 0xfffffff00876b7b4 (fileoff 0x17677b4): page=0x1fe9c6000 add_imm=0xd90

0xfffffff00876b734: c19240bd  ldr	s1, [x22, #0x90]
0xfffffff00876b738: 21d8617e  ucvtf	d1, d1
0xfffffff00876b73c: 2818601e  fdiv	d8, d1, d0
0xfffffff00876b740: e00315aa  mov	x0, x21
0xfffffff00876b744: 50a3ff97  bl	#0xfffffff008754484
0xfffffff00876b748: 00010034  cbz	w0, #0xfffffff00876b768
0xfffffff00876b74c: e00315aa  mov	x0, x21
0xfffffff00876b750: 29a3ff97  bl	#0xfffffff0087543f4
0xfffffff00876b754: 080b8052  mov	w8, #0x58
0xfffffff00876b758: e84e089b  madd	x8, x23, x8, x19
0xfffffff00876b75c: 098140b9  ldr	w9, [x8, #0x80]
0xfffffff00876b760: 2901004b  sub	w9, w9, w0
0xfffffff00876b764: 098100b9  str	w9, [x8, #0x80]
0xfffffff00876b768: 1601791e  fcvtzu	w22, d8
0xfffffff00876b76c: e00315aa  mov	x0, x21
0xfffffff00876b770: e10316aa  mov	x1, x22
0xfffffff00876b774: e2a2ff97  bl	#0xfffffff0087542fc
0xfffffff00876b778: 080b8052  mov	w8, #0x58
0xfffffff00876b77c: f94e089b  madd	x25, x23, x8, x19
0xfffffff00876b780: 280f48b8  ldr	w8, [x25, #0x80]!
0xfffffff00876b784: 0801160b  add	w8, w8, w22
0xfffffff00876b788: 280300b9  str	w8, [x25]
0xfffffff00876b78c: e00315aa  mov	x0, x21
0xfffffff00876b790: 3aa3ff97  bl	#0xfffffff008754478
0xfffffff00876b794: 1f0c0071  cmp	w0, #3
0xfffffff00876b798: 63020054  b.lo	#0xfffffff00876b7e4
0xfffffff00876b79c: 280340b9  ldr	w8, [x25]
0xfffffff00876b7a0: 0809c01a  udiv	w8, w8, w0
0xfffffff00876b7a4: 11000014  b	#0xfffffff00876b7e8
0xfffffff00876b7a8: 684fffd0  adrp	x8, #0xfffffff007159000
0xfffffff00876b7ac: 08a13e91  add	x8, x8, #0xfa8
0xfffffff00876b7b0: e80300f9  str	x8, [sp]
0xfffffff00876b7b4: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876b7b8: 00403691  add	x0, x0, #0xd90
0xfffffff00876b7bc: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876b7c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876b7c4: a34efff0  adrp	x3, #0xfffffff007142000
0xfffffff00876b7c8: 63fc3e91  add	x3, x3, #0xfbf
0xfffffff00876b7cc: 02008052  mov	w2, #0
0xfffffff00876b7d0: 581eef97  bl	#0xfffffff008333130
0xfffffff00876b7d4: 48588052  mov	w8, #0x2c2
0xfffffff00876b7d8: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff00876b7dc: 15190051  sub	w21, w8, #6
0xfffffff00876b7e0: 27000014  b	#0xfffffff00876b87c
0xfffffff00876b7e4: 08008052  mov	w8, #0
0xfffffff00876b7e8: 090b8052  mov	w9, #0x58
0xfffffff00876b7ec: e94e099b  madd	x9, x23, x9, x19
0xfffffff00876b7f0: 288500b9  str	w8, [x9, #0x84]
0xfffffff00876b7f4: 16830191  add	x22, x24, #0x60
0xfffffff00876b7f8: e00313aa  mov	x0, x19
0xfffffff00876b7fc: e10316aa  mov	x1, x22
0xfffffff00876b800: 42008052  mov	w2, #2
0xfffffff00876b804: c4feff97  bl	#0xfffffff00876b314
0xfffffff00876b808: f50300aa  mov	x21, x0
0xfffffff00876b80c: 80030035  cbnz	w0, #0xfffffff00876b87c
0xfffffff00876b810: a8248952  mov	w8, #0x4925
0xfffffff00876b814: 4892a472  movk	w8, #0x2492, lsl #16
0xfffffff00876b818: 887ea89b  umull	x8, w20, w8
0xfffffff00876b81c: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff00876b820: 8902084b  sub	w9, w20, w8
0xfffffff00876b824: 0805490b  add	w8, w8, w9, lsr #1
0xfffffff00876b828: 087d0253  lsr	w8, w8, #2
0xfffffff00876b82c: 080d084b  sub	w8, w8, w8, lsl #3
0xfffffff00876b830: 8802080b  add	w8, w20, w8
