; Candidate 4834
; ADRP+ADD at VM 0xfffffff0087c8bdc (fileoff 0x17c4bdc): page=0x1fea21000 add_imm=0xe80

0xfffffff0087c8b5c: 68526d39  ldrb	w8, [x19, #0xb54]
0xfffffff0087c8b60: 88f22d39  strb	w8, [x20, #0xb7c]
0xfffffff0087c8b64: 685a4bb9  ldr	w8, [x19, #0xb58]
0xfffffff0087c8b68: 88820bb9  str	w8, [x20, #0xb80]
0xfffffff0087c8b6c: 68624bb9  ldr	w8, [x19, #0xb60]
0xfffffff0087c8b70: 888a0bb9  str	w8, [x20, #0xb88]
0xfffffff0087c8b74: 68464bb9  ldr	w8, [x19, #0xb44]
0xfffffff0087c8b78: 29050011  add	w9, w9, #1
0xfffffff0087c8b7c: 8a220c91  add	x10, x20, #0x308
0xfffffff0087c8b80: eb0309aa  mov	x11, x9
0xfffffff0087c8b84: 0c09c91a  udiv	w12, w8, w9
0xfffffff0087c8b88: 8ca1091b  msub	w12, w12, w9, w8
0xfffffff0087c8b8c: 6c1e0c8b  add	x12, x19, x12, lsl #7
0xfffffff0087c8b90: 8de142b9  ldr	w13, [x12, #0x2e0]
0xfffffff0087c8b94: 4d0100b9  str	w13, [x10]
0xfffffff0087c8b98: 8c510b91  add	x12, x12, #0x2d4
0xfffffff0087c8b9c: 800140fd  ldr	d0, [x12]
0xfffffff0087c8ba0: 40411ffc  stur	d0, [x10, #-0xc]
0xfffffff0087c8ba4: 08050011  add	w8, w8, #1
0xfffffff0087c8ba8: 4a010291  add	x10, x10, #0x80
0xfffffff0087c8bac: 6b0500f1  subs	x11, x11, #1
0xfffffff0087c8bb0: a1feff54  b.ne	#0xfffffff0087c8b84
0xfffffff0087c8bb4: 13008052  mov	w19, #0
0xfffffff0087c8bb8: 5b000014  b	#0xfffffff0087c8d24
0xfffffff0087c8bbc: 7cad0394  bl	#0xfffffff0088b41ac
0xfffffff0087c8bc0: f50300aa  mov	x21, x0
0xfffffff0087c8bc4: e0008052  mov	w0, #7
0xfffffff0087c8bc8: 22cb0294  bl	#0xfffffff00887b850
0xfffffff0087c8bcc: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff0087c8bd0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c8bd4: a80f8052  mov	w8, #0x7d
0xfffffff0087c8bd8: f52300a9  stp	x21, x8, [sp]
0xfffffff0087c8bdc: 0051ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c8be0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c8be4: 0192ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087c8be8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c8bec: 6353fff0  adrp	x3, #0xfffffff007237000
0xfffffff0087c8bf0: 63e03691  add	x3, x3, #0xdb8
0xfffffff0087c8bf4: 02008052  mov	w2, #0
0xfffffff0087c8bf8: 4ea9ed97  bl	#0xfffffff008333130
0xfffffff0087c8bfc: 13f6ffb5  cbnz	x19, #0xfffffff0087c8abc
0xfffffff0087c8c00: 93578052  mov	w19, #0x2bc
0xfffffff0087c8c04: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087c8c08: 60008052  mov	w0, #3
0xfffffff0087c8c0c: 81008052  mov	w1, #4
0xfffffff0087c8c10: f0ca0294  bl	#0xfffffff00887b7d0
0xfffffff0087c8c14: 80080034  cbz	w0, #0xfffffff0087c8d24
0xfffffff0087c8c18: 60008052  mov	w0, #3
0xfffffff0087c8c1c: ffca0294  bl	#0xfffffff00887b818
0xfffffff0087c8c20: f50300aa  mov	x21, x0
0xfffffff0087c8c24: 62ad0394  bl	#0xfffffff0088b41ac
0xfffffff0087c8c28: f40300aa  mov	x20, x0
0xfffffff0087c8c2c: 80008052  mov	w0, #4
0xfffffff0087c8c30: 08cb0294  bl	#0xfffffff00887b850
0xfffffff0087c8c34: d5010034  cbz	w21, #0xfffffff0087c8c6c
0xfffffff0087c8c38: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c8c3c: 08711491  add	x8, x8, #0x51c
0xfffffff0087c8c40: a9478052  mov	w9, #0x23d
0xfffffff0087c8c44: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c8c48: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c8c4c: 08d11791  add	x8, x8, #0x5f4
0xfffffff0087c8c50: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c8c54: 68008052  mov	w8, #3
0xfffffff0087c8c58: f42300a9  stp	x20, x8, [sp]
