; Candidate 8292
; ADRP+ADD at VM 0xfffffff0088a1664 (fileoff 0x189d664): page=0x1fe948000 add_imm=0xe80

0xfffffff0088a15e4: e00318aa  mov	x0, x24
0xfffffff0088a15e8: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff0088a15ec: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff0088a15f0: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff0088a15f4: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff0088a15f8: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff0088a15fc: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff0088a1600: ff830491  add	sp, sp, #0x120
0xfffffff0088a1604: ff0f5fd6  retab	
0xfffffff0088a1608: f87c8012  mov	w24, #-0x3e8
0xfffffff0088a160c: c0ffff17  b	#0xfffffff0088a150c
0xfffffff0088a1610: 187d8012  mov	w24, #-0x3e9
0xfffffff0088a1614: beffff17  b	#0xfffffff0088a150c
0xfffffff0088a1618: e54a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a161c: f70300aa  mov	x23, x0
0xfffffff0088a1620: 80008052  mov	w0, #4
0xfffffff0088a1624: 8b68ff97  bl	#0xfffffff00887b850
0xfffffff0088a1628: 680340f9  ldr	x8, [x27]
0xfffffff0088a162c: 690240b9  ldr	w9, [x19]
0xfffffff0088a1630: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a1634: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a1638: 088d1591  add	x8, x8, #0x563
0xfffffff0088a163c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a1640: 8a9f8052  mov	w10, #0x4fc
0xfffffff0088a1644: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a1648: 08311091  add	x8, x8, #0x40c
0xfffffff0088a164c: e82b02a9  stp	x8, x10, [sp, #0x20]
0xfffffff0088a1650: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a1654: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a1658: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a165c: a80f8052  mov	w8, #0x7d
0xfffffff0088a1660: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a1664: 404aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a1668: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a166c: 218bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a1670: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a1674: 034eff90  adrp	x3, #0xfffffff007261000
0xfffffff0088a1678: 63541991  add	x3, x3, #0x655
0xfffffff0088a167c: 02008052  mov	w2, #0
0xfffffff0088a1680: ac46ea97  bl	#0xfffffff008333130
0xfffffff0088a1684: f87c8012  mov	w24, #-0x3e8
0xfffffff0088a1688: a2ffff17  b	#0xfffffff0088a1510
0xfffffff0088a168c: c84a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a1690: f70300aa  mov	x23, x0
0xfffffff0088a1694: 80008052  mov	w0, #4
0xfffffff0088a1698: 6e68ff97  bl	#0xfffffff00887b850
0xfffffff0088a169c: 480340f9  ldr	x8, [x26]
0xfffffff0088a16a0: 690240b9  ldr	w9, [x19]
0xfffffff0088a16a4: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a16a8: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a16ac: 08f51791  add	x8, x8, #0x5fd
0xfffffff0088a16b0: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a16b4: aaa28052  mov	w10, #0x515
0xfffffff0088a16b8: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a16bc: 08311091  add	x8, x8, #0x40c
0xfffffff0088a16c0: e82b02a9  stp	x8, x10, [sp, #0x20]
0xfffffff0088a16c4: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a16c8: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a16cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a16d0: a80f8052  mov	w8, #0x7d
0xfffffff0088a16d4: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a16d8: 404aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a16dc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a16e0: 218bfff0  adrp	x1, #0xfffffff007a08000
