; Candidate 6534
; ADRP+ADD at VM 0xfffffff0088323b4 (fileoff 0x182e3b4): page=0x1fe9f0000 add_imm=0xd3a

0xfffffff008832334: 7f03ec97  bl	#0xfffffff008333130
0xfffffff008832338: 680240a9  ldp	x8, x0, [x19]
0xfffffff00883233c: 15454039  ldrb	w21, [x8, #0x11]
0xfffffff008832340: 86e4ff97  bl	#0xfffffff00882b558
0xfffffff008832344: bf020071  cmp	w21, #0
0xfffffff008832348: 0818457a  ccmp	w0, #5, #8, ne
0xfffffff00883234c: 6a000054  b.ge	#0xfffffff008832358
0xfffffff008832350: 15008052  mov	w21, #0
0xfffffff008832354: 8b000014  b	#0xfffffff008832580
0xfffffff008832358: 9f2a0071  cmp	w20, #0xa
0xfffffff00883235c: 4b030054  b.lt	#0xfffffff0088323c4
0xfffffff008832360: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff008832364: 280d0035  cbnz	w8, #0xfffffff008832508
0xfffffff008832368: 000b8052  mov	w0, #0x58
0xfffffff00883236c: c1008052  mov	w1, #6
0xfffffff008832370: 18250194  bl	#0xfffffff00887b7d0
0xfffffff008832374: 200c0034  cbz	w0, #0xfffffff0088324f8
0xfffffff008832378: 000b8052  mov	w0, #0x58
0xfffffff00883237c: 27250194  bl	#0xfffffff00887b818
0xfffffff008832380: f60300aa  mov	x22, x0
0xfffffff008832384: 8a070294  bl	#0xfffffff0088b41ac
0xfffffff008832388: f50300aa  mov	x21, x0
0xfffffff00883238c: c0008052  mov	w0, #6
0xfffffff008832390: 30250194  bl	#0xfffffff00887b850
0xfffffff008832394: d6080034  cbz	w22, #0xfffffff0088324ac
0xfffffff008832398: 69318052  mov	w9, #0x18b
0xfffffff00883239c: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff0088323a0: 088d3691  add	x8, x8, #0xda3
0xfffffff0088323a4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088323a8: 080b8052  mov	w8, #0x58
0xfffffff0088323ac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088323b0: f50300f9  str	x21, [sp]
0xfffffff0088323b4: 804fff90  adrp	x0, #0xfffffff007222000
0xfffffff0088323b8: 00e83491  add	x0, x0, #0xd3a
0xfffffff0088323bc: 2914d697  bl	#0xfffffff007db7460
0xfffffff0088323c0: 4e000014  b	#0xfffffff0088324f8
0xfffffff0088323c4: 682a40b9  ldr	w8, [x19, #0x28]
0xfffffff0088323c8: 680d0035  cbnz	w8, #0xfffffff008832574
0xfffffff0088323cc: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0088323d0: 08040034  cbz	w8, #0xfffffff008832450
0xfffffff0088323d4: 08008052  mov	w8, #0
0xfffffff0088323d8: 67000014  b	#0xfffffff008832574
0xfffffff0088323dc: 74070294  bl	#0xfffffff0088b41ac
0xfffffff0088323e0: f50300aa  mov	x21, x0
0xfffffff0088323e4: 80008052  mov	w0, #4
0xfffffff0088323e8: 1a250194  bl	#0xfffffff00887b850
0xfffffff0088323ec: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088323f0: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff0088323f4: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0088323f8: e84efff0  adrp	x8, #0xfffffff007211000
0xfffffff0088323fc: 08591891  add	x8, x8, #0x616
0xfffffff008832400: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008832404: 482f8052  mov	w8, #0x17a
0xfffffff008832408: 894fff90  adrp	x9, #0xfffffff007222000
0xfffffff00883240c: 298d3691  add	x9, x9, #0xda3
0xfffffff008832410: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008832414: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832418: 08813991  add	x8, x8, #0xe60
0xfffffff00883241c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008832420: 080b8052  mov	w8, #0x58
0xfffffff008832424: f52300a9  stp	x21, x8, [sp]
0xfffffff008832428: a04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883242c: 00003a91  add	x0, x0, #0xe80
0xfffffff008832430: a18effd0  adrp	x1, #0xfffffff007a08000
