; Candidate 12261
; ADRP+ADD at VM 0xfffffff00907f064 (fileoff 0x207b064): page=0x1fe3dc000 add_imm=0xe93

0xfffffff00907efe4: e8be42b9  ldr	w8, [x23, #0x2bc]
0xfffffff00907efe8: 08f702b9  str	w8, [x24, #0x2f4]
0xfffffff00907efec: 5a070011  add	w26, w26, #1
0xfffffff00907eff0: a8024b39  ldrb	w8, [x21, #0x2c0]
0xfffffff00907eff4: 989400b0  adrp	x24, #0xfffffff00a30f000
0xfffffff00907eff8: 09e34b39  ldrb	w9, [x24, #0x2f8]
0xfffffff00907effc: 1f01096b  cmp	w8, w9
0xfffffff00907f000: e0050054  b.eq	#0xfffffff00907f0bc
0xfffffff00907f004: 899400d0  adrp	x9, #0xfffffff00a311000
0xfffffff00907f008: 29a10391  add	x9, x9, #0xe8
0xfffffff00907f00c: 29014039  ldrb	w9, [x9]
0xfffffff00907f010: 3fa10071  cmp	w9, #0x28
0xfffffff00907f014: e8020054  b.hi	#0xfffffff00907f070
0xfffffff00907f018: e91effb0  adrp	x9, #0xfffffff00745c000
0xfffffff00907f01c: 295d0491  add	x9, x9, #0x117
0xfffffff00907f020: 0a050051  sub	w10, w8, #1
0xfffffff00907f024: 5f0d0071  cmp	w10, #3
0xfffffff00907f028: c8000054  b.hi	#0xfffffff00907f040
0xfffffff00907f02c: 4a1d4093  sxtb	x10, w10
0xfffffff00907f030: 4b56ffd0  adrp	x11, #0xfffffff007b49000
0xfffffff00907f034: 6b411e91  add	x11, x11, #0x790
0xfffffff00907f038: 6a796af8  ldr	x10, [x11, x10, lsl #3]
0xfffffff00907f03c: 03000014  b	#0xfffffff00907f048
0xfffffff00907f040: ea1effd0  adrp	x10, #0xfffffff00745d000
0xfffffff00907f044: 4a492991  add	x10, x10, #0xa52
0xfffffff00907f048: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff00907f04c: e81eff90  adrp	x8, #0xfffffff00745b000
0xfffffff00907f050: 082d3891  add	x8, x8, #0xe0b
0xfffffff00907f054: cb1effd0  adrp	x11, #0xfffffff007459000
0xfffffff00907f058: 6b2d3f91  add	x11, x11, #0xfcb
0xfffffff00907f05c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00907f060: eb0300f9  str	x11, [sp]
0xfffffff00907f064: e01eff90  adrp	x0, #0xfffffff00745b000
0xfffffff00907f068: 004c3a91  add	x0, x0, #0xe93
0xfffffff00907f06c: ed5fcb97  bl	#0xfffffff008357020
0xfffffff00907f070: e00313aa  mov	x0, x19
0xfffffff00907f074: 58870094  bl	#0xfffffff0090a0dd4
0xfffffff00907f078: a2024b39  ldrb	w2, [x21, #0x2c0]
0xfffffff00907f07c: 100040f9  ldr	x16, [x0]
0xfffffff00907f080: f10300aa  mov	x17, x0
0xfffffff00907f084: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00907f088: 301ac1da  autda	x16, x17
0xfffffff00907f08c: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff00907f090: e90310aa  mov	x9, x16
0xfffffff00907f094: e11effb0  adrp	x1, #0xfffffff00745c000
0xfffffff00907f098: 215c0491  add	x1, x1, #0x117
0xfffffff00907f09c: 03048052  mov	w3, #0x20
0xfffffff00907f0a0: f10309aa  mov	x17, x9
0xfffffff00907f0a4: d17ee2f2  movk	x17, #0x13f6, lsl #48
0xfffffff00907f0a8: 11093fd7  blraa	x8, x17
0xfffffff00907f0ac: 60510036  tbz	w0, #0, #0xfffffff00907fad8
0xfffffff00907f0b0: a8024b39  ldrb	w8, [x21, #0x2c0]
0xfffffff00907f0b4: 08e30b39  strb	w8, [x24, #0x2f8]
0xfffffff00907f0b8: 5a070011  add	w26, w26, #1
0xfffffff00907f0bc: c8124b39  ldrb	w8, [x22, #0x2c4]
0xfffffff00907f0c0: 98940090  adrp	x24, #0xfffffff00a30f000
0xfffffff00907f0c4: 09e74b39  ldrb	w9, [x24, #0x2f9]
0xfffffff00907f0c8: 1f01096b  cmp	w8, w9
0xfffffff00907f0cc: e0050054  b.eq	#0xfffffff00907f188
0xfffffff00907f0d0: 899400d0  adrp	x9, #0xfffffff00a311000
0xfffffff00907f0d4: 29a10391  add	x9, x9, #0xe8
0xfffffff00907f0d8: 29014039  ldrb	w9, [x9]
0xfffffff00907f0dc: 3fa10071  cmp	w9, #0x28
0xfffffff00907f0e0: e8020054  b.hi	#0xfffffff00907f13c
