; Candidate 10283
; ADRP+ADD at VM 0xfffffff008cd1a88 (fileoff 0x1ccda88): page=0x1fe695000 add_imm=0xd51

0xfffffff008cd1a08: 4a213191  add	x10, x10, #0xc48
0xfffffff008cd1a0c: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff008cd1a10: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff008cd1a14: a834ffb0  adrp	x8, #0xfffffff007366000
0xfffffff008cd1a18: 08e53991  add	x8, x8, #0xe79
0xfffffff008cd1a1c: e00300f9  str	x0, [sp]
0xfffffff008cd1a20: e00308aa  mov	x0, x8
0xfffffff008cd1a24: 7f15da97  bl	#0xfffffff008357020
0xfffffff008cd1a28: e00317aa  mov	x0, x23
0xfffffff008cd1a2c: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008cd1a30: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008cd1a34: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008cd1a38: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008cd1a3c: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008cd1a40: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff008cd1a44: ffc30291  add	sp, sp, #0xb0
0xfffffff008cd1a48: ff0f5fd6  retab	
0xfffffff008cd1a4c: f70300aa  mov	x23, x0
0xfffffff008cd1a50: 081e8052  mov	w8, #0xf0
0xfffffff008cd1a54: 03000014  b	#0xfffffff008cd1a60
0xfffffff008cd1a58: f70300aa  mov	x23, x0
0xfffffff008cd1a5c: a81e8052  mov	w8, #0xf5
0xfffffff008cd1a60: e97e4093  sxtw	x9, w23
0xfffffff008cd1a64: aa34ffb0  adrp	x10, #0xfffffff007366000
0xfffffff008cd1a68: 4a513691  add	x10, x10, #0xd94
0xfffffff008cd1a6c: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff008cd1a70: a834ffb0  adrp	x8, #0xfffffff007366000
0xfffffff008cd1a74: 084d3691  add	x8, x8, #0xd93
0xfffffff008cd1a78: aa34ffb0  adrp	x10, #0xfffffff007366000
0xfffffff008cd1a7c: 4a193691  add	x10, x10, #0xd86
0xfffffff008cd1a80: ea2300a9  stp	x10, x8, [sp]
0xfffffff008cd1a84: e91300f9  str	x9, [sp, #0x20]
0xfffffff008cd1a88: a034ffb0  adrp	x0, #0xfffffff007366000
0xfffffff008cd1a8c: 00443591  add	x0, x0, #0xd51
0xfffffff008cd1a90: 7496c397  bl	#0xfffffff007db7460
0xfffffff008cd1a94: 1c008052  mov	w28, #0
0xfffffff008cd1a98: fa0318aa  mov	x26, x24
0xfffffff008cd1a9c: 16f7ffb5  cbnz	x22, #0xfffffff008cd197c
0xfffffff008cd1aa0: 21ffff17  b	#0xfffffff008cd1724
0xfffffff008cd1aa4: 7f2303d5  pacibsp	
0xfffffff008cd1aa8: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008cd1aac: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff008cd1ab0: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff008cd1ab4: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008cd1ab8: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008cd1abc: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008cd1ac0: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008cd1ac4: fd430291  add	x29, sp, #0x90
0xfffffff008cd1ac8: f40301aa  mov	x20, x1
0xfffffff008cd1acc: f30300aa  mov	x19, x0
0xfffffff008cd1ad0: 08204239  ldrb	w8, [x0, #0x88]
0xfffffff008cd1ad4: bb34ffb0  adrp	x27, #0xfffffff007366000
0xfffffff008cd1ad8: 7bcb3c91  add	x27, x27, #0xf32
0xfffffff008cd1adc: ba34ffb0  adrp	x26, #0xfffffff007366000
0xfffffff008cd1ae0: 5a233191  add	x26, x26, #0xc48
0xfffffff008cd1ae4: 28032836  tbz	w8, #5, #0xfffffff008cd1b48
0xfffffff008cd1ae8: 700240f9  ldr	x16, [x19]
0xfffffff008cd1aec: f10313aa  mov	x17, x19
0xfffffff008cd1af0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cd1af4: 301ac1da  autda	x16, x17
0xfffffff008cd1af8: 113d80d2  mov	x17, #0x1e8
0xfffffff008cd1afc: 1002118b  add	x16, x16, x17
0xfffffff008cd1b00: 080240f9  ldr	x8, [x16]
0xfffffff008cd1b04: e90310aa  mov	x9, x16
