; Candidate 3533
; ADRP+ADD at VM 0xfffffff008744d44 (fileoff 0x1740d44): page=0x1fe9ed000 add_imm=0xd90

0xfffffff008744cc4: 8850fff0  adrp	x8, #0xfffffff007157000
0xfffffff008744cc8: 089d3391  add	x8, x8, #0xce7
0xfffffff008744ccc: e84f00a9  stp	x8, x19, [sp]
0xfffffff008744cd0: 604fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008744cd4: 00403691  add	x0, x0, #0xd90
0xfffffff008744cd8: c195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008744cdc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008744ce0: c34fffb0  adrp	x3, #0xfffffff00713d000
0xfffffff008744ce4: 63742f91  add	x3, x3, #0xbdd
0xfffffff008744ce8: 02008052  mov	w2, #0
0xfffffff008744cec: 11b9ef97  bl	#0xfffffff008333130
0xfffffff008744cf0: 78000014  b	#0xfffffff008744ed0
0xfffffff008744cf4: f80300aa  mov	x24, x0
0xfffffff008744cf8: 085041f9  ldr	x8, [x0, #0x2a0]
0xfffffff008744cfc: 080200b4  cbz	x8, #0xfffffff008744d3c
0xfffffff008744d00: f40305aa  mov	x20, x5
0xfffffff008744d04: a8040451  sub	w8, w5, #0x101
0xfffffff008744d08: 1f050431  cmn	w8, #0x101
0xfffffff008744d0c: e8020054  b.hi	#0xfffffff008744d68
0xfffffff008744d10: 94578052  mov	w20, #0x2bc
0xfffffff008744d14: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008744d18: 604fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008744d1c: 00403691  add	x0, x0, #0xd90
0xfffffff008744d20: c195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008744d24: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008744d28: c34fffb0  adrp	x3, #0xfffffff00713d000
0xfffffff008744d2c: 63143191  add	x3, x3, #0xc45
0xfffffff008744d30: 02008052  mov	w2, #0
0xfffffff008744d34: ffb8ef97  bl	#0xfffffff008333130
0xfffffff008744d38: 66000014  b	#0xfffffff008744ed0
0xfffffff008744d3c: 94578052  mov	w20, #0x2bc
0xfffffff008744d40: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008744d44: 604fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008744d48: 00403691  add	x0, x0, #0xd90
0xfffffff008744d4c: c195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008744d50: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008744d54: c34fffb0  adrp	x3, #0xfffffff00713d000
0xfffffff008744d58: 63fc2f91  add	x3, x3, #0xbff
0xfffffff008744d5c: 02008052  mov	w2, #0
0xfffffff008744d60: f4b8ef97  bl	#0xfffffff008333130
0xfffffff008744d64: 5b000014  b	#0xfffffff008744ed0
0xfffffff008744d68: f90307aa  mov	x25, x7
0xfffffff008744d6c: fa0306aa  mov	x26, x6
0xfffffff008744d70: f70301aa  mov	x23, x1
0xfffffff008744d74: e21300f9  str	x2, [sp, #0x20]
0xfffffff008744d78: e32f00b9  str	w3, [sp, #0x2c]
0xfffffff008744d7c: fcc33091  add	x28, sp, #0xc30
0xfffffff008744d80: e0c33091  add	x0, sp, #0xc30
0xfffffff008744d84: 01808052  mov	w1, #0x400
0xfffffff008744d88: 6e1fd897  bl	#0xfffffff007d4cb40
0xfffffff008744d8c: f5c32091  add	x21, sp, #0x830
0xfffffff008744d90: e0c32091  add	x0, sp, #0x830
0xfffffff008744d94: 01808052  mov	w1, #0x400
0xfffffff008744d98: 6a1fd897  bl	#0xfffffff007d4cb40
0xfffffff008744d9c: f6c30091  add	x22, sp, #0x30
0xfffffff008744da0: e0c30091  add	x0, sp, #0x30
0xfffffff008744da4: 01008152  mov	w1, #0x800
0xfffffff008744da8: 661fd897  bl	#0xfffffff007d4cb40
0xfffffff008744dac: 14cb0db9  str	w20, [x24, #0xdc8]
0xfffffff008744db0: 9b7e7ed3  ubfiz	x27, x20, #2, #0x20
0xfffffff008744db4: e0c33091  add	x0, sp, #0xc30
0xfffffff008744db8: e1031aaa  mov	x1, x26
0xfffffff008744dbc: e2031baa  mov	x2, x27
0xfffffff008744dc0: 03808052  mov	w3, #0x400
