; Candidate 16476
; ADRP+ADD at VM 0xfffffff009ebf670 (fileoff 0x2ebb670): page=0x1fd982000 add_imm=0xd42

0xfffffff009ebf5f0: f30300aa  mov	x19, x0
0xfffffff009ebf5f4: 68f3fef0  adrp	x8, #0xfffffff007d2e000
0xfffffff009ebf5f8: 08d147f9  ldr	x8, [x8, #0xfa0]
0xfffffff009ebf5fc: 080140f9  ldr	x8, [x8]
0xfffffff009ebf600: a8831bf8  stur	x8, [x29, #-0x48]
0xfffffff009ebf604: 00b841f9  ldr	x0, [x0, #0x370]
0xfffffff009ebf608: e00000b4  cbz	x0, #0xfffffff009ebf624
0xfffffff009ebf60c: 6ae38197  bl	#0xfffffff007f383b4
0xfffffff009ebf610: a80e0051  sub	w8, w21, #3
0xfffffff009ebf614: 1f110071  cmp	w8, #4
0xfffffff009ebf618: c3000054  b.lo	#0xfffffff009ebf630
0xfffffff009ebf61c: e01c7036  tbz	w0, #0xe, #0xfffffff009ebf9b8
0xfffffff009ebf620: 04000014  b	#0xfffffff009ebf630
0xfffffff009ebf624: a80e0051  sub	w8, w21, #3
0xfffffff009ebf628: 1f0d0071  cmp	w8, #3
0xfffffff009ebf62c: 681c0054  b.hi	#0xfffffff009ebf9b8
0xfffffff009ebf630: 689e40f9  ldr	x8, [x19, #0x138]
0xfffffff009ebf634: 1f0100f1  cmp	x8, #0
0xfffffff009ebf638: 6002889a  csel	x0, x19, x8, eq
0xfffffff009ebf63c: e10315aa  mov	x1, x21
0xfffffff009ebf640: 7dffff97  bl	#0xfffffff009ebf434
0xfffffff009ebf644: f50300aa  mov	x21, x0
0xfffffff009ebf648: e00313aa  mov	x0, x19
0xfffffff009ebf64c: 20d7fd97  bl	#0xfffffff009e352cc
0xfffffff009ebf650: 20030034  cbz	w0, #0xfffffff009ebf6b4
0xfffffff009ebf654: 083e8452  mov	w8, #0x21f0
0xfffffff009ebf658: 6802088b  add	x8, x19, x8
0xfffffff009ebf65c: 894b8052  mov	w9, #0x25c
0xfffffff009ebf660: 0accfed0  adrp	x10, #0xfffffff007841000
0xfffffff009ebf664: 4a8d3591  add	x10, x10, #0xd63
0xfffffff009ebf668: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ebf66c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ebf670: 00ccfed0  adrp	x0, #0xfffffff007841000
0xfffffff009ebf674: 00083591  add	x0, x0, #0xd42
0xfffffff009ebf678: 9300ff97  bl	#0xfffffff009e7f8c4
0xfffffff009ebf67c: a802140a  and	w8, w21, w20
0xfffffff009ebf680: bf020071  cmp	w21, #0
0xfffffff009ebf684: 090a8052  mov	w9, #0x50
0xfffffff009ebf688: 20119f1a  csel	w0, w9, wzr, ne
0xfffffff009ebf68c: 1f050071  cmp	w8, #1
0xfffffff009ebf690: 61190054  b.ne	#0xfffffff009ebf9bc
0xfffffff009ebf694: e84b8052  mov	w8, #0x25f
0xfffffff009ebf698: 09ccfed0  adrp	x9, #0xfffffff007841000
0xfffffff009ebf69c: 297d3691  add	x9, x9, #0xd9f
0xfffffff009ebf6a0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009ebf6a4: f30300f9  str	x19, [sp]
0xfffffff009ebf6a8: 00ccfed0  adrp	x0, #0xfffffff007841000
0xfffffff009ebf6ac: 00e83591  add	x0, x0, #0xd7a
0xfffffff009ebf6b0: 97539797  bl	#0xfffffff00849450c
0xfffffff009ebf6b4: 560300b4  cbz	x22, #0xfffffff009ebf71c
0xfffffff009ebf6b8: 370300b4  cbz	x23, #0xfffffff009ebf71c
0xfffffff009ebf6bc: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff009ebf6c0: 68c241f9  ldr	x8, [x19, #0x380]
0xfffffff009ebf6c4: 680000b5  cbnz	x8, #0xfffffff009ebf6d0
0xfffffff009ebf6c8: 686a40f9  ldr	x8, [x19, #0xd0]
0xfffffff009ebf6cc: 08210391  add	x8, x8, #0xc8
0xfffffff009ebf6d0: 080140f9  ldr	x8, [x8]
0xfffffff009ebf6d4: 19ed44b9  ldr	w25, [x8, #0x4ec]
0xfffffff009ebf6d8: e1a30091  add	x1, sp, #0x28
0xfffffff009ebf6dc: e00313aa  mov	x0, x19
0xfffffff009ebf6e0: 02008052  mov	w2, #0
0xfffffff009ebf6e4: d5d4fd97  bl	#0xfffffff009e34a38
0xfffffff009ebf6e8: c0040034  cbz	w0, #0xfffffff009ebf780
0xfffffff009ebf6ec: f80300aa  mov	x24, x0
