; Candidate 867
; ADRP+ADD at VM 0xfffffff0080e5010 (fileoff 0x10e1010): page=0x1ff893000 add_imm=0xdf0

0xfffffff0080e4f90: 08000014  b	#0xfffffff0080e4fb0
0xfffffff0080e4f94: 8904c0d2  mov	x9, #0x2400000000
0xfffffff0080e4f98: 0900098b  add	x9, x0, x9
0xfffffff0080e4f9c: 29fd65d3  lsr	x9, x9, #0x25
0xfffffff0080e4fa0: 890000b5  cbnz	x9, #0xfffffff0080e4fb0
0xfffffff0080e4fa4: 49c4ffd0  adrp	x9, #0xfffffff00796e000
0xfffffff0080e4fa8: 294540f9  ldr	x9, [x9, #0x88]
0xfffffff0080e4fac: 2001008b  add	x0, x9, x0
0xfffffff0080e4fb0: e0a300a9  stp	x0, x8, [sp, #8]
0xfffffff0080e4fb4: 887cfff0  adrp	x8, #0xfffffff007077000
0xfffffff0080e4fb8: 082d1d91  add	x8, x8, #0x74b
0xfffffff0080e4fbc: e80300f9  str	x8, [sp]
0xfffffff0080e4fc0: 4079ff90  adrp	x0, #0xfffffff00700c000
0xfffffff0080e4fc4: 00000091  add	x0, x0, #0
0xfffffff0080e4fc8: c37effd0  adrp	x3, #0xfffffff0070be000
0xfffffff0080e4fcc: 63980a91  add	x3, x3, #0x2a6
0xfffffff0080e4fd0: 02028052  mov	w2, #0x10
0xfffffff0080e4fd4: 57380994  bl	#0xfffffff008333130
0xfffffff0080e4fd8: 080080d2  mov	x8, #0
0xfffffff0080e4fdc: 090080d2  mov	x9, #0
0xfffffff0080e4fe0: 880200f9  str	x8, [x20]
0xfffffff0080e4fe4: 690200f9  str	x9, [x19]
0xfffffff0080e4fe8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0080e4fec: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0080e4ff0: ff030191  add	sp, sp, #0x40
0xfffffff0080e4ff4: ff0f5fd6  retab	
0xfffffff0080e4ff8: 5f2403d5  bti	c
0xfffffff0080e4ffc: e10300aa  mov	x1, x0
0xfffffff0080e5000: 80c4fff0  adrp	x0, #0xfffffff007978000
0xfffffff0080e5004: 00c03891  add	x0, x0, #0xe30
0xfffffff0080e5008: 0193f417  b	#0xfffffff007e09c0c
0xfffffff0080e500c: 5f2403d5  bti	c
0xfffffff0080e5010: 80c4fff0  adrp	x0, #0xfffffff007978000
0xfffffff0080e5014: 00c03791  add	x0, x0, #0xdf0
0xfffffff0080e5018: 81009052  mov	w1, #0x8004
0xfffffff0080e501c: ae07f317  b	#0xfffffff007da6ed4
0xfffffff0080e5020: 7f2303d5  pacibsp	
0xfffffff0080e5024: ffc301d1  sub	sp, sp, #0x70
0xfffffff0080e5028: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff0080e502c: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0080e5030: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0080e5034: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0080e5038: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0080e503c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0080e5040: fd830191  add	x29, sp, #0x60
0xfffffff0080e5044: f50305aa  mov	x21, x5
0xfffffff0080e5048: fa0304aa  mov	x26, x4
0xfffffff0080e504c: f40303aa  mov	x20, x3
0xfffffff0080e5050: f80302aa  mov	x24, x2
0xfffffff0080e5054: f90301aa  mov	x25, x1
0xfffffff0080e5058: f30300aa  mov	x19, x0
0xfffffff0080e505c: 1c0840f9  ldr	x28, [x0, #0x10]
0xfffffff0080e5060: 881b40f9  ldr	x8, [x28, #0x30]
0xfffffff0080e5064: 08b941f9  ldr	x8, [x8, #0x370]
0xfffffff0080e5068: 080140f9  ldr	x8, [x8]
0xfffffff0080e506c: 080140f9  ldr	x8, [x8]
0xfffffff0080e5070: 1b1940f9  ldr	x27, [x8, #0x30]
0xfffffff0080e5074: 22a0f497  bl	#0xfffffff007e0d0fc
0xfffffff0080e5078: f70300aa  mov	x23, x0
0xfffffff0080e507c: 160840f9  ldr	x22, [x0, #0x10]
0xfffffff0080e5080: 761000b4  cbz	x22, #0xfffffff0080e528c
0xfffffff0080e5084: 28008052  mov	w8, #1
0xfffffff0080e5088: e80f00b9  str	w8, [sp, #0xc]
0xfffffff0080e508c: 7a1000b5  cbnz	x26, #0xfffffff0080e5298
