; Candidate 8852
; ADRP+ADD at VM 0xfffffff0088df09c (fileoff 0x18db09c): page=0x1fe98c000 add_imm=0xd3e

0xfffffff0088df01c: 010080d2  mov	x1, #0
0xfffffff0088df020: f10309aa  mov	x17, x9
0xfffffff0088df024: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088df028: 11093fd7  blraa	x8, x17
0xfffffff0088df02c: 15000014  b	#0xfffffff0088df080
0xfffffff0088df030: e80314aa  mov	x8, x20
0xfffffff0088df034: 28b4f9f2  movk	x8, #0xcda1, lsl #48
0xfffffff0088df038: 900240f9  ldr	x16, [x20]
0xfffffff0088df03c: 1019c1da  autda	x16, x8
0xfffffff0088df040: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff0088df044: e10310aa  mov	x1, x16
0xfffffff0088df048: f00308aa  mov	x16, x8
0xfffffff0088df04c: e00314aa  mov	x0, x20
0xfffffff0088df050: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0088df054: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0088df058: ff430191  add	sp, sp, #0x50
0xfffffff0088df05c: ff2303d5  autibsp	
0xfffffff0088df060: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0088df064: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0088df06c
0xfffffff0088df068: 208e38d4  brk	#0xc471
0xfffffff0088df06c: f10301aa  mov	x17, x1
0xfffffff0088df070: d1d1faf2  movk	x17, #0xd68e, lsl #48
0xfffffff0088df074: 110a1fd7  braa	x16, x17
0xfffffff0088df078: 404cfff0  adrp	x0, #0xfffffff00726a000
0xfffffff0088df07c: 00d02d91  add	x0, x0, #0xb74
0xfffffff0088df080: 6a524239  ldrb	w10, [x19, #0x94]
0xfffffff0088df084: 88008052  mov	w8, #4
0xfffffff0088df088: 694cff90  adrp	x9, #0xfffffff00726b000
0xfffffff0088df08c: 29e13591  add	x9, x9, #0xd78
0xfffffff0088df090: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0088df094: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff0088df098: f40300f9  str	x20, [sp]
0xfffffff0088df09c: 604cff90  adrp	x0, #0xfffffff00726b000
0xfffffff0088df0a0: 00f83491  add	x0, x0, #0xd3e
0xfffffff0088df0a4: dfdfe997  bl	#0xfffffff008357020
0xfffffff0088df0a8: 60524239  ldrb	w0, [x19, #0x94]
0xfffffff0088df0ac: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0088df0b0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0088df0b4: ff430191  add	sp, sp, #0x50
0xfffffff0088df0b8: ff0f5fd6  retab	
0xfffffff0088df0bc: 5f2403d5  bti	c
0xfffffff0088df0c0: e0588052  mov	w0, #0x2c7
0xfffffff0088df0c4: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0088df0c8: c0035fd6  ret	
0xfffffff0088df0cc: 5f2403d5  bti	c
0xfffffff0088df0d0: e0588052  mov	w0, #0x2c7
0xfffffff0088df0d4: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0088df0d8: c0035fd6  ret	
0xfffffff0088df0dc: 7f2303d5  pacibsp	
0xfffffff0088df0e0: ff0301d1  sub	sp, sp, #0x40
0xfffffff0088df0e4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0088df0e8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0088df0ec: fdc30091  add	x29, sp, #0x30
0xfffffff0088df0f0: f40301aa  mov	x20, x1
0xfffffff0088df0f4: f30300aa  mov	x19, x0
0xfffffff0088df0f8: a1f31e38  sturb	w1, [x29, #-0x11]
0xfffffff0088df0fc: 100040f9  ldr	x16, [x0]
0xfffffff0088df100: f10300aa  mov	x17, x0
0xfffffff0088df104: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df108: 301ac1da  autda	x16, x17
0xfffffff0088df10c: 113d80d2  mov	x17, #0x1e8
0xfffffff0088df110: 1002118b  add	x16, x16, x17
0xfffffff0088df114: 080240f9  ldr	x8, [x16]
0xfffffff0088df118: e90310aa  mov	x9, x16
