; Candidate 5755
; ADRP+ADD at VM 0xfffffff008802f74 (fileoff 0x17fef74): page=0x1fe9e7000 add_imm=0xe80

0xfffffff008802ef4: a0030034  cbz	w0, #0xfffffff008802f68
0xfffffff008802ef8: e803154b  neg	w8, w21
0xfffffff008802efc: 68032837  tbnz	w8, #5, #0xfffffff008802f68
0xfffffff008802f00: 28b74739  ldrb	w8, [x25, #0x1ed]
0xfffffff008802f04: 29274039  ldrb	w9, [x25, #9]
0xfffffff008802f08: e82700a9  stp	x8, x9, [sp]
0xfffffff008802f0c: a050ffd0  adrp	x0, #0xfffffff007218000
0xfffffff008802f10: 00642491  add	x0, x0, #0x919
0xfffffff008802f14: 53d1d697  bl	#0xfffffff007db7460
0xfffffff008802f18: 1f000014  b	#0xfffffff008802f94
0xfffffff008802f1c: a4c40294  bl	#0xfffffff0088b41ac
0xfffffff008802f20: f60300aa  mov	x22, x0
0xfffffff008802f24: e00314aa  mov	x0, x20
0xfffffff008802f28: 4ae20194  bl	#0xfffffff00887b850
0xfffffff008802f2c: 28b74739  ldrb	w8, [x25, #0x1ed]
0xfffffff008802f30: 29274039  ldrb	w9, [x25, #9]
0xfffffff008802f34: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008802f38: e80313aa  mov	x8, x19
0xfffffff008802f3c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008802f40: f60300f9  str	x22, [sp]
0xfffffff008802f44: 204ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008802f48: 00003a91  add	x0, x0, #0xe80
0xfffffff008802f4c: 2190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008802f50: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008802f54: 0352ffd0  adrp	x3, #0xfffffff007244000
0xfffffff008802f58: 63102b91  add	x3, x3, #0xac4
0xfffffff008802f5c: 02008052  mov	w2, #0
0xfffffff008802f60: 74c0ec97  bl	#0xfffffff008333130
0xfffffff008802f64: 0c000014  b	#0xfffffff008802f94
0xfffffff008802f68: 28b74739  ldrb	w8, [x25, #0x1ed]
0xfffffff008802f6c: 29274039  ldrb	w9, [x25, #9]
0xfffffff008802f70: e82700a9  stp	x8, x9, [sp]
0xfffffff008802f74: 204ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008802f78: 00003a91  add	x0, x0, #0xe80
0xfffffff008802f7c: 2190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008802f80: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008802f84: 0352ffd0  adrp	x3, #0xfffffff007244000
0xfffffff008802f88: 63542a91  add	x3, x3, #0xa95
0xfffffff008802f8c: 02008052  mov	w2, #0
0xfffffff008802f90: 68c0ec97  bl	#0xfffffff008333130
0xfffffff008802f94: e00313aa  mov	x0, x19
0xfffffff008802f98: e10314aa  mov	x1, x20
0xfffffff008802f9c: 0de20194  bl	#0xfffffff00887b7d0
0xfffffff008802fa0: e0060034  cbz	w0, #0xfffffff00880307c
0xfffffff008802fa4: e00313aa  mov	x0, x19
0xfffffff008802fa8: 1ce20194  bl	#0xfffffff00887b818
0xfffffff008802fac: 1502f837  tbnz	w21, #0x1f, #0xfffffff008802fec
0xfffffff008802fb0: b7021b12  and	w23, w21, #0x20
0xfffffff008802fb4: 18000052  eor	w24, w0, #1
0xfffffff008802fb8: 7dc40294  bl	#0xfffffff0088b41ac
0xfffffff008802fbc: f60300aa  mov	x22, x0
0xfffffff008802fc0: e00314aa  mov	x0, x20
0xfffffff008802fc4: 23e20194  bl	#0xfffffff00887b850
0xfffffff008802fc8: 0817572a  orr	w8, w24, w23, lsr #5
0xfffffff008802fcc: 28020037  tbnz	w8, #0, #0xfffffff008803010
0xfffffff008802fd0: 28574839  ldrb	w8, [x25, #0x215]
0xfffffff008802fd4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008802fd8: e80313aa  mov	x8, x19
0xfffffff008802fdc: f62300a9  stp	x22, x8, [sp]
0xfffffff008802fe0: a050fff0  adrp	x0, #0xfffffff007219000
0xfffffff008802fe4: 00a03291  add	x0, x0, #0xca8
0xfffffff008802fe8: 08000014  b	#0xfffffff008803008
0xfffffff008802fec: 40030034  cbz	w0, #0xfffffff008803054
0xfffffff008802ff0: e803154b  neg	w8, w21
