; Candidate 3084
; ADRP+ADD at VM 0xfffffff008710694 (fileoff 0x170c694): page=0x1fea21000 add_imm=0xd90

0xfffffff008710614: 080240f9  ldr	x8, [x16]
0xfffffff008710618: e90310aa  mov	x9, x16
0xfffffff00871061c: c3020012  and	w3, w22, #1
0xfffffff008710620: e00313aa  mov	x0, x19
0xfffffff008710624: e10319aa  mov	x1, x25
0xfffffff008710628: e20314aa  mov	x2, x20
0xfffffff00871062c: f10309aa  mov	x17, x9
0xfffffff008710630: 711bf8f2  movk	x17, #0xc0db, lsl #48
0xfffffff008710634: 11093fd7  blraa	x8, x17
0xfffffff008710638: f50300aa  mov	x21, x0
0xfffffff00871063c: 700240f9  ldr	x16, [x19]
0xfffffff008710640: f10313aa  mov	x17, x19
0xfffffff008710644: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008710648: 301ac1da  autda	x16, x17
0xfffffff00871064c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008710650: e90310aa  mov	x9, x16
0xfffffff008710654: e00313aa  mov	x0, x19
0xfffffff008710658: 01008052  mov	w1, #0
0xfffffff00871065c: f10309aa  mov	x17, x9
0xfffffff008710660: d192edf2  movk	x17, #0x6c96, lsl #48
0xfffffff008710664: 11093fd7  blraa	x8, x17
0xfffffff008710668: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff00871066c: 086d40f9  ldr	x8, [x8, #0xd8]
0xfffffff008710670: 08494a39  ldrb	w8, [x8, #0x292]
0xfffffff008710674: 88000034  cbz	w8, #0xfffffff008710684
0xfffffff008710678: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff00871067c: 93a30094  bl	#0xfffffff0087394c8
0xfffffff008710680: 60f60ab9  str	w0, [x19, #0xaf4]
0xfffffff008710684: b5010034  cbz	w21, #0xfffffff0087106b8
0xfffffff008710688: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff00871068c: 08491591  add	x8, x8, #0x552
0xfffffff008710690: e80300f9  str	x8, [sp]
0xfffffff008710694: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710698: 00403691  add	x0, x0, #0xd90
0xfffffff00871069c: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087106a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087106a4: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff0087106a8: 63ec3191  add	x3, x3, #0xc7b
0xfffffff0087106ac: 02008052  mov	w2, #0
0xfffffff0087106b0: a08af097  bl	#0xfffffff008333130
0xfffffff0087106b4: a3f9ff17  b	#0xfffffff00870ed40
0xfffffff0087106b8: 00008052  mov	w0, #0
0xfffffff0087106bc: b8f9ff17  b	#0xfffffff00870ed9c
0xfffffff0087106c0: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0087106c4: 08491591  add	x8, x8, #0x552
0xfffffff0087106c8: e87300a9  stp	x8, x28, [sp]
0xfffffff0087106cc: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087106d0: 00403691  add	x0, x0, #0xd90
0xfffffff0087106d4: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087106d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087106dc: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff0087106e0: 635c1491  add	x3, x3, #0x517
0xfffffff0087106e4: 02008052  mov	w2, #0
0xfffffff0087106e8: 928af097  bl	#0xfffffff008333130
0xfffffff0087106ec: 18000014  b	#0xfffffff00871074c
0xfffffff0087106f0: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0087106f4: 08491591  add	x8, x8, #0x552
0xfffffff0087106f8: e87300a9  stp	x8, x28, [sp]
0xfffffff0087106fc: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710700: 00403691  add	x0, x0, #0xd90
0xfffffff008710704: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008710708: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871070c: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710710: 63e41491  add	x3, x3, #0x539
