; Candidate 16629
; ADRP+ADD at VM 0xfffffff009f080a8 (fileoff 0x2f040a8): page=0x1fd94b000 add_imm=0xd33

0xfffffff009f08028: b4400094  bl	#0xfffffff009f182f8
0xfffffff009f0802c: e00a0034  cbz	w0, #0xfffffff009f08188
0xfffffff009f08030: e85340f9  ldr	x8, [sp, #0xa0]
0xfffffff009f08034: 1f250039  strb	wzr, [x8, #9]
0xfffffff009f08038: fa0302a9  stp	x26, x0, [sp, #0x20]
0xfffffff009f0803c: fc6701a9  stp	x28, x25, [sp, #0x10]
0xfffffff009f08040: 89298c52  mov	w9, #0x614c
0xfffffff009f08044: 48cafef0  adrp	x8, #0xfffffff007853000
0xfffffff009f08048: 08251991  add	x8, x8, #0x649
0xfffffff009f0804c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f08050: 40cafef0  adrp	x0, #0xfffffff007853000
0xfffffff009f08054: 00503291  add	x0, x0, #0xc94
0xfffffff009f08058: 1bdefd97  bl	#0xfffffff009e7f8c4
0xfffffff009f0805c: a86a40f9  ldr	x8, [x21, #0xd0]
0xfffffff009f08060: 006540f9  ldr	x0, [x8, #0xc8]
0xfffffff009f08064: 80450094  bl	#0xfffffff009f19664
0xfffffff009f08068: a88f77a9  ldp	x8, x3, [x29, #-0x88]
0xfffffff009f0806c: 040103cb  sub	x4, x8, x3
0xfffffff009f08070: e00315aa  mov	x0, x21
0xfffffff009f08074: e68746a9  ldp	x6, x1, [sp, #0x68]
0xfffffff009f08078: e24340f9  ldr	x2, [sp, #0x80]
0xfffffff009f0807c: 05008012  mov	w5, #-1
0xfffffff009f08080: 34040094  bl	#0xfffffff009f09150
0xfffffff009f08084: 00020034  cbz	w0, #0xfffffff009f080c4
0xfffffff009f08088: a9a377a9  ldp	x9, x8, [x29, #-0x88]
0xfffffff009f0808c: 290108cb  sub	x9, x9, x8
0xfffffff009f08090: e90302a9  stp	x9, x0, [sp, #0x20]
0xfffffff009f08094: fc2301a9  stp	x28, x8, [sp, #0x10]
0xfffffff009f08098: 682d8c52  mov	w8, #0x616b
0xfffffff009f0809c: 56cafef0  adrp	x22, #0xfffffff007853000
0xfffffff009f080a0: d6261991  add	x22, x22, #0x649
0xfffffff009f080a4: f62300a9  stp	x22, x8, [sp]
0xfffffff009f080a8: 40cafef0  adrp	x0, #0xfffffff007853000
0xfffffff009f080ac: 00cc3491  add	x0, x0, #0xd33
0xfffffff009f080b0: 05defd97  bl	#0xfffffff009e7f8c4
0xfffffff009f080b4: a06a40f9  ldr	x0, [x21, #0xd0]
0xfffffff009f080b8: e10316aa  mov	x1, x22
0xfffffff009f080bc: 822d8c52  mov	w2, #0x616c
0xfffffff009f080c0: 8a39fd97  bl	#0xfffffff009e566e8
0xfffffff009f080c4: a10359f8  ldur	x1, [x29, #-0x70]
0xfffffff009f080c8: c10100b4  cbz	x1, #0xfffffff009f08100
0xfffffff009f080cc: a8c399b8  ldursw	x8, [x29, #-0x64]
0xfffffff009f080d0: e90f08cb  neg	x9, x8, lsl #3
0xfffffff009f080d4: 6a260090  adrp	x10, #0xfffffff00a3d4000
0xfffffff009f080d8: 4a212a91  add	x10, x10, #0xa88
0xfffffff009f080dc: 490129f8  ldadd	x9, x9, [x10]
0xfffffff009f080e0: 09f17dd3  lsl	x9, x8, #3
0xfffffff009f080e4: 1f010071  cmp	w8, #0
0xfffffff009f080e8: 0800f0d2  mov	x8, #-0x8000000000000000
0xfffffff009f080ec: 02b1899a  csel	x2, x8, x9, lt
0xfffffff009f080f0: bf0319f8  stur	xzr, [x29, #-0x70]
0xfffffff009f080f4: 80f1fef0  adrp	x0, #0xfffffff007d3b000
0xfffffff009f080f8: 00e01091  add	x0, x0, #0x438
0xfffffff009f080fc: 3b3b9197  bl	#0xfffffff008356de8
0xfffffff009f08100: 1a008052  mov	w26, #0
0xfffffff009f08104: bf0319f8  stur	xzr, [x29, #-0x70]
0xfffffff009f08108: bbfeff17  b	#0xfffffff009f07bf4
0xfffffff009f0810c: fa0300aa  mov	x26, x0
0xfffffff009f08110: 7b0700d1  sub	x27, x27, #1
0xfffffff009f08114: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff009f08118: 08597bf8  ldr	x8, [x8, w27, uxtw #3]
0xfffffff009f0811c: 090d40f9  ldr	x9, [x8, #0x18]
0xfffffff009f08120: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff009f08124: ea4b40f9  ldr	x10, [sp, #0x90]
