; Candidate 9381
; ADRP+ADD at VM 0xfffffff008a35ab8 (fileoff 0x1a31ab8): page=0x1fe864000 add_imm=0xe40

0xfffffff008a35a38: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff008a35a3c: f10314aa  mov	x17, x20
0xfffffff008a35a40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a35a44: 301ac1da  autda	x16, x17
0xfffffff008a35a48: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008a35a4c: e90310aa  mov	x9, x16
0xfffffff008a35a50: e00314aa  mov	x0, x20
0xfffffff008a35a54: f10309aa  mov	x17, x9
0xfffffff008a35a58: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff008a35a5c: 11093fd7  blraa	x8, x17
0xfffffff008a35a60: d00240f9  ldr	x16, [x22]
0xfffffff008a35a64: f10316aa  mov	x17, x22
0xfffffff008a35a68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a35a6c: 301ac1da  autda	x16, x17
0xfffffff008a35a70: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008a35a74: e90310aa  mov	x9, x16
0xfffffff008a35a78: e00316aa  mov	x0, x22
0xfffffff008a35a7c: f10309aa  mov	x17, x9
0xfffffff008a35a80: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff008a35a84: 11093fd7  blraa	x8, x17
0xfffffff008a35a88: f50300aa  mov	x21, x0
0xfffffff008a35a8c: 900240f9  ldr	x16, [x20]
0xfffffff008a35a90: f10314aa  mov	x17, x20
0xfffffff008a35a94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a35a98: 301ac1da  autda	x16, x17
0xfffffff008a35a9c: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008a35aa0: e90310aa  mov	x9, x16
0xfffffff008a35aa4: e00314aa  mov	x0, x20
0xfffffff008a35aa8: f10309aa  mov	x17, x9
0xfffffff008a35aac: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff008a35ab0: 11093fd7  blraa	x8, x17
0xfffffff008a35ab4: f50300a9  stp	x21, x0, [sp]
0xfffffff008a35ab8: 2043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a35abc: 00003991  add	x0, x0, #0xe40
0xfffffff008a35ac0: a180ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a35ac4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a35ac8: 6343ff90  adrp	x3, #0xfffffff0072a1000
0xfffffff008a35acc: 63a40791  add	x3, x3, #0x1e9
0xfffffff008a35ad0: 02008052  mov	w2, #0
0xfffffff008a35ad4: 97f5e397  bl	#0xfffffff008333130
0xfffffff008a35ad8: 4f000014  b	#0xfffffff008a35c14
0xfffffff008a35adc: 4843ff90  adrp	x8, #0xfffffff00729d000
0xfffffff008a35ae0: 08d50f91  add	x8, x8, #0x3f5
0xfffffff008a35ae4: 4943ff90  adrp	x9, #0xfffffff00729d000
0xfffffff008a35ae8: 29991891  add	x9, x9, #0x626
0xfffffff008a35aec: bf020071  cmp	w21, #0
0xfffffff008a35af0: 2011889a  csel	x0, x9, x8, ne
0xfffffff008a35af4: 3bc5e397  bl	#0xfffffff008326fe0
0xfffffff008a35af8: 800c00b4  cbz	x0, #0xfffffff008a35c88
0xfffffff008a35afc: f40300aa  mov	x20, x0
0xfffffff008a35b00: 700240f9  ldr	x16, [x19]
0xfffffff008a35b04: f10313aa  mov	x17, x19
0xfffffff008a35b08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a35b0c: 301ac1da  autda	x16, x17
0xfffffff008a35b10: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff008a35b14: e90310aa  mov	x9, x16
0xfffffff008a35b18: 4143ff90  adrp	x1, #0xfffffff00729d000
0xfffffff008a35b1c: 21e40f91  add	x1, x1, #0x3f9
0xfffffff008a35b20: e00313aa  mov	x0, x19
0xfffffff008a35b24: e20314aa  mov	x2, x20
0xfffffff008a35b28: f10309aa  mov	x17, x9
0xfffffff008a35b2c: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff008a35b30: 11093fd7  blraa	x8, x17
0xfffffff008a35b34: 760900b4  cbz	x22, #0xfffffff008a35c60
