; Candidate 7984
; ADRP+ADD at VM 0xfffffff00888c1a0 (fileoff 0x18881a0): page=0x1fe95d000 add_imm=0xe80

0xfffffff00888c120: 6b010054  b.lt	#0xfffffff00888c14c
0xfffffff00888c124: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c128: 21008052  mov	w1, #1
0xfffffff00888c12c: 36d64894  bl	#0xfffffff009ac1a04
0xfffffff00888c130: e80300aa  mov	x8, x0
0xfffffff00888c134: 00008052  mov	w0, #0
0xfffffff00888c138: 0843288b  add	x8, x24, w8, uxtw
0xfffffff00888c13c: 880200f9  str	x8, [x20]
0xfffffff00888c140: b9ffff17  b	#0xfffffff00888c024
0xfffffff00888c144: 00008052  mov	w0, #0
0xfffffff00888c148: b7ffff17  b	#0xfffffff00888c024
0xfffffff00888c14c: 00008052  mov	w0, #0
0xfffffff00888c150: 9f0200f9  str	xzr, [x20]
0xfffffff00888c154: b4ffff17  b	#0xfffffff00888c024
0xfffffff00888c158: 15a00094  bl	#0xfffffff0088b41ac
0xfffffff00888c15c: f40300aa  mov	x20, x0
0xfffffff00888c160: 80008052  mov	w0, #4
0xfffffff00888c164: bbbdff97  bl	#0xfffffff00887b850
0xfffffff00888c168: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888c16c: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff00888c170: 084dffd0  adrp	x8, #0xfffffff00722e000
0xfffffff00888c174: 08f53a91  add	x8, x8, #0xebd
0xfffffff00888c178: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00888c17c: 88a68052  mov	w8, #0x534
0xfffffff00888c180: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c184: 29853891  add	x9, x9, #0xe21
0xfffffff00888c188: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888c18c: 084dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00888c190: 087d0391  add	x8, x8, #0xdf
0xfffffff00888c194: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888c198: 88098052  mov	w8, #0x4c
0xfffffff00888c19c: f42300a9  stp	x20, x8, [sp]
0xfffffff00888c1a0: e04affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888c1a4: 00003a91  add	x0, x0, #0xe80
0xfffffff00888c1a8: e18bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00888c1ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888c1b0: 834effb0  adrp	x3, #0xfffffff00725d000
0xfffffff00888c1b4: 63bc3a91  add	x3, x3, #0xeaf
0xfffffff00888c1b8: 02008052  mov	w2, #0
0xfffffff00888c1bc: dd9bea97  bl	#0xfffffff008333130
0xfffffff00888c1c0: 407e8012  mov	w0, #-0x3f3
0xfffffff00888c1c4: 98ffff17  b	#0xfffffff00888c024
0xfffffff00888c1c8: 7f2303d5  pacibsp	
0xfffffff00888c1cc: ff8302d1  sub	sp, sp, #0xa0
0xfffffff00888c1d0: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff00888c1d4: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff00888c1d8: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00888c1dc: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00888c1e0: fd430291  add	x29, sp, #0x90
0xfffffff00888c1e4: f40303aa  mov	x20, x3
0xfffffff00888c1e8: f50302aa  mov	x21, x2
0xfffffff00888c1ec: f70301aa  mov	x23, x1
0xfffffff00888c1f0: f30300aa  mov	x19, x0
0xfffffff00888c1f4: 210400b5  cbnz	x1, #0xfffffff00888c278
0xfffffff00888c1f8: 150400b5  cbnz	x21, #0xfffffff00888c278
0xfffffff00888c1fc: f40300b5  cbnz	x20, #0xfffffff00888c278
0xfffffff00888c200: 80098052  mov	w0, #0x4c
0xfffffff00888c204: 81008052  mov	w1, #4
0xfffffff00888c208: 72bdff97  bl	#0xfffffff00887b7d0
0xfffffff00888c20c: 000d0034  cbz	w0, #0xfffffff00888c3ac
0xfffffff00888c210: 80098052  mov	w0, #0x4c
0xfffffff00888c214: 81bdff97  bl	#0xfffffff00887b818
0xfffffff00888c218: f50300aa  mov	x21, x0
0xfffffff00888c21c: e49f0094  bl	#0xfffffff0088b41ac
