; Candidate 14027
; ADRP+ADD at VM 0xfffffff0096a2194 (fileoff 0x269e194): page=0xce8000 add_imm=0xe00

0xfffffff0096a2114: 10a23c91  add	x16, x16, #0xf28
0xfffffff0096a2118: 10420091  add	x16, x16, #0x10
0xfffffff0096a211c: f10314aa  mov	x17, x20
0xfffffff0096a2120: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096a2124: 300ac1da  pacda	x16, x17
0xfffffff0096a2128: 900200f9  str	x16, [x20]
0xfffffff0096a212c: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2130: 00203791  add	x0, x0, #0xdc8
0xfffffff0096a2134: 41f7fed0  adrp	x1, #0xfffffff00758c000
0xfffffff0096a2138: 21cc3e91  add	x1, x1, #0xfb3
0xfffffff0096a213c: e20314aa  mov	x2, x20
0xfffffff0096a2140: 03068052  mov	w3, #0x30
0xfffffff0096a2144: 7d06b197  bl	#0xfffffff0082e3b38
0xfffffff0096a2148: b02bffd0  adrp	x16, #0xfffffff007c18000
0xfffffff0096a214c: 10420291  add	x16, x16, #0x90
0xfffffff0096a2150: 10420091  add	x16, x16, #0x10
0xfffffff0096a2154: f10300aa  mov	x17, x0
0xfffffff0096a2158: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096a215c: 300ac1da  pacda	x16, x17
0xfffffff0096a2160: 100000f9  str	x16, [x0]
0xfffffff0096a2164: 40f7fed0  adrp	x0, #0xfffffff00758c000
0xfffffff0096a2168: 00f03f91  add	x0, x0, #0xffc
0xfffffff0096a216c: 331cb297  bl	#0xfffffff008329238
0xfffffff0096a2170: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a2174: 00f906f9  str	x0, [x8, #0xdf0]
0xfffffff0096a2178: 95ff9792  mov	x21, #-0xbffd
0xfffffff0096a217c: 1500bcf2  movk	x21, #0xe000, lsl #16
0xfffffff0096a2180: a00e00d1  sub	x0, x21, #3
0xfffffff0096a2184: 01088052  mov	w1, #0x40
0xfffffff0096a2188: 59f4b197  bl	#0xfffffff00831f2ec
0xfffffff0096a218c: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a2190: 00fd06f9  str	x0, [x8, #0xdf8]
0xfffffff0096a2194: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2198: 00003891  add	x0, x0, #0xe00
0xfffffff0096a219c: 41f7fef0  adrp	x1, #0xfffffff00758d000
0xfffffff0096a21a0: 21140091  add	x1, x1, #5
0xfffffff0096a21a4: e20314aa  mov	x2, x20
0xfffffff0096a21a8: 03068052  mov	w3, #0x30
0xfffffff0096a21ac: 6306b197  bl	#0xfffffff0082e3b38
0xfffffff0096a21b0: b02bffd0  adrp	x16, #0xfffffff007c18000
0xfffffff0096a21b4: 10e20791  add	x16, x16, #0x1f8
0xfffffff0096a21b8: 10420091  add	x16, x16, #0x10
0xfffffff0096a21bc: f10300aa  mov	x17, x0
0xfffffff0096a21c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096a21c4: 300ac1da  pacda	x16, x17
0xfffffff0096a21c8: 100000f9  str	x16, [x0]
0xfffffff0096a21cc: 40f7fef0  adrp	x0, #0xfffffff00758d000
0xfffffff0096a21d0: 00280191  add	x0, x0, #0x4a
0xfffffff0096a21d4: 191cb297  bl	#0xfffffff008329238
0xfffffff0096a21d8: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a21dc: 001507f9  str	x0, [x8, #0xe28]
0xfffffff0096a21e0: c8ff9792  mov	x8, #-0xbfff
0xfffffff0096a21e4: 4800bcf2  movk	x8, #0xe002, lsl #16
0xfffffff0096a21e8: 00017eb2  orr	x0, x8, #4
0xfffffff0096a21ec: 01088052  mov	w1, #0x40
0xfffffff0096a21f0: 3ff4b197  bl	#0xfffffff00831f2ec
0xfffffff0096a21f4: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a21f8: 001907f9  str	x0, [x8, #0xe30]
0xfffffff0096a21fc: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2200: 00e03891  add	x0, x0, #0xe38
0xfffffff0096a2204: 41f7fef0  adrp	x1, #0xfffffff00758d000
0xfffffff0096a2208: 21400191  add	x1, x1, #0x50
0xfffffff0096a220c: e20314aa  mov	x2, x20
0xfffffff0096a2210: 03068052  mov	w3, #0x30
