; Candidate 12435
; ADRP+ADD at VM 0xfffffff00909f0d0 (fileoff 0x209b0d0): page=0x1fe3ba000 add_imm=0xe24

0xfffffff00909f050: e8024039  ldrb	w8, [x23]
0xfffffff00909f054: 151efff0  adrp	x21, #0xfffffff007462000
0xfffffff00909f058: b5560b91  add	x21, x21, #0x2d5
0xfffffff00909f05c: f61dffd0  adrp	x22, #0xfffffff00745d000
0xfffffff00909f060: d6423c91  add	x22, x22, #0xf10
0xfffffff00909f064: 1f290071  cmp	w8, #0xa
0xfffffff00909f068: a8000054  b.hi	#0xfffffff00909f07c
0xfffffff00909f06c: f65700a9  stp	x22, x21, [sp]
0xfffffff00909f070: c01dffd0  adrp	x0, #0xfffffff007459000
0xfffffff00909f074: 00583191  add	x0, x0, #0xc56
0xfffffff00909f078: eadfca97  bl	#0xfffffff008357020
0xfffffff00909f07c: f30500b4  cbz	x19, #0xfffffff00909f138
0xfffffff00909f080: 9fa200f1  cmp	x20, #0x28
0xfffffff00909f084: a1050054  b.ne	#0xfffffff00909f138
0xfffffff00909f088: 680240f9  ldr	x8, [x19]
0xfffffff00909f08c: 680300b4  cbz	x8, #0xfffffff00909f0f8
0xfffffff00909f090: 680640f9  ldr	x8, [x19, #8]
0xfffffff00909f094: 280300b4  cbz	x8, #0xfffffff00909f0f8
0xfffffff00909f098: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff00909f09c: e80200b4  cbz	x8, #0xfffffff00909f0f8
0xfffffff00909f0a0: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00909f0a4: a80200b4  cbz	x8, #0xfffffff00909f0f8
0xfffffff00909f0a8: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff00909f0ac: 680200b4  cbz	x8, #0xfffffff00909f0f8
0xfffffff00909f0b0: 13008052  mov	w19, #0
0xfffffff00909f0b4: 48018052  mov	w8, #0xa
0xfffffff00909f0b8: e9024039  ldrb	w9, [x23]
0xfffffff00909f0bc: 1f01096b  cmp	w8, w9
0xfffffff00909f0c0: e3000054  b.lo	#0xfffffff00909f0dc
0xfffffff00909f0c4: 687e4093  sxtw	x8, w19
0xfffffff00909f0c8: f65700a9  stp	x22, x21, [sp]
0xfffffff00909f0cc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00909f0d0: c01dffd0  adrp	x0, #0xfffffff007459000
0xfffffff00909f0d4: 00903891  add	x0, x0, #0xe24
0xfffffff00909f0d8: d2dfca97  bl	#0xfffffff008357020
0xfffffff00909f0dc: e00313aa  mov	x0, x19
0xfffffff00909f0e0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00909f0e4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00909f0e8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00909f0ec: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00909f0f0: ffc30191  add	sp, sp, #0x70
0xfffffff00909f0f4: ff0f5fd6  retab	
0xfffffff00909f0f8: e8a08052  mov	w8, #0x507
0xfffffff00909f0fc: 091effd0  adrp	x9, #0xfffffff007461000
0xfffffff00909f100: 29b52c91  add	x9, x9, #0xb2d
0xfffffff00909f104: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909f108: c81dffd0  adrp	x8, #0xfffffff007459000
0xfffffff00909f10c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909f110: 0a1efff0  adrp	x10, #0xfffffff007462000
0xfffffff00909f114: 4a9d0c91  add	x10, x10, #0x327
0xfffffff00909f118: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00909f11c: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff00909f120: c01dffd0  adrp	x0, #0xfffffff007459000
0xfffffff00909f124: 00d42c91  add	x0, x0, #0xb35
0xfffffff00909f128: bedfca97  bl	#0xfffffff008357020
0xfffffff00909f12c: 53008012  mov	w19, #-3
0xfffffff00909f130: c8088052  mov	w8, #0x46
0xfffffff00909f134: e1ffff17  b	#0xfffffff00909f0b8
0xfffffff00909f138: 68a08052  mov	w8, #0x503
0xfffffff00909f13c: 091effd0  adrp	x9, #0xfffffff007461000
0xfffffff00909f140: 29b52c91  add	x9, x9, #0xb2d
0xfffffff00909f144: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909f148: c81dffd0  adrp	x8, #0xfffffff007459000
0xfffffff00909f14c: 08b92d91  add	x8, x8, #0xb6e
