; Candidate 14681
; ADRP+ADD at VM 0xfffffff0098763a8 (fileoff 0x28723a8): page=0x1fdd53000 add_imm=0xce0

0xfffffff009876328: 900240f9  ldr	x16, [x20]
0xfffffff00987632c: f10314aa  mov	x17, x20
0xfffffff009876330: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009876334: 301ac1da  autda	x16, x17
0xfffffff009876338: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00987633c: e90310aa  mov	x9, x16
0xfffffff009876340: e00314aa  mov	x0, x20
0xfffffff009876344: f10309aa  mov	x17, x9
0xfffffff009876348: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00987634c: 11093fd7  blraa	x8, x17
0xfffffff009876350: 611e40f9  ldr	x1, [x19, #0x38]
0xfffffff009876354: 80218052  mov	w0, #0x10c
0xfffffff009876358: 20a1b072  movk	w0, #0x8509, lsl #16
0xfffffff00987635c: 020080d2  mov	x2, #0
0xfffffff009876360: 030080d2  mov	x3, #0
0xfffffff009876364: 040080d2  mov	x4, #0
0xfffffff009876368: 050080d2  mov	x5, #0
0xfffffff00987636c: e61ea497  bl	#0xfffffff00817df04
0xfffffff009876370: 16008052  mov	w22, #0
0xfffffff009876374: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff009876378: f1d89497  bl	#0xfffffff007dac73c
0xfffffff00987637c: e00316aa  mov	x0, x22
0xfffffff009876380: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009876384: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009876388: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00987638c: ff430191  add	sp, sp, #0x50
0xfffffff009876390: ff0f5fd6  retab	
0xfffffff009876394: 885f8052  mov	w8, #0x2fc
0xfffffff009876398: a9eafe90  adrp	x9, #0xfffffff0075ca000
0xfffffff00987639c: 29551691  add	x9, x9, #0x595
0xfffffff0098763a0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0098763a4: f42300a9  stp	x20, x8, [sp]
0xfffffff0098763a8: 80eafef0  adrp	x0, #0xfffffff0075c9000
0xfffffff0098763ac: 00803391  add	x0, x0, #0xce0
0xfffffff0098763b0: 5778b097  bl	#0xfffffff00849450c
0xfffffff0098763b4: 885f8052  mov	w8, #0x2fc
0xfffffff0098763b8: a9eafe90  adrp	x9, #0xfffffff0075ca000
0xfffffff0098763bc: 29551691  add	x9, x9, #0x595
0xfffffff0098763c0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0098763c4: f42300a9  stp	x20, x8, [sp]
0xfffffff0098763c8: 80eafef0  adrp	x0, #0xfffffff0075c9000
0xfffffff0098763cc: 00703291  add	x0, x0, #0xc9c
0xfffffff0098763d0: 4f78b097  bl	#0xfffffff00849450c
0xfffffff0098763d4: 7f2303d5  pacibsp	
0xfffffff0098763d8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098763dc: fd030091  mov	x29, sp
0xfffffff0098763e0: a1eafe90  adrp	x1, #0xfffffff0075ca000
0xfffffff0098763e4: 219c1b91  add	x1, x1, #0x6e7
0xfffffff0098763e8: e25800b0  adrp	x2, #0xfffffff00a393000
0xfffffff0098763ec: 42403391  add	x2, x2, #0xcd0
0xfffffff0098763f0: 03168052  mov	w3, #0xb0
0xfffffff0098763f4: d1b5a997  bl	#0xfffffff0082e3b38
0xfffffff0098763f8: 501fffd0  adrp	x16, #0xfffffff007c60000
0xfffffff0098763fc: 10e22991  add	x16, x16, #0xa78
0xfffffff009876400: 10420091  add	x16, x16, #0x10
0xfffffff009876404: f10300aa  mov	x17, x0
0xfffffff009876408: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00987640c: 300ac1da  pacda	x16, x17
0xfffffff009876410: 100000f9  str	x16, [x0]
0xfffffff009876414: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009876418: ff0f5fd6  retab	
0xfffffff00987641c: 5f2403d5  bti	c
0xfffffff009876420: b5b8a917  b	#0xfffffff0082e46f4
0xfffffff009876424: 7f2303d5  pacibsp	
