; Candidate 857
; ADRP+ADD at VM 0xfffffff0080e3794 (fileoff 0x10df794): page=0x1fef93000 add_imm=0xd33

0xfffffff0080e3714: 9f000079  strh	wzr, [x4]
0xfffffff0080e3718: 0a000014  b	#0xfffffff0080e3740
0xfffffff0080e371c: e90301aa  mov	x9, x1
0xfffffff0080e3720: a903f837  tbnz	w9, #0x1f, #0xfffffff0080e3794
0xfffffff0080e3724: 094d40f9  ldr	x9, [x8, #0x98]
0xfffffff0080e3728: 490000f9  str	x9, [x2]
0xfffffff0080e372c: 09a140b9  ldr	w9, [x8, #0xa0]
0xfffffff0080e3730: 690000b9  str	w9, [x3]
0xfffffff0080e3734: 09494179  ldrh	w9, [x8, #0xa4]
0xfffffff0080e3738: 89000079  strh	w9, [x4]
0xfffffff0080e373c: 084d4179  ldrh	w8, [x8, #0xa6]
0xfffffff0080e3740: a8000079  strh	w8, [x5]
0xfffffff0080e3744: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0080e3748: ff0f5fd6  retab	
0xfffffff0080e374c: 207dfff0  adrp	x0, #0xfffffff00708a000
0xfffffff0080e3750: 00cc1d91  add	x0, x0, #0x773
0xfffffff0080e3754: 817cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080e3758: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e375c: a2b78252  mov	w2, #0x15bd
0xfffffff0080e3760: 2df00e94  bl	#0xfffffff00849f814
0xfffffff0080e3764: 807cfff0  adrp	x0, #0xfffffff007076000
0xfffffff0080e3768: 00403491  add	x0, x0, #0xd10
0xfffffff0080e376c: 817cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080e3770: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e3774: c2b78252  mov	w2, #0x15be
0xfffffff0080e3778: 27f00e94  bl	#0xfffffff00849f814
0xfffffff0080e377c: 807cfff0  adrp	x0, #0xfffffff007076000
0xfffffff0080e3780: 00cc3491  add	x0, x0, #0xd33
0xfffffff0080e3784: 817cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080e3788: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e378c: 62b58252  mov	w2, #0x15ab
0xfffffff0080e3790: 21f00e94  bl	#0xfffffff00849f814
0xfffffff0080e3794: 807cfff0  adrp	x0, #0xfffffff007076000
0xfffffff0080e3798: 00cc3491  add	x0, x0, #0xd33
0xfffffff0080e379c: 817cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080e37a0: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e37a4: 02b98252  mov	w2, #0x15c8
0xfffffff0080e37a8: 1bf00e94  bl	#0xfffffff00849f814
0xfffffff0080e37ac: 7f2303d5  pacibsp	
0xfffffff0080e37b0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0080e37b4: fd030091  mov	x29, sp
0xfffffff0080e37b8: 283c4079  ldrh	w8, [x1, #0x1e]
0xfffffff0080e37bc: 08040836  tbz	w8, #1, #0xfffffff0080e383c
0xfffffff0080e37c0: 287440b9  ldr	w8, [x1, #0x74]
0xfffffff0080e37c4: 88045837  tbnz	w8, #0xb, #0xfffffff0080e3854
0xfffffff0080e37c8: 096443b9  ldr	w9, [x0, #0x364]
0xfffffff0080e37cc: 09019037  tbnz	w9, #0x12, #0xfffffff0080e37ec
0xfffffff0080e37d0: a9008036  tbz	w9, #0x10, #0xfffffff0080e37e4
0xfffffff0080e37d4: 49344039  ldrb	w9, [x2, #0xd]
0xfffffff0080e37d8: 69000036  tbz	w9, #0, #0xfffffff0080e37e4
0xfffffff0080e37dc: 08010232  orr	w8, w8, #0x40000000
0xfffffff0080e37e0: 287400b9  str	w8, [x1, #0x74]
0xfffffff0080e37e4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0080e37e8: ff0f5fd6  retab	
0xfffffff0080e37ec: 09c041f9  ldr	x9, [x0, #0x380]
0xfffffff0080e37f0: 294c00f9  str	x9, [x1, #0x98]
0xfffffff0080e37f4: 098843b9  ldr	w9, [x0, #0x388]
0xfffffff0080e37f8: 29a000b9  str	w9, [x1, #0xa0]
0xfffffff0080e37fc: 09184779  ldrh	w9, [x0, #0x38c]
0xfffffff0080e3800: 29480179  strh	w9, [x1, #0xa4]
0xfffffff0080e3804: 091c4779  ldrh	w9, [x0, #0x38e]
0xfffffff0080e3808: 294c0179  strh	w9, [x1, #0xa6]
0xfffffff0080e380c: 09404e39  ldrb	w9, [x0, #0x390]
0xfffffff0080e3810: 0a010232  orr	w10, w8, #0x40000000
