; Candidate 2454
; ADRP+ADD at VM 0xfffffff00868931c (fileoff 0x168531c): page=0x1fea9c000 add_imm=0xecb

0xfffffff00868929c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0086892a0: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0086892a4: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0086892a8: ff830191  add	sp, sp, #0x60
0xfffffff0086892ac: ff0f5fd6  retab	
0xfffffff0086892b0: e054ff90  adrp	x0, #0xfffffff007125000
0xfffffff0086892b4: 00303591  add	x0, x0, #0xd4c
0xfffffff0086892b8: c7ffff17  b	#0xfffffff0086891d4
0xfffffff0086892bc: 7f2303d5  pacibsp	
0xfffffff0086892c0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086892c4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086892c8: fd430091  add	x29, sp, #0x10
0xfffffff0086892cc: f30302aa  mov	x19, x2
0xfffffff0086892d0: f40300aa  mov	x20, x0
0xfffffff0086892d4: e054ff90  adrp	x0, #0xfffffff007125000
0xfffffff0086892d8: 00e43591  add	x0, x0, #0xd79
0xfffffff0086892dc: 5137f397  bl	#0xfffffff008357020
0xfffffff0086892e0: 61e20091  add	x1, x19, #0x38
0xfffffff0086892e4: 621a40f9  ldr	x2, [x19, #0x30]
0xfffffff0086892e8: e00314aa  mov	x0, x20
0xfffffff0086892ec: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086892f0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0086892f4: ff2303d5  autibsp	
0xfffffff0086892f8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086892fc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008689304
0xfffffff008689300: 208e38d4  brk	#0xc471
0xfffffff008689304: 97000014  b	#0xfffffff008689560
0xfffffff008689308: 7f2303d5  pacibsp	
0xfffffff00868930c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008689310: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008689314: fd430091  add	x29, sp, #0x10
0xfffffff008689318: f30300aa  mov	x19, x0
0xfffffff00868931c: e054ff90  adrp	x0, #0xfffffff007125000
0xfffffff008689320: 002c3b91  add	x0, x0, #0xecb
0xfffffff008689324: 3f37f397  bl	#0xfffffff008357020
0xfffffff008689328: e00313aa  mov	x0, x19
0xfffffff00868932c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008689330: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008689334: ff2303d5  autibsp	
0xfffffff008689338: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00868933c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008689344
0xfffffff008689340: 208e38d4  brk	#0xc471
0xfffffff008689344: e2000014  b	#0xfffffff0086896cc
0xfffffff008689348: 7f2303d5  pacibsp	
0xfffffff00868934c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008689350: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008689354: fd430091  add	x29, sp, #0x10
0xfffffff008689358: f30302aa  mov	x19, x2
0xfffffff00868935c: f40300aa  mov	x20, x0
0xfffffff008689360: e054ff90  adrp	x0, #0xfffffff007125000
0xfffffff008689364: 00b03c91  add	x0, x0, #0xf2c
0xfffffff008689368: 2e37f397  bl	#0xfffffff008357020
0xfffffff00868936c: 61820191  add	x1, x19, #0x60
0xfffffff008689370: 622e40f9  ldr	x2, [x19, #0x58]
0xfffffff008689374: e00314aa  mov	x0, x20
0xfffffff008689378: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00868937c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008689380: ff2303d5  autibsp	
0xfffffff008689384: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008689388: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008689390
0xfffffff00868938c: 208e38d4  brk	#0xc471
0xfffffff008689390: ee000014  b	#0xfffffff008689748
0xfffffff008689394: 7f2303d5  pacibsp	
0xfffffff008689398: f44fbea9  stp	x20, x19, [sp, #-0x20]!
