; Candidate 15984
; ADRP+ADD at VM 0xfffffff009df50f4 (fileoff 0x2df10f4): page=0x1fdf33000 add_imm=0xcf8

0xfffffff009df5074: 02f17dd3  lsl	x2, x8, #3
0xfffffff009df5078: a0f9fe90  adrp	x0, #0xfffffff007d29000
0xfffffff009df507c: 00600091  add	x0, x0, #0x18
0xfffffff009df5080: 5a879597  bl	#0xfffffff008356de8
0xfffffff009df5084: e00313aa  mov	x0, x19
0xfffffff009df5088: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009df508c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009df5090: ff2303d5  autibsp	
0xfffffff009df5094: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009df5098: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009df50a0
0xfffffff009df509c: 208e38d4  brk	#0xc471
0xfffffff009df50a0: 2bc99317  b	#0xfffffff0082e754c
0xfffffff009df50a4: 7f2303d5  pacibsp	
0xfffffff009df50a8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009df50ac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009df50b0: fd430091  add	x29, sp, #0x10
0xfffffff009df50b4: f30300aa  mov	x19, x0
0xfffffff009df50b8: d9ffff97  bl	#0xfffffff009df501c
0xfffffff009df50bc: 80f9fef0  adrp	x0, #0xfffffff007d28000
0xfffffff009df50c0: 00e03391  add	x0, x0, #0xcf8
0xfffffff009df50c4: e10313aa  mov	x1, x19
0xfffffff009df50c8: 02098052  mov	w2, #0x48
0xfffffff009df50cc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009df50d0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009df50d4: ff2303d5  autibsp	
0xfffffff009df50d8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009df50dc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009df50e4
0xfffffff009df50e0: 208e38d4  brk	#0xc471
0xfffffff009df50e4: 6ec99317  b	#0xfffffff0082e769c
0xfffffff009df50e8: 5f2403d5  bti	c
0xfffffff009df50ec: e20301aa  mov	x2, x1
0xfffffff009df50f0: e10300aa  mov	x1, x0
0xfffffff009df50f4: 80f9fef0  adrp	x0, #0xfffffff007d28000
0xfffffff009df50f8: 00e03391  add	x0, x0, #0xcf8
0xfffffff009df50fc: 68c99317  b	#0xfffffff0082e769c
0xfffffff009df5100: 5f2403d5  bti	c
0xfffffff009df5104: 402e00b0  adrp	x0, #0xfffffff00a3be000
0xfffffff009df5108: 00a03b91  add	x0, x0, #0xee8
0xfffffff009df510c: c0035fd6  ret	
0xfffffff009df5110: 7f2303d5  pacibsp	
0xfffffff009df5114: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df5118: fd030091  mov	x29, sp
0xfffffff009df511c: 61c5fed0  adrp	x1, #0xfffffff0076a3000
0xfffffff009df5120: 21e40091  add	x1, x1, #0x39
0xfffffff009df5124: 42f9fe90  adrp	x2, #0xfffffff007d1d000
0xfffffff009df5128: 427843f9  ldr	x2, [x2, #0x6f0]
0xfffffff009df512c: 03098052  mov	w3, #0x48
0xfffffff009df5130: 82ba9397  bl	#0xfffffff0082e3b38
0xfffffff009df5134: 90f9feb0  adrp	x16, #0xfffffff007d26000
0xfffffff009df5138: 10e23191  add	x16, x16, #0xc78
0xfffffff009df513c: 10420091  add	x16, x16, #0x10
0xfffffff009df5140: f10300aa  mov	x17, x0
0xfffffff009df5144: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df5148: 300ac1da  pacda	x16, x17
0xfffffff009df514c: 100000f9  str	x16, [x0]
0xfffffff009df5150: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df5154: ff0f5fd6  retab	
0xfffffff009df5158: 7f2303d5  pacibsp	
0xfffffff009df515c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df5160: fd030091  mov	x29, sp
0xfffffff009df5164: 80f9fef0  adrp	x0, #0xfffffff007d28000
0xfffffff009df5168: 00e03391  add	x0, x0, #0xcf8
0xfffffff009df516c: 01098052  mov	w1, #0x48
0xfffffff009df5170: 32c99397  bl	#0xfffffff0082e7638
