; Candidate 2749
; ADRP+ADD at VM 0xfffffff0086e6650 (fileoff 0x16e2650): page=0x1fea4b000 add_imm=0xd90

0xfffffff0086e65d0: 6b014039  ldrb	w11, [x11]
0xfffffff0086e65d4: b5020b2a  orr	w21, w21, w11
0xfffffff0086e65d8: eb030caa  mov	x11, x12
0xfffffff0086e65dc: 29050071  subs	w9, w9, #1
0xfffffff0086e65e0: a1feff54  b.ne	#0xfffffff0086e65b4
0xfffffff0086e65e4: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e65e8: 290140b9  ldr	w9, [x9]
0xfffffff0086e65ec: 3f011a6a  tst	w9, w26
0xfffffff0086e65f0: 80010054  b.eq	#0xfffffff0086e6620
0xfffffff0086e65f4: f52300a9  stp	x21, x8, [sp]
0xfffffff0086e65f8: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e65fc: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6600: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e6604: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e6608: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e660c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e6610: 02008052  mov	w2, #0
0xfffffff0086e6614: c732f197  bl	#0xfffffff008333130
0xfffffff0086e6618: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e661c: 080240b9  ldr	w8, [x16]
0xfffffff0086e6620: b67e1f53  lsr	w22, w21, #0x1f
0xfffffff0086e6624: a97a1f53  lsl	w9, w21, #1
0xfffffff0086e6628: 290200b9  str	w9, [x17]
0xfffffff0086e662c: 08050051  sub	w8, w8, #1
0xfffffff0086e6630: 080200b9  str	w8, [x16]
0xfffffff0086e6634: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e6638: 290140b9  ldr	w9, [x9]
0xfffffff0086e663c: 3f011a6a  tst	w9, w26
0xfffffff0086e6640: a0010054  b.eq	#0xfffffff0086e6674
0xfffffff0086e6644: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e6648: 28008052  mov	w8, #1
0xfffffff0086e664c: e85300a9  stp	x8, x20, [sp]
0xfffffff0086e6650: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e6654: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6658: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e665c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e6660: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e6664: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e6668: 02008052  mov	w2, #0
0xfffffff0086e666c: b132f197  bl	#0xfffffff008333130
0xfffffff0086e6670: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6674: 36010034  cbz	w22, #0xfffffff0086e6698
0xfffffff0086e6678: 4153ffd0  adrp	x1, #0xfffffff007150000
0xfffffff0086e667c: 21fc1391  add	x1, x1, #0x4ff
0xfffffff0086e6680: e00313aa  mov	x0, x19
0xfffffff0086e6684: 82008052  mov	w2, #4
0xfffffff0086e6688: b6130094  bl	#0xfffffff0086eb560
0xfffffff0086e668c: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6690: 091c0012  and	w9, w0, #0xff
0xfffffff0086e6694: 02000014  b	#0xfffffff0086e669c
0xfffffff0086e6698: 09008052  mov	w9, #0
0xfffffff0086e669c: 080340f9  ldr	x8, [x24]
0xfffffff0086e66a0: 09b50039  strb	w9, [x8, #0x2d]
0xfffffff0086e66a4: 0aa94039  ldrb	w10, [x8, #0x2a]
0xfffffff0086e66a8: 6a000035  cbnz	w10, #0xfffffff0086e66b4
0xfffffff0086e66ac: 0aad4039  ldrb	w10, [x8, #0x2b]
0xfffffff0086e66b0: ca080034  cbz	w10, #0xfffffff0086e67c8
0xfffffff0086e66b4: 09008052  mov	w9, #0
0xfffffff0086e66b8: 09b10239  strb	w9, [x8, #0xac]
0xfffffff0086e66bc: 080240b9  ldr	w8, [x16]
0xfffffff0086e66c0: 68000034  cbz	w8, #0xfffffff0086e66cc
0xfffffff0086e66c4: 340240b9  ldr	w20, [x17]
0xfffffff0086e66c8: 20000014  b	#0xfffffff0086e6748
0xfffffff0086e66cc: 14008052  mov	w20, #0
