; Candidate 3782
; ADRP+ADD at VM 0xfffffff00875bdd8 (fileoff 0x1757dd8): page=0x1fe9d6000 add_imm=0xd90

0xfffffff00875bd58: 63b43c91  add	x3, x3, #0xf2d
0xfffffff00875bd5c: 02008052  mov	w2, #0
0xfffffff00875bd60: f45cef97  bl	#0xfffffff008333130
0xfffffff00875bd64: 00008052  mov	w0, #0
0xfffffff00875bd68: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00875bd6c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00875bd70: ff030191  add	sp, sp, #0x40
0xfffffff00875bd74: ff0f5fd6  retab	
0xfffffff00875bd78: 7f2303d5  pacibsp	
0xfffffff00875bd7c: ff4301d1  sub	sp, sp, #0x50
0xfffffff00875bd80: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00875bd84: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00875bd88: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00875bd8c: fd030191  add	x29, sp, #0x40
0xfffffff00875bd90: f30302aa  mov	x19, x2
0xfffffff00875bd94: f40301aa  mov	x20, x1
0xfffffff00875bd98: 950090d2  mov	x21, #0x8004
0xfffffff00875bd9c: 5505a1f2  movk	x21, #0x82a, lsl #16
0xfffffff00875bda0: 7500c0f2  movk	x21, #3, lsl #32
0xfffffff00875bda4: 800090d2  mov	x0, #0x8004
0xfffffff00875bda8: 4005a1f2  movk	x0, #0x82a, lsl #16
0xfffffff00875bdac: 6000c0f2  movk	x0, #3, lsl #32
0xfffffff00875bdb0: 2e250094  bl	#0xfffffff008765268
0xfffffff00875bdb4: 800200b9  str	w0, [x20]
0xfffffff00875bdb8: a01200d1  sub	x0, x21, #4
0xfffffff00875bdbc: 2b250094  bl	#0xfffffff008765268
0xfffffff00875bdc0: 600200b9  str	w0, [x19]
0xfffffff00875bdc4: 880240b9  ldr	w8, [x20]
0xfffffff00875bdc8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00875bdcc: e94fffd0  adrp	x9, #0xfffffff007159000
0xfffffff00875bdd0: 29292791  add	x9, x9, #0x9ca
0xfffffff00875bdd4: e90300f9  str	x9, [sp]
0xfffffff00875bdd8: a04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875bddc: 00403691  add	x0, x0, #0xd90
0xfffffff00875bde0: 0195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875bde4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875bde8: 234fffd0  adrp	x3, #0xfffffff007141000
0xfffffff00875bdec: 63543d91  add	x3, x3, #0xf55
0xfffffff00875bdf0: 02008052  mov	w2, #0
0xfffffff00875bdf4: cf5cef97  bl	#0xfffffff008333130
0xfffffff00875bdf8: 00008052  mov	w0, #0
0xfffffff00875bdfc: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00875be00: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00875be04: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00875be08: ff430191  add	sp, sp, #0x50
0xfffffff00875be0c: ff0f5fd6  retab	
0xfffffff00875be10: 5f2403d5  bti	c
0xfffffff00875be14: 00008052  mov	w0, #0
0xfffffff00875be18: c0035fd6  ret	
0xfffffff00875be1c: 7f2303d5  pacibsp	
0xfffffff00875be20: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00875be24: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00875be28: fd430091  add	x29, sp, #0x10
0xfffffff00875be2c: f30300aa  mov	x19, x0
0xfffffff00875be30: 3095ffb0  adrp	x16, #0xfffffff007a00000
0xfffffff00875be34: 10020391  add	x16, x16, #0xc0
0xfffffff00875be38: 10420091  add	x16, x16, #0x10
0xfffffff00875be3c: f10300aa  mov	x17, x0
0xfffffff00875be40: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00875be44: 300ac1da  pacda	x16, x17
0xfffffff00875be48: 100000f9  str	x16, [x0]
0xfffffff00875be4c: 017c05f9  str	x1, [x0, #0xaf8]
0xfffffff00875be50: 02080bb9  str	w2, [x0, #0xb08]
0xfffffff00875be54: 00600091  add	x0, x0, #0x18
