; Candidate 29
; ADRP+ADD at VM 0xfffffff007d96dcc (fileoff 0xd92dcc): page=0x2435000 add_imm=0xd48

0xfffffff007d96d4c: e847c1da  xpacd	x8
0xfffffff007d96d50: 1f0208eb  cmp	x16, x8
0xfffffff007d96d54: 20030054  b.eq	#0xfffffff007d96db8
0xfffffff007d96d58: e81a44b9  ldr	w8, [x23, #0x418]
0xfffffff007d96d5c: e20308aa  mov	x2, x8
0xfffffff007d96d60: 5fffa288  casl	w2, wzr, [x26]
0xfffffff007d96d64: 5f00086b  cmp	w2, w8
0xfffffff007d96d68: 41070054  b.ne	#0xfffffff007d96e50
0xfffffff007d96d6c: a52101b0  adrp	x5, #0xfffffff00a1cb000
0xfffffff007d96d70: a5203591  add	x5, x5, #0xd48
0xfffffff007d96d74: a4800491  add	x4, x5, #0x120
0xfffffff007d96d78: e00316aa  mov	x0, x22
0xfffffff007d96d7c: e10313aa  mov	x1, x19
0xfffffff007d96d80: e20315aa  mov	x2, x21
0xfffffff007d96d84: e30314aa  mov	x3, x20
0xfffffff007d96d88: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff007d96d8c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff007d96d90: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff007d96d94: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff007d96d98: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff007d96d9c: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff007d96da0: ffc30191  add	sp, sp, #0x70
0xfffffff007d96da4: ff2303d5  autibsp	
0xfffffff007d96da8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007d96dac: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007d96db4
0xfffffff007d96db0: 208e38d4  brk	#0xc471
0xfffffff007d96db4: b4fcff17  b	#0xfffffff007d96084
0xfffffff007d96db8: e81a44b9  ldr	w8, [x23, #0x418]
0xfffffff007d96dbc: e20308aa  mov	x2, x8
0xfffffff007d96dc0: 5fffa288  casl	w2, wzr, [x26]
0xfffffff007d96dc4: 5f00086b  cmp	w2, w8
0xfffffff007d96dc8: 40eaff54  b.eq	#0xfffffff007d96b10
0xfffffff007d96dcc: a02101b0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007d96dd0: 00203591  add	x0, x0, #0xd48
0xfffffff007d96dd4: e10317aa  mov	x1, x23
0xfffffff007d96dd8: 63560094  bl	#0xfffffff007dac764
0xfffffff007d96ddc: 4dffff17  b	#0xfffffff007d96b10
0xfffffff007d96de0: e00318aa  mov	x0, x24
0xfffffff007d96de4: e10317aa  mov	x1, x23
0xfffffff007d96de8: 02008052  mov	w2, #0
0xfffffff007d96dec: 43530094  bl	#0xfffffff007dabaf8
0xfffffff007d96df0: 70a340f9  ldr	x16, [x27, #0x140]
0xfffffff007d96df4: b0e2ffb5  cbnz	x16, #0xfffffff007d96a48
0xfffffff007d96df8: 30ffff17  b	#0xfffffff007d96ab8
0xfffffff007d96dfc: e00318aa  mov	x0, x24
0xfffffff007d96e00: e10317aa  mov	x1, x23
0xfffffff007d96e04: 58560094  bl	#0xfffffff007dac764
0xfffffff007d96e08: 32ffff17  b	#0xfffffff007d96ad0
0xfffffff007d96e0c: e0031aaa  mov	x0, x26
0xfffffff007d96e10: e10317aa  mov	x1, x23
0xfffffff007d96e14: 02008052  mov	w2, #0
0xfffffff007d96e18: 38530094  bl	#0xfffffff007dabaf8
0xfffffff007d96e1c: 70a340f9  ldr	x16, [x27, #0x140]
0xfffffff007d96e20: 30ecffb5  cbnz	x16, #0xfffffff007d96ba4
0xfffffff007d96e24: 7cffff17  b	#0xfffffff007d96c14
0xfffffff007d96e28: e0031aaa  mov	x0, x26
0xfffffff007d96e2c: e10317aa  mov	x1, x23
0xfffffff007d96e30: 4d560094  bl	#0xfffffff007dac764
0xfffffff007d96e34: 7effff17  b	#0xfffffff007d96c2c
0xfffffff007d96e38: a02101b0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007d96e3c: 00203591  add	x0, x0, #0xd48
0xfffffff007d96e40: e10317aa  mov	x1, x23
0xfffffff007d96e44: 02008052  mov	w2, #0
0xfffffff007d96e48: 2c530094  bl	#0xfffffff007dabaf8
