; Candidate 15798
; ADRP+ADD at VM 0xfffffff009d137b8 (fileoff 0x2d0f7b8): page=0x1fd957000 add_imm=0xea2

0xfffffff009d13738: f10310aa  mov	x17, x16
0xfffffff009d1373c: f143c1da  xpaci	x17
0xfffffff009d13740: 1f0211eb  cmp	x16, x17
0xfffffff009d13744: 40000054  b.eq	#0xfffffff009d1374c
0xfffffff009d13748: 008e38d4  brk	#0xc470
0xfffffff009d1374c: 91219dd2  mov	x17, #0xe90c
0xfffffff009d13750: 3002c1da  pacia	x16, x17
0xfffffff009d13754: ad010014  b	#0xfffffff009d13e08
0xfffffff009d13758: d32300b4  cbz	x19, #0xfffffff009d13bd0
0xfffffff009d1375c: 745641b9  ldr	w20, [x19, #0x154]
0xfffffff009d13760: 94230036  tbz	w20, #0, #0xfffffff009d13bd0
0xfffffff009d13764: 9409f036  tbz	w20, #0x1e, #0xfffffff009d13894
0xfffffff009d13768: cde98697  bl	#0xfffffff007ecde9c
0xfffffff009d1376c: 1f040071  cmp	w0, #1
0xfffffff009d13770: 21090054  b.ne	#0xfffffff009d13894
0xfffffff009d13774: 700240f9  ldr	x16, [x19]
0xfffffff009d13778: f10313aa  mov	x17, x19
0xfffffff009d1377c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d13780: 301ac1da  autda	x16, x17
0xfffffff009d13784: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009d13788: e90310aa  mov	x9, x16
0xfffffff009d1378c: e00313aa  mov	x0, x19
0xfffffff009d13790: f10309aa  mov	x17, x9
0xfffffff009d13794: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009d13798: 11093fd7  blraa	x8, x17
0xfffffff009d1379c: 6f449797  bl	#0xfffffff0082e4958
0xfffffff009d137a0: a8cafef0  adrp	x8, #0xfffffff00766a000
0xfffffff009d137a4: 08792d91  add	x8, x8, #0xb5e
0xfffffff009d137a8: a9cafef0  adrp	x9, #0xfffffff00766a000
0xfffffff009d137ac: 292d2d91  add	x9, x9, #0xb4b
0xfffffff009d137b0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009d137b4: e00300f9  str	x0, [sp]
0xfffffff009d137b8: a0cafef0  adrp	x0, #0xfffffff00766a000
0xfffffff009d137bc: 00883a91  add	x0, x0, #0xea2
0xfffffff009d137c0: 03010014  b	#0xfffffff009d13bcc
0xfffffff009d137c4: 745641b9  ldr	w20, [x19, #0x154]
0xfffffff009d137c8: 54200036  tbz	w20, #0, #0xfffffff009d13bd0
0xfffffff009d137cc: b40bf036  tbz	w20, #0x1e, #0xfffffff009d13940
0xfffffff009d137d0: b3e98697  bl	#0xfffffff007ecde9c
0xfffffff009d137d4: 1f040071  cmp	w0, #1
0xfffffff009d137d8: 410b0054  b.ne	#0xfffffff009d13940
0xfffffff009d137dc: 700240f9  ldr	x16, [x19]
0xfffffff009d137e0: f10313aa  mov	x17, x19
0xfffffff009d137e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d137e8: 301ac1da  autda	x16, x17
0xfffffff009d137ec: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009d137f0: e90310aa  mov	x9, x16
0xfffffff009d137f4: e00313aa  mov	x0, x19
0xfffffff009d137f8: f10309aa  mov	x17, x9
0xfffffff009d137fc: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009d13800: 11093fd7  blraa	x8, x17
0xfffffff009d13804: 55449797  bl	#0xfffffff0082e4958
0xfffffff009d13808: a8cafef0  adrp	x8, #0xfffffff00766a000
0xfffffff009d1380c: 08792d91  add	x8, x8, #0xb5e
0xfffffff009d13810: a9cafef0  adrp	x9, #0xfffffff00766a000
0xfffffff009d13814: 292d2d91  add	x9, x9, #0xb4b
0xfffffff009d13818: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009d1381c: e00300f9  str	x0, [sp]
0xfffffff009d13820: a0cafef0  adrp	x0, #0xfffffff00766a000
0xfffffff009d13824: 003c3b91  add	x0, x0, #0xecf
0xfffffff009d13828: e9000014  b	#0xfffffff009d13bcc
0xfffffff009d1382c: 745641b9  ldr	w20, [x19, #0x154]
0xfffffff009d13830: 141d0036  tbz	w20, #0, #0xfffffff009d13bd0
0xfffffff009d13834: 1411f036  tbz	w20, #0x1e, #0xfffffff009d13a54
