; Candidate 3128
; ADRP+ADD at VM 0xfffffff008715214 (fileoff 0x1711214): page=0x1fea1c000 add_imm=0xd90

0xfffffff008715194: 29008052  mov	w9, #1
0xfffffff008715198: 2821c89a  lsl	x8, x9, x8
0xfffffff00871519c: 290180d2  mov	x9, #9
0xfffffff0087151a0: 4900a1f2  movk	x9, #0x802, lsl #16
0xfffffff0087151a4: 0911c4f2  movk	x9, #0x2088, lsl #32
0xfffffff0087151a8: 1f0109ea  tst	x8, x9
0xfffffff0087151ac: 20050054  b.eq	#0xfffffff008715250
0xfffffff0087151b0: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff0087151b4: 1711c05a  clz	w23, w8
0xfffffff0087151b8: 17040034  cbz	w23, #0xfffffff008715238
0xfffffff0087151bc: e1060011  add	w1, w23, #1
0xfffffff0087151c0: e00314aa  mov	x0, x20
0xfffffff0087151c4: 02008052  mov	w2, #0
0xfffffff0087151c8: c7fdff97  bl	#0xfffffff0087148e4
0xfffffff0087151cc: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff0087151d0: e903174b  neg	w9, w23
0xfffffff0087151d4: 1325c91a  lsr	w19, w8, w9
0xfffffff0087151d8: e00314aa  mov	x0, x20
0xfffffff0087151dc: e10317aa  mov	x1, x23
0xfffffff0087151e0: 02008052  mov	w2, #0
0xfffffff0087151e4: c0fdff97  bl	#0xfffffff0087148e4
0xfffffff0087151e8: 08008012  mov	w8, #-1
0xfffffff0087151ec: 0821d71a  lsl	w8, w8, w23
0xfffffff0087151f0: e803282a  mvn	w8, w8
0xfffffff0087151f4: 6802080b  add	w8, w19, w8
0xfffffff0087151f8: 68030039  strb	w8, [x27]
0xfffffff0087151fc: 081d0012  and	w8, w8, #0xff
0xfffffff008715200: 1f110071  cmp	w8, #4
0xfffffff008715204: 03030054  b.lo	#0xfffffff008715264
0xfffffff008715208: 0852ff90  adrp	x8, #0xfffffff007155000
0xfffffff00871520c: 08b91291  add	x8, x8, #0x4ae
0xfffffff008715210: e80300f9  str	x8, [sp]
0xfffffff008715214: e050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008715218: 00403691  add	x0, x0, #0xd90
0xfffffff00871521c: 4197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008715220: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008715224: 0351fff0  adrp	x3, #0xfffffff007138000
0xfffffff008715228: 633c1191  add	x3, x3, #0x44f
0xfffffff00871522c: 02008052  mov	w2, #0
0xfffffff008715230: c077f097  bl	#0xfffffff008333130
0xfffffff008715234: d6010014  b	#0xfffffff00871598c
0xfffffff008715238: e00314aa  mov	x0, x20
0xfffffff00871523c: 21008052  mov	w1, #1
0xfffffff008715240: 02008052  mov	w2, #0
0xfffffff008715244: a8fdff97  bl	#0xfffffff0087148e4
0xfffffff008715248: 7f030039  strb	wzr, [x27]
0xfffffff00871524c: 11000014  b	#0xfffffff008715290
0xfffffff008715250: 7fd20371  cmp	w19, #0xf4
0xfffffff008715254: e0faff54  b.eq	#0xfffffff0087151b0
0xfffffff008715258: 7fb20071  cmp	w19, #0x2c
0xfffffff00871525c: a0faff54  b.eq	#0xfffffff0087151b0
0xfffffff008715260: b3000014  b	#0xfffffff00871552c
0xfffffff008715264: 1f0d0071  cmp	w8, #3
0xfffffff008715268: 41010054  b.ne	#0xfffffff008715290
0xfffffff00871526c: 880640f9  ldr	x8, [x20, #8]
0xfffffff008715270: 13fd7fd3  lsr	x19, x8, #0x3f
0xfffffff008715274: e00314aa  mov	x0, x20
0xfffffff008715278: 21008052  mov	w1, #1
0xfffffff00871527c: 02008052  mov	w2, #0
0xfffffff008715280: 99fdff97  bl	#0xfffffff0087148e4
0xfffffff008715284: 08168152  mov	w8, #0x8b0
0xfffffff008715288: c872089b  madd	x8, x22, x8, x28
0xfffffff00871528c: 13150039  strb	w19, [x8, #5]
0xfffffff008715290: 880e40b9  ldr	w8, [x20, #0xc]
