; Candidate 7421
; ADRP+ADD at VM 0xfffffff00886ca74 (fileoff 0x1868a74): page=0x1fe9bd000 add_imm=0xd8e

0xfffffff00886c9f4: a1040054  b.ne	#0xfffffff00886ca88
0xfffffff00886c9f8: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff00886c9fc: e10314aa  mov	x1, x20
0xfffffff00886ca00: 292f0094  bl	#0xfffffff0088786a4
0xfffffff00886ca04: f50300aa  mov	x21, x0
0xfffffff00886ca08: 800e0034  cbz	w0, #0xfffffff00886cbd8
0xfffffff00886ca0c: 600c8052  mov	w0, #0x63
0xfffffff00886ca10: 81008052  mov	w1, #4
0xfffffff00886ca14: 6f3b0094  bl	#0xfffffff00887b7d0
0xfffffff00886ca18: 80150034  cbz	w0, #0xfffffff00886ccc8
0xfffffff00886ca1c: 600c8052  mov	w0, #0x63
0xfffffff00886ca20: 7e3b0094  bl	#0xfffffff00887b818
0xfffffff00886ca24: f70300aa  mov	x23, x0
0xfffffff00886ca28: e11d0194  bl	#0xfffffff0088b41ac
0xfffffff00886ca2c: f60300aa  mov	x22, x0
0xfffffff00886ca30: 80008052  mov	w0, #4
0xfffffff00886ca34: 873b0094  bl	#0xfffffff00887b850
0xfffffff00886ca38: f71b0034  cbz	w23, #0xfffffff00886cdb4
0xfffffff00886ca3c: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886ca40: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00886ca44: 294dff90  adrp	x9, #0xfffffff007210000
0xfffffff00886ca48: 2ab92791  add	x10, x9, #0x9ee
0xfffffff00886ca4c: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00886ca50: 88f98052  mov	w8, #0x7cc
0xfffffff00886ca54: e94dffb0  adrp	x9, #0xfffffff007229000
0xfffffff00886ca58: 29cd3591  add	x9, x9, #0xd73
0xfffffff00886ca5c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00886ca60: c84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886ca64: 08811191  add	x8, x8, #0x460
0xfffffff00886ca68: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886ca6c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00886ca70: 680c8052  mov	w8, #0x63
0xfffffff00886ca74: e04dffb0  adrp	x0, #0xfffffff007229000
0xfffffff00886ca78: 00383691  add	x0, x0, #0xd8e
0xfffffff00886ca7c: f62300a9  stp	x22, x8, [sp]
0xfffffff00886ca80: 782ad597  bl	#0xfffffff007db7460
0xfffffff00886ca84: 91000014  b	#0xfffffff00886ccc8
0xfffffff00886ca88: 600c8052  mov	w0, #0x63
0xfffffff00886ca8c: 81008052  mov	w1, #4
0xfffffff00886ca90: 503b0094  bl	#0xfffffff00887b7d0
0xfffffff00886ca94: 80110034  cbz	w0, #0xfffffff00886ccc4
0xfffffff00886ca98: 600c8052  mov	w0, #0x63
0xfffffff00886ca9c: 5f3b0094  bl	#0xfffffff00887b818
0xfffffff00886caa0: f60300aa  mov	x22, x0
0xfffffff00886caa4: c21d0194  bl	#0xfffffff0088b41ac
0xfffffff00886caa8: f50300aa  mov	x21, x0
0xfffffff00886caac: 80008052  mov	w0, #4
0xfffffff00886cab0: 683b0094  bl	#0xfffffff00887b850
0xfffffff00886cab4: 360d0034  cbz	w22, #0xfffffff00886cc58
0xfffffff00886cab8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886cabc: 69a240b9  ldr	w9, [x19, #0xa0]
0xfffffff00886cac0: ca4dffb0  adrp	x10, #0xfffffff007225000
0xfffffff00886cac4: 4a5d3e91  add	x10, x10, #0xf97
0xfffffff00886cac8: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff00886cacc: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff00886cad0: e8f88052  mov	w8, #0x7c7
0xfffffff00886cad4: e94dffb0  adrp	x9, #0xfffffff007229000
0xfffffff00886cad8: 29cd3591  add	x9, x9, #0xd73
0xfffffff00886cadc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00886cae0: c84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886cae4: 08811191  add	x8, x8, #0x460
0xfffffff00886cae8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886caec: 680c8052  mov	w8, #0x63
0xfffffff00886caf0: a04dffb0  adrp	x0, #0xfffffff007221000
