; Candidate 16438
; ADRP+ADD at VM 0xfffffff009ea9944 (fileoff 0x2ea5944): page=0x1fd98c000 add_imm=0xed1

0xfffffff009ea98c4: 02008052  mov	w2, #0
0xfffffff009ea98c8: bc0d9797  bl	#0xfffffff00846cfb8
0xfffffff009ea98cc: 40050035  cbnz	w0, #0xfffffff009ea9974
0xfffffff009ea98d0: 08c68352  mov	w8, #0x1e30
0xfffffff009ea98d4: 9302088b  add	x19, x20, x8
0xfffffff009ea98d8: e00313aa  mov	x0, x19
0xfffffff009ea98dc: 35107c97  bl	#0xfffffff007dad9b0
0xfffffff009ea98e0: 08c88352  mov	w8, #0x1e40
0xfffffff009ea98e4: 9502088b  add	x21, x20, x8
0xfffffff009ea98e8: e00315aa  mov	x0, x21
0xfffffff009ea98ec: 78087c97  bl	#0xfffffff007dabacc
0xfffffff009ea98f0: 88525eb9  ldr	w8, [x20, #0x1e50]
0xfffffff009ea98f4: 1f190071  cmp	w8, #6
0xfffffff009ea98f8: 29008052  mov	w9, #1
0xfffffff009ea98fc: 2821c81a  lsl	w8, w9, w8
0xfffffff009ea9900: 290c8052  mov	w9, #0x61
0xfffffff009ea9904: 0801090a  and	w8, w8, w9
0xfffffff009ea9908: e00315aa  mov	x0, x21
0xfffffff009ea990c: 0499407a  ccmp	w8, #0, #4, ls
0xfffffff009ea9910: 80000054  b.eq	#0xfffffff009ea9920
0xfffffff009ea9914: 8a0b7c97  bl	#0xfffffff007dac73c
0xfffffff009ea9918: 94048052  mov	w20, #0x24
0xfffffff009ea991c: 0e000014  b	#0xfffffff009ea9954
0xfffffff009ea9920: 870b7c97  bl	#0xfffffff007dac73c
0xfffffff009ea9924: e00314aa  mov	x0, x20
0xfffffff009ea9928: 50000094  bl	#0xfffffff009ea9a68
0xfffffff009ea992c: ea03002a  mov	w10, w0
0xfffffff009ea9930: 68ccfe90  adrp	x8, #0xfffffff007835000
0xfffffff009ea9934: 08ad3b91  add	x8, x8, #0xeeb
0xfffffff009ea9938: 296d8d52  mov	w9, #0x6b69
0xfffffff009ea993c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009ea9940: e80300f9  str	x8, [sp]
0xfffffff009ea9944: 60ccfe90  adrp	x0, #0xfffffff007835000
0xfffffff009ea9948: 00443b91  add	x0, x0, #0xed1
0xfffffff009ea994c: c5367c97  bl	#0xfffffff007db7460
0xfffffff009ea9950: 14008052  mov	w20, #0
0xfffffff009ea9954: e00313aa  mov	x0, x19
0xfffffff009ea9958: a9137c97  bl	#0xfffffff007dae7fc
0xfffffff009ea995c: e00314aa  mov	x0, x20
0xfffffff009ea9960: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009ea9964: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009ea9968: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009ea996c: ff430191  add	sp, sp, #0x50
0xfffffff009ea9970: ff0f5fd6  retab	
0xfffffff009ea9974: d4098052  mov	w20, #0x4e
0xfffffff009ea9978: f9ffff17  b	#0xfffffff009ea995c
0xfffffff009ea997c: 7f2303d5  pacibsp	
0xfffffff009ea9980: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009ea9984: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009ea9988: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009ea998c: fd830091  add	x29, sp, #0x20
0xfffffff009ea9990: f40301aa  mov	x20, x1
0xfffffff009ea9994: f30300aa  mov	x19, x0
0xfffffff009ea9998: 28008052  mov	w8, #1
0xfffffff009ea999c: 28000039  strb	w8, [x1]
0xfffffff009ea99a0: 2bd0ff97  bl	#0xfffffff009e9da4c
0xfffffff009ea99a4: e0010036  tbz	w0, #0, #0xfffffff009ea99e0
0xfffffff009ea99a8: 08d98352  mov	w8, #0x1ec8
0xfffffff009ea99ac: 7402088b  add	x20, x19, x8
0xfffffff009ea99b0: e00314aa  mov	x0, x20
0xfffffff009ea99b4: 46087c97  bl	#0xfffffff007dabacc
0xfffffff009ea99b8: e00313aa  mov	x0, x19
0xfffffff009ea99bc: 3fd0ff97  bl	#0xfffffff009e9dab8
0xfffffff009ea99c0: f50300aa  mov	x21, x0
