; Candidate 5874
; ADRP+ADD at VM 0xfffffff00880a1d4 (fileoff 0x18061d4): page=0x1fea10000 add_imm=0xd46

0xfffffff00880a154: 01211f91  add	x1, x8, #0x7c8
0xfffffff00880a158: c22a75b9  ldr	w2, [x22, #0x3528]
0xfffffff00880a15c: 832641b9  ldr	w3, [x20, #0x124]
0xfffffff00880a160: ff020071  cmp	w23, #0
0xfffffff00880a164: e4079f1a  cset	w4, ne
0xfffffff00880a168: e5230191  add	x5, sp, #0x48
0xfffffff00880a16c: 8fe20294  bl	#0xfffffff0088c2ba8
0xfffffff00880a170: 20070034  cbz	w0, #0xfffffff00880a254
0xfffffff00880a174: f40300aa  mov	x20, x0
0xfffffff00880a178: 800e8052  mov	w0, #0x74
0xfffffff00880a17c: 81008052  mov	w1, #4
0xfffffff00880a180: 94c50194  bl	#0xfffffff00887b7d0
0xfffffff00880a184: 80170034  cbz	w0, #0xfffffff00880a474
0xfffffff00880a188: 800e8052  mov	w0, #0x74
0xfffffff00880a18c: a3c50194  bl	#0xfffffff00887b818
0xfffffff00880a190: f60300aa  mov	x22, x0
0xfffffff00880a194: 06a80294  bl	#0xfffffff0088b41ac
0xfffffff00880a198: f50300aa  mov	x21, x0
0xfffffff00880a19c: 80008052  mov	w0, #4
0xfffffff00880a1a0: acc50194  bl	#0xfffffff00887b850
0xfffffff00880a1a4: f60c0034  cbz	w22, #0xfffffff00880a340
0xfffffff00880a1a8: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00880a1ac: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff00880a1b0: 2850ffd0  adrp	x8, #0xfffffff007210000
0xfffffff00880a1b4: 08b92791  add	x8, x8, #0x9ee
0xfffffff00880a1b8: e9a28052  mov	w9, #0x517
0xfffffff00880a1bc: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00880a1c0: 8850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff00880a1c4: 08f53591  add	x8, x8, #0xd7d
0xfffffff00880a1c8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880a1cc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880a1d0: 880e8052  mov	w8, #0x74
0xfffffff00880a1d4: 8050ff90  adrp	x0, #0xfffffff00721a000
0xfffffff00880a1d8: 00183591  add	x0, x0, #0xd46
0xfffffff00880a1dc: f52300a9  stp	x21, x8, [sp]
0xfffffff00880a1e0: a0b4d697  bl	#0xfffffff007db7460
0xfffffff00880a1e4: a4000014  b	#0xfffffff00880a474
0xfffffff00880a1e8: 800e8052  mov	w0, #0x74
0xfffffff00880a1ec: 81008052  mov	w1, #4
0xfffffff00880a1f0: 78c50194  bl	#0xfffffff00887b7d0
0xfffffff00880a1f4: e0130034  cbz	w0, #0xfffffff00880a470
0xfffffff00880a1f8: 800e8052  mov	w0, #0x74
0xfffffff00880a1fc: 87c50194  bl	#0xfffffff00887b818
0xfffffff00880a200: f60300aa  mov	x22, x0
0xfffffff00880a204: eaa70294  bl	#0xfffffff0088b41ac
0xfffffff00880a208: f50300aa  mov	x21, x0
0xfffffff00880a20c: 80008052  mov	w0, #4
0xfffffff00880a210: 90c50194  bl	#0xfffffff00887b850
0xfffffff00880a214: b60c0034  cbz	w22, #0xfffffff00880a3a8
0xfffffff00880a218: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00880a21c: 89c640b9  ldr	w9, [x20, #0xc4]
0xfffffff00880a220: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff00880a224: 8850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff00880a228: 08b52e91  add	x8, x8, #0xbad
0xfffffff00880a22c: 29a48052  mov	w9, #0x521
0xfffffff00880a230: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00880a234: 8850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff00880a238: 08f53591  add	x8, x8, #0xd7d
0xfffffff00880a23c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880a240: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880a244: 880e8052  mov	w8, #0x74
0xfffffff00880a248: 8050ff90  adrp	x0, #0xfffffff00721a000
0xfffffff00880a24c: 00702d91  add	x0, x0, #0xb5c
0xfffffff00880a250: 20000014  b	#0xfffffff00880a2d0
