; Candidate 2462
; ADRP+ADD at VM 0xfffffff0086900a0 (fileoff 0x168c0a0): page=0x1fea96000 add_imm=0xd7e

0xfffffff008690020: 300040f9  ldr	x16, [x1]
0xfffffff008690024: f10301aa  mov	x17, x1
0xfffffff008690028: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00869002c: 301ac1da  autda	x16, x17
0xfffffff008690030: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008690034: e90310aa  mov	x9, x16
0xfffffff008690038: f10309aa  mov	x17, x9
0xfffffff00869003c: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008690040: 11093fd7  blraa	x8, x17
0xfffffff008690044: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008690048: ff2303d5  autibsp	
0xfffffff00869004c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008690050: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008690058
0xfffffff008690054: 208e38d4  brk	#0xc471
0xfffffff008690058: e25bf217  b	#0xfffffff008326fe0
0xfffffff00869005c: 5f2403d5  bti	c
0xfffffff008690060: a054ff90  adrp	x0, #0xfffffff007124000
0xfffffff008690064: 00d02791  add	x0, x0, #0x9f4
0xfffffff008690068: c0035fd6  ret	
0xfffffff00869006c: 5f2403d5  bti	c
0xfffffff008690070: a054ffd0  adrp	x0, #0xfffffff007126000
0xfffffff008690074: 00c43691  add	x0, x0, #0xdb1
0xfffffff008690078: c0035fd6  ret	
0xfffffff00869007c: 7f2303d5  pacibsp	
0xfffffff008690080: ffc300d1  sub	sp, sp, #0x30
0xfffffff008690084: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008690088: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00869008c: fd830091  add	x29, sp, #0x20
0xfffffff008690090: f40302aa  mov	x20, x2
0xfffffff008690094: f30301aa  mov	x19, x1
0xfffffff008690098: c8038052  mov	w8, #0x1e
0xfffffff00869009c: e80700f9  str	x8, [sp, #8]
0xfffffff0086900a0: a054ffd0  adrp	x0, #0xfffffff007126000
0xfffffff0086900a4: 00f83591  add	x0, x0, #0xd7e
0xfffffff0086900a8: 010080d2  mov	x1, #0
0xfffffff0086900ac: 30eaf397  bl	#0xfffffff00838a96c
0xfffffff0086900b0: e1230091  add	x1, sp, #8
0xfffffff0086900b4: 82e1f397  bl	#0xfffffff0083886bc
0xfffffff0086900b8: 800500b4  cbz	x0, #0xfffffff008690168
0xfffffff0086900bc: 100040f9  ldr	x16, [x0]
0xfffffff0086900c0: f10300aa  mov	x17, x0
0xfffffff0086900c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086900c8: 301ac1da  autda	x16, x17
0xfffffff0086900cc: 112380d2  mov	x17, #0x118
0xfffffff0086900d0: 1002118b  add	x16, x16, x17
0xfffffff0086900d4: 080240f9  ldr	x8, [x16]
0xfffffff0086900d8: e90310aa  mov	x9, x16
0xfffffff0086900dc: a154ffd0  adrp	x1, #0xfffffff007126000
0xfffffff0086900e0: 21f83591  add	x1, x1, #0xd7e
0xfffffff0086900e4: f10309aa  mov	x17, x9
0xfffffff0086900e8: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0086900ec: 11093fd7  blraa	x8, x17
0xfffffff0086900f0: 889afff0  adrp	x8, #0xfffffff0079e3000
0xfffffff0086900f4: 080547f9  ldr	x8, [x8, #0xe08]
0xfffffff0086900f8: 010140f9  ldr	x1, [x8]
0xfffffff0086900fc: fe4ef197  bl	#0xfffffff0082e3cf4
0xfffffff008690100: 100040f9  ldr	x16, [x0]
0xfffffff008690104: f10300aa  mov	x17, x0
0xfffffff008690108: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00869010c: 301ac1da  autda	x16, x17
0xfffffff008690110: f10310aa  mov	x17, x16
0xfffffff008690114: f147c1da  xpacd	x17
0xfffffff008690118: 1f0211eb  cmp	x16, x17
0xfffffff00869011c: 40000054  b.eq	#0xfffffff008690124
