; Candidate 11367
; ADRP+ADD at VM 0xfffffff008ef6030 (fileoff 0x1ef2030): page=0x1fe514000 add_imm=0xd07

0xfffffff008ef5fb0: f10300aa  mov	x17, x0
0xfffffff008ef5fb4: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef5fb8: 301ac1da  autda	x16, x17
0xfffffff008ef5fbc: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008ef5fc0: e90310aa  mov	x9, x16
0xfffffff008ef5fc4: f10309aa  mov	x17, x9
0xfffffff008ef5fc8: 1199e4f2  movk	x17, #0x24c8, lsl #48
0xfffffff008ef5fcc: 11093fd7  blraa	x8, x17
0xfffffff008ef5fd0: ecffff17  b	#0xfffffff008ef5f80
0xfffffff008ef5fd4: 0061ffb0  adrp	x0, #0xfffffff007b16000
0xfffffff008ef5fd8: 00003d91  add	x0, x0, #0xf40
0xfffffff008ef5fdc: e10314aa  mov	x1, x20
0xfffffff008ef5fe0: e20315aa  mov	x2, x21
0xfffffff008ef5fe4: 8183d197  bl	#0xfffffff008356de8
0xfffffff008ef5fe8: f060fff0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef5fec: 10022e91  add	x16, x16, #0xb80
0xfffffff008ef5ff0: 10420091  add	x16, x16, #0x10
0xfffffff008ef5ff4: f10313aa  mov	x17, x19
0xfffffff008ef5ff8: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef5ffc: 300ac1da  pacda	x16, x17
0xfffffff008ef6000: 700200f9  str	x16, [x19]
0xfffffff008ef6004: 680640f9  ldr	x8, [x19, #8]
0xfffffff008ef6008: 480100b5  cbnz	x8, #0xfffffff008ef6030
0xfffffff008ef600c: e00313aa  mov	x0, x19
0xfffffff008ef6010: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008ef6014: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008ef6018: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008ef601c: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff008ef6020: ff0f5fd6  retab	
0xfffffff008ef6024: 6028ffd0  adrp	x0, #0xfffffff007404000
0xfffffff008ef6028: 00000891  add	x0, x0, #0x200
0xfffffff008ef602c: 2efeff97  bl	#0xfffffff008ef58e4
0xfffffff008ef6030: a028ff90  adrp	x0, #0xfffffff00740a000
0xfffffff008ef6034: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef6038: 2bfeff97  bl	#0xfffffff008ef58e4
0xfffffff008ef603c: 7f2303d5  pacibsp	
0xfffffff008ef6040: ff8304d1  sub	sp, sp, #0x120
0xfffffff008ef6044: f6570fa9  stp	x22, x21, [sp, #0xf0]
0xfffffff008ef6048: f44f10a9  stp	x20, x19, [sp, #0x100]
0xfffffff008ef604c: fd7b11a9  stp	x29, x30, [sp, #0x110]
0xfffffff008ef6050: fd430491  add	x29, sp, #0x110
0xfffffff008ef6054: e90301aa  mov	x9, x1
0xfffffff008ef6058: f40300aa  mov	x20, x0
0xfffffff008ef605c: f30308aa  mov	x19, x8
0xfffffff008ef6060: b50301d1  sub	x21, x29, #0x40
0xfffffff008ef6064: bf573ca9  stp	xzr, x21, [x29, #-0x40]
0xfffffff008ef6068: a828ffd0  adrp	x8, #0xfffffff00740c000
0xfffffff008ef606c: 004147fd  ldr	d0, [x8, #0xe80]
0xfffffff008ef6070: a0031dfc  stur	d0, [x29, #-0x30]
0xfffffff008ef6074: bf831d38  sturb	wzr, [x29, #-0x28]
0xfffffff008ef6078: bf031bf8  stur	xzr, [x29, #-0x50]
0xfffffff008ef607c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008ef6080: a0833cad  stp	q0, q0, [x29, #-0x70]
0xfffffff008ef6084: 010841a9  ldp	x1, x2, [x0, #0x10]
0xfffffff008ef6088: 300140f9  ldr	x16, [x9]
0xfffffff008ef608c: f10309aa  mov	x17, x9
0xfffffff008ef6090: 717beef2  movk	x17, #0x73db, lsl #48
0xfffffff008ef6094: 301ac1da  autda	x16, x17
0xfffffff008ef6098: 0a8e41f8  ldr	x10, [x16, #0x18]!
0xfffffff008ef609c: eb0310aa  mov	x11, x16
0xfffffff008ef60a0: a8c301d1  sub	x8, x29, #0x70
0xfffffff008ef60a4: e00309aa  mov	x0, x9
0xfffffff008ef60a8: f1030baa  mov	x17, x11
0xfffffff008ef60ac: 51b1f9f2  movk	x17, #0xcd8a, lsl #48
