; Candidate 1081
; ADRP+ADD at VM 0xfffffff0081f7fd4 (fileoff 0x11f3fd4): page=0x1fd4000 add_imm=0xd24

0xfffffff0081f7f54: cb6a40f9  ldr	x11, [x22, #0xd0]
0xfffffff0081f7f58: 5f01136b  cmp	w10, w19
0xfffffff0081f7f5c: 4ab19f1a  csel	w10, w10, wzr, lt
0xfffffff0081f7f60: 2801084b  sub	w8, w9, w8
0xfffffff0081f7f64: a97e880a  and	w9, w21, w8, asr #31
0xfffffff0081f7f68: 4801084b  sub	w8, w10, w8
0xfffffff0081f7f6c: 0801094b  sub	w8, w8, w9
0xfffffff0081f7f70: 697e880a  and	w9, w19, w8, asr #31
0xfffffff0081f7f74: 2801080b  add	w8, w9, w8
0xfffffff0081f7f78: 6a210129  stp	w10, w8, [x11, #8]
0xfffffff0081f7f7c: 730500b9  str	w19, [x11, #4]
0xfffffff0081f7f80: c86a40f9  ldr	x8, [x22, #0xd0]
0xfffffff0081f7f84: 000900f9  str	x0, [x8, #0x10]
0xfffffff0081f7f88: a0fe0090  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f7f8c: 00903491  add	x0, x0, #0xd24
0xfffffff0081f7f90: 59ddee97  bl	#0xfffffff007daf4f4
0xfffffff0081f7f94: e00314aa  mov	x0, x20
0xfffffff0081f7f98: e10315aa  mov	x1, x21
0xfffffff0081f7f9c: e952ed97  bl	#0xfffffff007d4cb40
0xfffffff0081f7fa0: c80001f0  adrp	x8, #0xfffffff00a212000
0xfffffff0081f7fa4: 08f12991  add	x8, x8, #0xa7c
0xfffffff0081f7fa8: 9f0208eb  cmp	x20, x8
0xfffffff0081f7fac: e0f5ff54  b.eq	#0xfffffff0081f7e68
0xfffffff0081f7fb0: c0bbff90  adrp	x0, #0xfffffff00796f000
0xfffffff0081f7fb4: 00201a91  add	x0, x0, #0x688
0xfffffff0081f7fb8: e10314aa  mov	x1, x20
0xfffffff0081f7fbc: e20315aa  mov	x2, x21
0xfffffff0081f7fc0: abbaee97  bl	#0xfffffff007da6a6c
0xfffffff0081f7fc4: a9ffff17  b	#0xfffffff0081f7e68
0xfffffff0081f7fc8: 0a008052  mov	w10, #0
0xfffffff0081f7fcc: e3ffff17  b	#0xfffffff0081f7f58
0xfffffff0081f7fd0: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f7fd4: a0fe0090  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f7fd8: 00903491  add	x0, x0, #0xd24
0xfffffff0081f7fdc: e20314aa  mov	x2, x20
0xfffffff0081f7fe0: 92dcee97  bl	#0xfffffff007daf228
0xfffffff0081f7fe4: 8fffff17  b	#0xfffffff0081f7e20
0xfffffff0081f7fe8: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f7fec: a8fe0090  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f7ff0: 08913491  add	x8, x8, #0xd24
0xfffffff0081f7ff4: f50300aa  mov	x21, x0
0xfffffff0081f7ff8: e00308aa  mov	x0, x8
0xfffffff0081f7ffc: e20314aa  mov	x2, x20
0xfffffff0081f8000: 8adcee97  bl	#0xfffffff007daf228
0xfffffff0081f8004: e00315aa  mov	x0, x21
0xfffffff0081f8008: b6ffff17  b	#0xfffffff0081f7ee0
0xfffffff0081f800c: 7f2303d5  pacibsp	
0xfffffff0081f8010: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0081f8014: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0081f8018: fd430091  add	x29, sp, #0x10
0xfffffff0081f801c: f30303aa  mov	x19, x3
0xfffffff0081f8020: 82d038d5  mrs	x2, tpidr_el1
0xfffffff0081f8024: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f8028: 08050011  add	w8, w8, #1
0xfffffff0081f802c: 484801b9  str	w8, [x2, #0x148]
0xfffffff0081f8030: 88fe00f0  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f8034: 08b13491  add	x8, x8, #0xd2c
0xfffffff0081f8038: 0920a052  mov	w9, #0x1000000
0xfffffff0081f803c: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff0081f8040: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8044: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8048: a1040054  b.ne	#0xfffffff0081f80dc
0xfffffff0081f804c: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff0081f8050: 89fe00f0  adrp	x9, #0xfffffff00a1cb000
