; Candidate 16585
; ADRP+ADD at VM 0xfffffff009ef4470 (fileoff 0x2ef0470): page=0x1fde43000 add_imm=0xe58

0xfffffff009ef43f0: e10318aa  mov	x1, x24
0xfffffff009ef43f4: e2031baa  mov	x2, x27
0xfffffff009ef43f8: 03008092  mov	x3, #-1
0xfffffff009ef43fc: 8eae7e97  bl	#0xfffffff007e9fe34
0xfffffff009ef4400: 7b2a0079  strh	w27, [x19, #0x14]
0xfffffff009ef4404: c47e40f9  ldr	x4, [x22, #0xf8]
0xfffffff009ef4408: a5a301d1  sub	x5, x29, #0x68
0xfffffff009ef440c: e00316aa  mov	x0, x22
0xfffffff009ef4410: 21008052  mov	w1, #1
0xfffffff009ef4414: e20315aa  mov	x2, x21
0xfffffff009ef4418: e30313aa  mov	x3, x19
0xfffffff009ef441c: 5cbaff97  bl	#0xfffffff009ee2d8c
0xfffffff009ef4420: fb0300aa  mov	x27, x0
0xfffffff009ef4424: 08038092  mov	x8, #-0x19
0xfffffff009ef4428: 08011ccb  sub	x8, x8, x28
0xfffffff009ef442c: fc031aaa  mov	x28, x26
0xfffffff009ef4430: 480328f8  ldadd	x8, x8, [x26]
0xfffffff009ef4434: 20f2fed0  adrp	x0, #0xfffffff007d3a000
0xfffffff009ef4438: 00203991  add	x0, x0, #0xe48
0xfffffff009ef443c: e10313aa  mov	x1, x19
0xfffffff009ef4440: e20317aa  mov	x2, x23
0xfffffff009ef4444: 698a9197  bl	#0xfffffff008356de8
0xfffffff009ef4448: 5b1e0035  cbnz	w27, #0xfffffff009ef4810
0xfffffff009ef444c: fa0318aa  mov	x26, x24
0xfffffff009ef4450: f80314aa  mov	x24, x20
0xfffffff009ef4454: f70319aa  mov	x23, x25
0xfffffff009ef4458: f30316aa  mov	x19, x22
0xfffffff009ef445c: e84f40b9  ldr	w8, [sp, #0x4c]
0xfffffff009ef4460: 88000035  cbnz	w8, #0xfffffff009ef4470
0xfffffff009ef4464: a08359f8  ldur	x0, [x29, #-0x68]
0xfffffff009ef4468: 08404039  ldrb	w8, [x0, #0x10]
0xfffffff009ef446c: a8081037  tbnz	w8, #2, #0xfffffff009ef4580
0xfffffff009ef4470: 00f2fef0  adrp	x0, #0xfffffff007d37000
0xfffffff009ef4474: 00603991  add	x0, x0, #0xe58
0xfffffff009ef4478: 1f889197  bl	#0xfffffff0083564f4
0xfffffff009ef447c: 800300b4  cbz	x0, #0xfffffff009ef44ec
0xfffffff009ef4480: f40300aa  mov	x20, x0
0xfffffff009ef4484: 08358052  mov	w8, #0x1a8
0xfffffff009ef4488: 880328f8  ldadd	x8, x8, [x28]
0xfffffff009ef448c: b58359f8  ldur	x21, [x29, #-0x68]
0xfffffff009ef4490: a8424039  ldrb	w8, [x21, #0x10]
0xfffffff009ef4494: 08040037  tbnz	w8, #0, #0xfffffff009ef4514
0xfffffff009ef4498: 190080d2  mov	x25, #0
0xfffffff009ef449c: f62340f9  ldr	x22, [sp, #0x40]
0xfffffff009ef44a0: 561700b4  cbz	x22, #0xfffffff009ef4788
0xfffffff009ef44a4: 68008052  mov	w8, #3
0xfffffff009ef44a8: a8060039  strb	w8, [x21, #1]
0xfffffff009ef44ac: e00313aa  mov	x0, x19
0xfffffff009ef44b0: 21008052  mov	w1, #1
0xfffffff009ef44b4: e20315aa  mov	x2, x21
0xfffffff009ef44b8: e30316aa  mov	x3, x22
0xfffffff009ef44bc: e0d4ff97  bl	#0xfffffff009ee983c
0xfffffff009ef44c0: fb0300aa  mov	x27, x0
0xfffffff009ef44c4: 991800b5  cbnz	x25, #0xfffffff009ef47d4
0xfffffff009ef44c8: ca000014  b	#0xfffffff009ef47f0
0xfffffff009ef44cc: 09270090  adrp	x9, #0xfffffff00a3d4000
0xfffffff009ef44d0: 29e12791  add	x9, x9, #0x9f8
0xfffffff009ef44d4: 2a008052  mov	w10, #1
0xfffffff009ef44d8: 29012ab8  ldadd	w10, w9, [x9]
0xfffffff009ef44dc: 09270090  adrp	x9, #0xfffffff00a3d4000
0xfffffff009ef44e0: 280105f9  str	x8, [x9, #0xa00]
0xfffffff009ef44e4: 9b018052  mov	w27, #0xc
0xfffffff009ef44e8: ca000014  b	#0xfffffff009ef4810
0xfffffff009ef44ec: 08270090  adrp	x8, #0xfffffff00a3d4000
