; Candidate 5600
; ADRP+ADD at VM 0xfffffff0087faff4 (fileoff 0x17f6ff4): page=0x1fe9ef000 add_imm=0xe80

0xfffffff0087faf74: 20060036  tbz	w0, #0, #0xfffffff0087fb038
0xfffffff0087faf78: e00313aa  mov	x0, x19
0xfffffff0087faf7c: 27020294  bl	#0xfffffff00887b818
0xfffffff0087faf80: d501f837  tbnz	w21, #0x1f, #0xfffffff0087fafb8
0xfffffff0087faf84: b6021b12  and	w22, w21, #0x20
0xfffffff0087faf88: 17000052  eor	w23, w0, #1
0xfffffff0087faf8c: 88e40294  bl	#0xfffffff0088b41ac
0xfffffff0087faf90: f50300aa  mov	x21, x0
0xfffffff0087faf94: e00314aa  mov	x0, x20
0xfffffff0087faf98: 2e020294  bl	#0xfffffff00887b850
0xfffffff0087faf9c: e816562a  orr	w8, w23, w22, lsr #5
0xfffffff0087fafa0: e8010037  tbnz	w8, #0, #0xfffffff0087fafdc
0xfffffff0087fafa4: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff0087fafa8: f50300f9  str	x21, [sp]
0xfffffff0087fafac: e050ffb0  adrp	x0, #0xfffffff007217000
0xfffffff0087fafb0: 005c0e91  add	x0, x0, #0x397
0xfffffff0087fafb4: 08000014  b	#0xfffffff0087fafd4
0xfffffff0087fafb8: 5f031b72  tst	w26, #0x20
0xfffffff0087fafbc: e8179f1a  cset	w8, eq
0xfffffff0087fafc0: 0800080a  and	w8, w0, w8
0xfffffff0087fafc4: 1f050071  cmp	w8, #1
0xfffffff0087fafc8: 81020054  b.ne	#0xfffffff0087fb018
0xfffffff0087fafcc: e050ffb0  adrp	x0, #0xfffffff007217000
0xfffffff0087fafd0: 00540e91  add	x0, x0, #0x395
0xfffffff0087fafd4: 23f1d697  bl	#0xfffffff007db7460
0xfffffff0087fafd8: 18000014  b	#0xfffffff0087fb038
0xfffffff0087fafdc: 74e40294  bl	#0xfffffff0088b41ac
0xfffffff0087fafe0: f50300aa  mov	x21, x0
0xfffffff0087fafe4: e00314aa  mov	x0, x20
0xfffffff0087fafe8: 1a020294  bl	#0xfffffff00887b850
0xfffffff0087fafec: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff0087faff0: f50300f9  str	x21, [sp]
0xfffffff0087faff4: 604ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087faff8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087faffc: 6190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fb000: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fb004: 2352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087fb008: 63dc3191  add	x3, x3, #0xc77
0xfffffff0087fb00c: 02008052  mov	w2, #0
0xfffffff0087fb010: 48e0ec97  bl	#0xfffffff008333130
0xfffffff0087fb014: 09000014  b	#0xfffffff0087fb038
0xfffffff0087fb018: 604fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fb01c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fb020: 6190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fb024: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fb028: 2352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087fb02c: 63d83191  add	x3, x3, #0xc76
0xfffffff0087fb030: 02008052  mov	w2, #0
0xfffffff0087fb034: 3fe0ec97  bl	#0xfffffff008333130
0xfffffff0087fb038: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0087fb03c: 6990ffb0  adrp	x9, #0xfffffff007a08000
0xfffffff0087fb040: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0087fb044: 290140f9  ldr	x9, [x9]
0xfffffff0087fb048: 3f0108eb  cmp	x9, x8
0xfffffff0087fb04c: 41010054  b.ne	#0xfffffff0087fb074
0xfffffff0087fb050: 00008052  mov	w0, #0
0xfffffff0087fb054: fd7b55a9  ldp	x29, x30, [sp, #0x150]
0xfffffff0087fb058: f44f54a9  ldp	x20, x19, [sp, #0x140]
0xfffffff0087fb05c: f65753a9  ldp	x22, x21, [sp, #0x130]
0xfffffff0087fb060: f85f52a9  ldp	x24, x23, [sp, #0x120]
0xfffffff0087fb064: fa6751a9  ldp	x26, x25, [sp, #0x110]
0xfffffff0087fb068: fc6f50a9  ldp	x28, x27, [sp, #0x100]
0xfffffff0087fb06c: ff830591  add	sp, sp, #0x160
0xfffffff0087fb070: ff0f5fd6  retab	
