; Candidate 3223
; ADRP+ADD at VM 0xfffffff00871f18c (fileoff 0x171b18c): page=0x1fea12000 add_imm=0xd90

0xfffffff00871f10c: 1725c91a  lsr	w23, w8, w9
0xfffffff00871f110: 21830011  add	w1, w25, #0x20
0xfffffff00871f114: e00314aa  mov	x0, x20
0xfffffff00871f118: 02008052  mov	w2, #0
0xfffffff00871f11c: 59f0ff97  bl	#0xfffffff00871b280
0xfffffff00871f120: 287f0011  add	w8, w25, #0x1f
0xfffffff00871f124: 29008012  mov	w9, #-2
0xfffffff00871f128: 2821c81a  lsl	w8, w9, w8
0xfffffff00871f12c: e803282a  mvn	w8, w8
0xfffffff00871f130: e802080b  add	w8, w23, w8
0xfffffff00871f134: 681e11b9  str	w8, [x19, #0x111c]
0xfffffff00871f138: 76000034  cbz	w22, #0xfffffff00871f144
0xfffffff00871f13c: 1f03086b  cmp	w24, w8
0xfffffff00871f140: e1010054  b.ne	#0xfffffff00871f17c
0xfffffff00871f144: 1ffd0f71  cmp	w8, #0x3ff
0xfffffff00871f148: 49030054  b.ls	#0xfffffff00871f1b0
0xfffffff00871f14c: 90000014  b	#0xfffffff00871f38c
0xfffffff00871f150: 88a640b9  ldr	w8, [x20, #0xa4]
0xfffffff00871f154: 08050011  add	w8, w8, #1
0xfffffff00871f158: 88a600b9  str	w8, [x20, #0xa4]
0xfffffff00871f15c: e00314aa  mov	x0, x20
0xfffffff00871f160: 21008052  mov	w1, #1
0xfffffff00871f164: 02008052  mov	w2, #0
0xfffffff00871f168: 46f0ff97  bl	#0xfffffff00871b280
0xfffffff00871f16c: 08008052  mov	w8, #0
0xfffffff00871f170: 7f1e11b9  str	wzr, [x19, #0x111c]
0xfffffff00871f174: f6010034  cbz	w22, #0xfffffff00871f1b0
0xfffffff00871f178: d8010034  cbz	w24, #0xfffffff00871f1b0
0xfffffff00871f17c: f8a300a9  stp	x24, x8, [sp, #8]
0xfffffff00871f180: a851ffd0  adrp	x8, #0xfffffff007155000
0xfffffff00871f184: 08493791  add	x8, x8, #0xdd2
0xfffffff00871f188: e80300f9  str	x8, [sp]
0xfffffff00871f18c: 8050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871f190: 00403691  add	x0, x0, #0xd90
0xfffffff00871f194: e196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871f198: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871f19c: c350ffd0  adrp	x3, #0xfffffff007139000
0xfffffff00871f1a0: 63d01891  add	x3, x3, #0x634
0xfffffff00871f1a4: 02008052  mov	w2, #0
0xfffffff00871f1a8: e24ff097  bl	#0xfffffff008333130
0xfffffff00871f1ac: 78000014  b	#0xfffffff00871f38c
0xfffffff00871f1b0: 08711d53  lsl	w8, w8, #3
0xfffffff00871f1b4: 01210011  add	w1, w8, #8
0xfffffff00871f1b8: 2097fff0  adrp	x0, #0xfffffff007a06000
0xfffffff00871f1bc: 00603691  add	x0, x0, #0xd98
0xfffffff00871f1c0: 04dff097  bl	#0xfffffff008356dd0
0xfffffff00871f1c4: 609208f9  str	x0, [x19, #0x1120]
0xfffffff00871f1c8: 200e00b4  cbz	x0, #0xfffffff00871f38c
0xfffffff00871f1cc: 080080d2  mov	x8, #0
0xfffffff00871f1d0: 691e51b9  ldr	w9, [x19, #0x111c]
0xfffffff00871f1d4: 29f17dd3  lsl	x9, x9, #3
0xfffffff00871f1d8: 29210091  add	x9, x9, #8
0xfffffff00871f1dc: 6a9248f9  ldr	x10, [x19, #0x1120]
0xfffffff00871f1e0: 5f6928f8  str	xzr, [x10, x8]
0xfffffff00871f1e4: 08210091  add	x8, x8, #8
0xfffffff00871f1e8: 3f0108eb  cmp	x9, x8
0xfffffff00871f1ec: 81ffff54  b.ne	#0xfffffff00871f1dc
0xfffffff00871f1f0: 16008052  mov	w22, #0
0xfffffff00871f1f4: 681a51b9  ldr	w8, [x19, #0x1118]
0xfffffff00871f1f8: 00050011  add	w0, w8, #1
0xfffffff00871f1fc: bbdef097  bl	#0xfffffff008356ce8
0xfffffff00871f200: 689248f9  ldr	x8, [x19, #0x1120]
0xfffffff00871f204: 005936f8  str	x0, [x8, w22, uxtw #3]
0xfffffff00871f208: 689248f9  ldr	x8, [x19, #0x1120]
