; Candidate 10150
; ADRP+ADD at VM 0xfffffff008cb689c (fileoff 0x1cb289c): page=0x1fe69c000 add_imm=0xe2e

0xfffffff008cb681c: f7af2a94  bl	#0xfffffff0097627f8
0xfffffff008cb6820: 16008052  mov	w22, #0
0xfffffff008cb6824: 00010037  tbnz	w0, #0, #0xfffffff008cb6844
0xfffffff008cb6828: e034ff90  adrp	x0, #0xfffffff007352000
0xfffffff008cb682c: 00243691  add	x0, x0, #0xd89
0xfffffff008cb6830: 96578052  mov	w22, #0x2bc
0xfffffff008cb6834: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008cb6838: 88a27c39  ldrb	w8, [x20, #0xf28]
0xfffffff008cb683c: e80300f9  str	x8, [sp]
0xfffffff008cb6840: f881da97  bl	#0xfffffff008357020
0xfffffff008cb6844: 75030034  cbz	w21, #0xfffffff008cb68b0
0xfffffff008cb6848: 88e247f9  ldr	x8, [x20, #0xfc0]
0xfffffff008cb684c: 480200b4  cbz	x8, #0xfffffff008cb6894
0xfffffff008cb6850: 700240f9  ldr	x16, [x19]
0xfffffff008cb6854: f10313aa  mov	x17, x19
0xfffffff008cb6858: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cb685c: 301ac1da  autda	x16, x17
0xfffffff008cb6860: 11b480d2  mov	x17, #0x5a0
0xfffffff008cb6864: 1002118b  add	x16, x16, x17
0xfffffff008cb6868: 080240f9  ldr	x8, [x16]
0xfffffff008cb686c: e90310aa  mov	x9, x16
0xfffffff008cb6870: e00313aa  mov	x0, x19
0xfffffff008cb6874: 41008052  mov	w1, #2
0xfffffff008cb6878: f10309aa  mov	x17, x9
0xfffffff008cb687c: 5110ecf2  movk	x17, #0x6082, lsl #48
0xfffffff008cb6880: 11093fd7  blraa	x8, x17
0xfffffff008cb6884: 80e247f9  ldr	x0, [x20, #0xfc0]
0xfffffff008cb6888: e10313aa  mov	x1, x19
0xfffffff008cb688c: 573d2894  bl	#0xfffffff0096c5de8
0xfffffff008cb6890: 08000014  b	#0xfffffff008cb68b0
0xfffffff008cb6894: 88a27c39  ldrb	w8, [x20, #0xf28]
0xfffffff008cb6898: e80300f9  str	x8, [sp]
0xfffffff008cb689c: e034ff90  adrp	x0, #0xfffffff007352000
0xfffffff008cb68a0: 00b83891  add	x0, x0, #0xe2e
0xfffffff008cb68a4: df81da97  bl	#0xfffffff008357020
0xfffffff008cb68a8: 96578052  mov	w22, #0x2bc
0xfffffff008cb68ac: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008cb68b0: e00316aa  mov	x0, x22
0xfffffff008cb68b4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008cb68b8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008cb68bc: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008cb68c0: ff030191  add	sp, sp, #0x40
0xfffffff008cb68c4: ff0f5fd6  retab	
0xfffffff008cb68c8: 5f2403d5  bti	c
0xfffffff008cb68cc: 8ab7d817  b	#0xfffffff0082e46f4
0xfffffff008cb68d0: 5f2403d5  bti	c
0xfffffff008cb68d4: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff008cb68d8: c0035fd6  ret	
0xfffffff008cb68dc: 7f2303d5  pacibsp	
0xfffffff008cb68e0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008cb68e4: fd030091  mov	x29, sp
0xfffffff008cb68e8: 80b10090  adrp	x0, #0xfffffff00a2e6000
0xfffffff008cb68ec: 00602891  add	x0, x0, #0xa18
0xfffffff008cb68f0: 0135ffb0  adrp	x1, #0xfffffff007357000
0xfffffff008cb68f4: 21942f91  add	x1, x1, #0xbe5
0xfffffff008cb68f8: 82b10090  adrp	x2, #0xfffffff00a2e6000
0xfffffff008cb68fc: 42e02391  add	x2, x2, #0x8f8
0xfffffff008cb6900: 03058252  mov	w3, #0x1028
0xfffffff008cb6904: 8db4d897  bl	#0xfffffff0082e3b38
0xfffffff008cb6908: 1070ffb0  adrp	x16, #0xfffffff007ab7000
0xfffffff008cb690c: 10623d91  add	x16, x16, #0xf58
0xfffffff008cb6910: 10420091  add	x16, x16, #0x10
0xfffffff008cb6914: f10300aa  mov	x17, x0
0xfffffff008cb6918: 31b4f9f2  movk	x17, #0xcda1, lsl #48
