; Candidate 4550
; ADRP+ADD at VM 0xfffffff0087bacc4 (fileoff 0x17b6cc4): page=0x1fe977000 add_imm=0xd90

0xfffffff0087bac44: 1f0109eb  cmp	x8, x9
0xfffffff0087bac48: ad010054  b.le	#0xfffffff0087bac7c
0xfffffff0087bac4c: 284dff90  adrp	x8, #0xfffffff00715e000
0xfffffff0087bac50: 08793491  add	x8, x8, #0xd1e
0xfffffff0087bac54: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bac58: a04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087bac5c: 00403691  add	x0, x0, #0xd90
0xfffffff0087bac60: 0192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bac64: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bac68: 834cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bac6c: 63f42191  add	x3, x3, #0x87d
0xfffffff0087bac70: 02008052  mov	w2, #0
0xfffffff0087bac74: 2fe1ed97  bl	#0xfffffff008333130
0xfffffff0087bac78: d9f9ff17  b	#0xfffffff0087b93dc
0xfffffff0087bac7c: e80243b9  ldr	w8, [x23, #0x300]
0xfffffff0087bac80: e9fe42b9  ldr	w9, [x23, #0x2fc]
0xfffffff0087bac84: 287d081b  mul	w8, w9, w8
0xfffffff0087bac88: 1f00086b  cmp	w0, w8
0xfffffff0087bac8c: 0a0e0054  b.ge	#0xfffffff0087bae4c
0xfffffff0087bac90: 214dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087bac94: 21a03491  add	x1, x1, #0xd28
0xfffffff0087bac98: e00313aa  mov	x0, x19
0xfffffff0087bac9c: 42008052  mov	w2, #2
0xfffffff0087baca0: 88010094  bl	#0xfffffff0087bb2c0
0xfffffff0087baca4: 08040011  add	w8, w0, #1
0xfffffff0087baca8: 743240f9  ldr	x20, [x19, #0x60]
0xfffffff0087bacac: 884a05b9  str	w8, [x20, #0x548]
0xfffffff0087bacb0: 1f100071  cmp	w0, #4
0xfffffff0087bacb4: a3010054  b.lo	#0xfffffff0087bace8
0xfffffff0087bacb8: 294dff90  adrp	x9, #0xfffffff00715e000
0xfffffff0087bacbc: 29793491  add	x9, x9, #0xd1e
0xfffffff0087bacc0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bacc4: a04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087bacc8: 00403691  add	x0, x0, #0xd90
0xfffffff0087baccc: 0192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bacd0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bacd4: 834cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bacd8: 63982391  add	x3, x3, #0x8e6
0xfffffff0087bacdc: 02008052  mov	w2, #0
0xfffffff0087bace0: 14e1ed97  bl	#0xfffffff008333130
0xfffffff0087bace4: bef9ff17  b	#0xfffffff0087b93dc
0xfffffff0087bace8: 88fe42b9  ldr	w8, [x20, #0x2fc]
0xfffffff0087bacec: 1f050071  cmp	w8, #1
0xfffffff0087bacf0: 40010054  b.eq	#0xfffffff0087bad18
0xfffffff0087bacf4: 880e43b9  ldr	w8, [x20, #0x30c]
0xfffffff0087bacf8: 897a41b9  ldr	w9, [x20, #0x178]
0xfffffff0087bacfc: 8a6e41b9  ldr	w10, [x20, #0x16c]
0xfffffff0087bad00: 3f010a6b  cmp	w9, w10
0xfffffff0087bad04: e9079f1a  cset	w9, ne
0xfffffff0087bad08: 0a088052  mov	w10, #0x40
0xfffffff0087bad0c: 4921c91a  lsl	w9, w10, w9
0xfffffff0087bad10: 3f09086b  cmp	w9, w8, lsl #2
0xfffffff0087bad14: 4c36ff54  b.gt	#0xfffffff0087b93dc
0xfffffff0087bad18: e00313aa  mov	x0, x19
0xfffffff0087bad1c: 32060094  bl	#0xfffffff0087bc5e4
0xfffffff0087bad20: 68a645a9  ldp	x8, x9, [x19, #0x58]
0xfffffff0087bad24: 084d40b9  ldr	w8, [x8, #0x4c]
0xfffffff0087bad28: c8b202b9  str	w8, [x22, #0x2b0]
0xfffffff0087bad2c: 289940b9  ldr	w8, [x9, #0x98]
0xfffffff0087bad30: 1f1d0071  cmp	w8, #7
0xfffffff0087bad34: 61000054  b.ne	#0xfffffff0087bad40
0xfffffff0087bad38: e00313aa  mov	x0, x19
0xfffffff0087bad3c: 9b070094  bl	#0xfffffff0087bcba8
0xfffffff0087bad40: e00313aa  mov	x0, x19
