; Candidate 1628
; ADRP+ADD at VM 0xfffffff0084da308 (fileoff 0x14d6308): page=0x1ff4ba000 add_imm=0xed0

0xfffffff0084da288: f10309aa  mov	x17, x9
0xfffffff0084da28c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0084da290: 11093fd7  blraa	x8, x17
0xfffffff0084da294: 00008052  mov	w0, #0
0xfffffff0084da298: 7f8e00f9  str	xzr, [x19, #0x118]
0xfffffff0084da29c: e4ffff17  b	#0xfffffff0084da22c
0xfffffff0084da2a0: 5f2403d5  bti	c
0xfffffff0084da2a4: c0ef00d0  adrp	x0, #0xfffffff00a2d4000
0xfffffff0084da2a8: 00600391  add	x0, x0, #0xd8
0xfffffff0084da2ac: c0035fd6  ret	
0xfffffff0084da2b0: 7f2303d5  pacibsp	
0xfffffff0084da2b4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0084da2b8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084da2bc: fd430091  add	x29, sp, #0x10
0xfffffff0084da2c0: f30300aa  mov	x19, x0
0xfffffff0084da2c4: 1fa7fa97  bl	#0xfffffff008383f40
0xfffffff0084da2c8: c0a5ffd0  adrp	x0, #0xfffffff007994000
0xfffffff0084da2cc: 00403b91  add	x0, x0, #0xed0
0xfffffff0084da2d0: e10313aa  mov	x1, x19
0xfffffff0084da2d4: 022d8052  mov	w2, #0x168
0xfffffff0084da2d8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0084da2dc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0084da2e0: ff2303d5  autibsp	
0xfffffff0084da2e4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0084da2e8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0084da2f0
0xfffffff0084da2ec: 208e38d4  brk	#0xc471
0xfffffff0084da2f0: eb34f817  b	#0xfffffff0082e769c
0xfffffff0084da2f4: 5f2403d5  bti	c
0xfffffff0084da2f8: 12a7fa17  b	#0xfffffff008383f40
0xfffffff0084da2fc: 7f2303d5  pacibsp	
0xfffffff0084da300: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084da304: fd030091  mov	x29, sp
0xfffffff0084da308: c0a5ffd0  adrp	x0, #0xfffffff007994000
0xfffffff0084da30c: 00403b91  add	x0, x0, #0xed0
0xfffffff0084da310: 012d8052  mov	w1, #0x168
0xfffffff0084da314: c934f897  bl	#0xfffffff0082e7638
0xfffffff0084da318: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0084da31c: ff2303d5  autibsp	
0xfffffff0084da320: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0084da324: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0084da32c
0xfffffff0084da328: 208e38d4  brk	#0xc471
0xfffffff0084da32c: 01000014  b	#0xfffffff0084da330
0xfffffff0084da330: 7f2303d5  pacibsp	
0xfffffff0084da334: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0084da338: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084da33c: fd430091  add	x29, sp, #0x10
0xfffffff0084da340: f30300aa  mov	x19, x0
0xfffffff0084da344: d4ef00d0  adrp	x20, #0xfffffff00a2d4000
0xfffffff0084da348: 94620391  add	x20, x20, #0xd8
0xfffffff0084da34c: e10314aa  mov	x1, x20
0xfffffff0084da350: e6a6fa97  bl	#0xfffffff008383ee8
0xfffffff0084da354: d0a5ffd0  adrp	x16, #0xfffffff007994000
0xfffffff0084da358: 10a21f91  add	x16, x16, #0x7e8
0xfffffff0084da35c: 10420091  add	x16, x16, #0x10
0xfffffff0084da360: f10300aa  mov	x17, x0
0xfffffff0084da364: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084da368: 300ac1da  pacda	x16, x17
0xfffffff0084da36c: 100000f9  str	x16, [x0]
0xfffffff0084da370: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0084da374: 0080883c  stur	q0, [x0, #0x88]
0xfffffff0084da378: 0080893c  stur	q0, [x0, #0x98]
0xfffffff0084da37c: a85fffd0  adrp	x8, #0xfffffff0070d0000
0xfffffff0084da380: 019dc13d  ldr	q1, [x8, #0x670]
0xfffffff0084da384: 01808a3c  stur	q1, [x0, #0xa8]
