; Candidate 15397
; ADRP+ADD at VM 0xfffffff009b5b760 (fileoff 0x2b57760): page=0x1fdacd000 add_imm=0xed0

0xfffffff009b5b6e0: 40000054  b.eq	#0xfffffff009b5b6e8
0xfffffff009b5b6e4: 408e38d4  brk	#0xc472
0xfffffff009b5b6e8: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b5b6ec: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b5b6f0: e00313aa  mov	x0, x19
0xfffffff009b5b6f4: 010080d2  mov	x1, #0
0xfffffff009b5b6f8: f10308aa  mov	x17, x8
0xfffffff009b5b6fc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b5b700: 31093fd7  blraa	x9, x17
0xfffffff009b5b704: f70300aa  mov	x23, x0
0xfffffff009b5b708: 700240f9  ldr	x16, [x19]
0xfffffff009b5b70c: f10313aa  mov	x17, x19
0xfffffff009b5b710: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b5b714: 301ac1da  autda	x16, x17
0xfffffff009b5b718: f10310aa  mov	x17, x16
0xfffffff009b5b71c: f147c1da  xpacd	x17
0xfffffff009b5b720: 1f0211eb  cmp	x16, x17
0xfffffff009b5b724: 40000054  b.eq	#0xfffffff009b5b72c
0xfffffff009b5b728: 408e38d4  brk	#0xc472
0xfffffff009b5b72c: 08620891  add	x8, x16, #0x218
0xfffffff009b5b730: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b5b734: e00313aa  mov	x0, x19
0xfffffff009b5b738: 010080d2  mov	x1, #0
0xfffffff009b5b73c: f10308aa  mov	x17, x8
0xfffffff009b5b740: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b5b744: 31093fd7  blraa	x9, x17
0xfffffff009b5b748: 88d6fe90  adrp	x8, #0xfffffff00762b000
0xfffffff009b5b74c: 08dd1791  add	x8, x8, #0x5f7
0xfffffff009b5b750: 69d6fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b5b754: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b5b758: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b5b75c: f70300a9  stp	x23, x0, [sp]
0xfffffff009b5b760: 60d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b5b764: 00403b91  add	x0, x0, #0xed0
0xfffffff009b5b768: 83d6fed0  adrp	x3, #0xfffffff00762d000
0xfffffff009b5b76c: 638c0e91  add	x3, x3, #0x3a3
0xfffffff009b5b770: e10316aa  mov	x1, x22
0xfffffff009b5b774: e20315aa  mov	x2, x21
0xfffffff009b5b778: 6e5e9f97  bl	#0xfffffff008333130
0xfffffff009b5b77c: e00314aa  mov	x0, x20
0xfffffff009b5b780: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009b5b784: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009b5b788: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009b5b78c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff009b5b790: ff830191  add	sp, sp, #0x60
0xfffffff009b5b794: ff0f5fd6  retab	
0xfffffff009b5b798: 5f2403d5  bti	c
0xfffffff009b5b79c: 3f100071  cmp	w1, #4
0xfffffff009b5b7a0: 21020054  b.ne	#0xfffffff009b5b7e4
0xfffffff009b5b7a4: 48140051  sub	w8, w2, #5
0xfffffff009b5b7a8: 1f050071  cmp	w8, #1
0xfffffff009b5b7ac: c8010054  b.hi	#0xfffffff009b5b7e4
0xfffffff009b5b7b0: 100040f9  ldr	x16, [x0]
0xfffffff009b5b7b4: f10300aa  mov	x17, x0
0xfffffff009b5b7b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b5b7bc: 301ac1da  autda	x16, x17
0xfffffff009b5b7c0: 11ed80d2  mov	x17, #0x768
0xfffffff009b5b7c4: 1002118b  add	x16, x16, x17
0xfffffff009b5b7c8: 080240f9  ldr	x8, [x16]
0xfffffff009b5b7cc: e20310aa  mov	x2, x16
0xfffffff009b5b7d0: f00308aa  mov	x16, x8
0xfffffff009b5b7d4: 21008052  mov	w1, #1
0xfffffff009b5b7d8: f10302aa  mov	x17, x2
0xfffffff009b5b7dc: f19ff8f2  movk	x17, #0xc4ff, lsl #48
