; Candidate 3397
; ADRP+ADD at VM 0xfffffff00873b4c4 (fileoff 0x17374c4): page=0x1fe9f6000 add_imm=0xd90

0xfffffff00873b444: 02050054  b.hs	#0xfffffff00873b4e4
0xfffffff00873b448: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff00873b44c: c90240f9  ldr	x9, [x22]
0xfffffff00873b450: 2a6942b9  ldr	w10, [x9, #0x268]
0xfffffff00873b454: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff00873b458: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff00873b45c: 286902b9  str	w8, [x9, #0x268]
0xfffffff00873b460: 483740b9  ldr	w8, [x26, #0x34]
0xfffffff00873b464: 09011312  and	w9, w8, #0x2000
0xfffffff00873b468: 29010d2a  orr	w9, w9, w13
0xfffffff00873b46c: a9050035  cbnz	w9, #0xfffffff00873b520
0xfffffff00873b470: 08011332  orr	w8, w8, #0x2000
0xfffffff00873b474: 483700b9  str	w8, [x26, #0x34]
0xfffffff00873b478: 680a1c8b  add	x8, x19, x28, lsl #2
0xfffffff00873b47c: 29008052  mov	w9, #1
0xfffffff00873b480: 093900b9  str	w9, [x8, #0x38]
0xfffffff00873b484: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff00873b488: 1fcd00b9  str	wzr, [x8, #0xcc]
0xfffffff00873b48c: 3a010014  b	#0xfffffff00873b974
0xfffffff00873b490: 3f090071  cmp	w9, #2
0xfffffff00873b494: 61000054  b.ne	#0xfffffff00873b4a0
0xfffffff00873b498: 7f210071  cmp	w11, #8
0xfffffff00873b49c: c0000054  b.eq	#0xfffffff00873b4b4
0xfffffff00873b4a0: 3f0d0071  cmp	w9, #3
0xfffffff00873b4a4: 81beff54  b.ne	#0xfffffff00873ac74
0xfffffff00873b4a8: 6c250051  sub	w12, w11, #9
0xfffffff00873b4ac: 9f050071  cmp	w12, #1
0xfffffff00873b4b0: 28beff54  b.hi	#0xfffffff00873ac74
0xfffffff00873b4b4: eba700a9  stp	x11, x9, [sp, #8]
0xfffffff00873b4b8: a850ff90  adrp	x8, #0xfffffff00714f000
0xfffffff00873b4bc: 08bd1991  add	x8, x8, #0x66f
0xfffffff00873b4c0: e80300f9  str	x8, [sp]
0xfffffff00873b4c4: a04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873b4c8: 00403691  add	x0, x0, #0xd90
0xfffffff00873b4cc: 0196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873b4d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873b4d4: 0350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff00873b4d8: 630c3391  add	x3, x3, #0xcc3
0xfffffff00873b4dc: 02008052  mov	w2, #0
0xfffffff00873b4e0: 14dfef97  bl	#0xfffffff008333130
0xfffffff00873b4e4: 00008012  mov	w0, #-1
0xfffffff00873b4e8: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00873b4ec: 0996ffd0  adrp	x9, #0xfffffff0079fd000
0xfffffff00873b4f0: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff00873b4f4: 290140f9  ldr	x9, [x9]
0xfffffff00873b4f8: 3f0108eb  cmp	x9, x8
0xfffffff00873b4fc: 61430054  b.ne	#0xfffffff00873bd68
0xfffffff00873b500: ff830691  add	sp, sp, #0x1a0
0xfffffff00873b504: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00873b508: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00873b50c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00873b510: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00873b514: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff00873b518: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff00873b51c: ff0f5fd6  retab	
0xfffffff00873b520: 680a1c8b  add	x8, x19, x28, lsl #2
0xfffffff00873b524: 1f3900b9  str	wzr, [x8, #0x38]
0xfffffff00873b528: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff00873b52c: 1fcd00b9  str	wzr, [x8, #0xcc]
0xfffffff00873b530: 2d220034  cbz	w13, #0xfffffff00873b974
0xfffffff00873b534: 150080d2  mov	x21, #0
0xfffffff00873b538: ff010071  cmp	w15, #0
0xfffffff00873b53c: e8079f1a  cset	w8, ne
0xfffffff00873b540: 0900be52  mov	w9, #-0x10000000
