; Candidate 14164
; ADRP+ADD at VM 0xfffffff009747a1c (fileoff 0x2743a1c): page=0x1fde46000 add_imm=0xd31

0xfffffff00974799c: 00603391  add	x0, x0, #0xcd8
0xfffffff0097479a0: ee73ae97  bl	#0xfffffff0082e4958
0xfffffff0097479a4: f40300aa  mov	x20, x0
0xfffffff0097479a8: e00313aa  mov	x0, x19
0xfffffff0097479ac: 2c84fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097479b0: f50300aa  mov	x21, x0
0xfffffff0097479b4: e00100b5  cbnz	x0, #0xfffffff0097479f0
0xfffffff0097479b8: 700240f9  ldr	x16, [x19]
0xfffffff0097479bc: f10313aa  mov	x17, x19
0xfffffff0097479c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097479c4: 301ac1da  autda	x16, x17
0xfffffff0097479c8: 113d80d2  mov	x17, #0x1e8
0xfffffff0097479cc: 1002118b  add	x16, x16, x17
0xfffffff0097479d0: 080240f9  ldr	x8, [x16]
0xfffffff0097479d4: e90310aa  mov	x9, x16
0xfffffff0097479d8: e00313aa  mov	x0, x19
0xfffffff0097479dc: 010080d2  mov	x1, #0
0xfffffff0097479e0: f10309aa  mov	x17, x9
0xfffffff0097479e4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097479e8: 11093fd7  blraa	x8, x17
0xfffffff0097479ec: f50300aa  mov	x21, x0
0xfffffff0097479f0: e00313aa  mov	x0, x19
0xfffffff0097479f4: 1a84fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097479f8: 28f2fed0  adrp	x8, #0xfffffff00758d000
0xfffffff0097479fc: 08c53491  add	x8, x8, #0xd31
0xfffffff009747a00: 29f2fed0  adrp	x9, #0xfffffff00758d000
0xfffffff009747a04: 29c93491  add	x9, x9, #0xd32
0xfffffff009747a08: 1f0000f1  cmp	x0, #0
0xfffffff009747a0c: 3601889a  csel	x22, x9, x8, eq
0xfffffff009747a10: e00313aa  mov	x0, x19
0xfffffff009747a14: 1284fd97  bl	#0xfffffff0096a8a5c
0xfffffff009747a18: 800000b4  cbz	x0, #0xfffffff009747a28
0xfffffff009747a1c: 20f2fed0  adrp	x0, #0xfffffff00758d000
0xfffffff009747a20: 00c43491  add	x0, x0, #0xd31
0xfffffff009747a24: 0e000014  b	#0xfffffff009747a5c
0xfffffff009747a28: 700240f9  ldr	x16, [x19]
0xfffffff009747a2c: f10313aa  mov	x17, x19
0xfffffff009747a30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009747a34: 301ac1da  autda	x16, x17
0xfffffff009747a38: 114380d2  mov	x17, #0x218
0xfffffff009747a3c: 1002118b  add	x16, x16, x17
0xfffffff009747a40: 080240f9  ldr	x8, [x16]
0xfffffff009747a44: e90310aa  mov	x9, x16
0xfffffff009747a48: e00313aa  mov	x0, x19
0xfffffff009747a4c: 010080d2  mov	x1, #0
0xfffffff009747a50: f10309aa  mov	x17, x9
0xfffffff009747a54: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009747a58: 11093fd7  blraa	x8, x17
0xfffffff009747a5c: f68301a9  stp	x22, x0, [sp, #0x18]
0xfffffff009747a60: 28f2fed0  adrp	x8, #0xfffffff00758d000
0xfffffff009747a64: 08953a91  add	x8, x8, #0xea5
0xfffffff009747a68: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff009747a6c: f40300f9  str	x20, [sp]
0xfffffff009747a70: 20f2fe90  adrp	x0, #0xfffffff00758b000
0xfffffff009747a74: 00802191  add	x0, x0, #0x860
0xfffffff009747a78: 6126fff0  adrp	x1, #0xfffffff007c16000
0xfffffff009747a7c: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009747a80: e3f2fef0  adrp	x3, #0xfffffff0075a6000
0xfffffff009747a84: 63681e91  add	x3, x3, #0x79a
0xfffffff009747a88: 42008052  mov	w2, #2
0xfffffff009747a8c: a9adaf97  bl	#0xfffffff008333130
0xfffffff009747a90: 700240f9  ldr	x16, [x19]
0xfffffff009747a94: f10313aa  mov	x17, x19
0xfffffff009747a98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
