; Candidate 6686
; ADRP+ADD at VM 0xfffffff00883a378 (fileoff 0x1836378): page=0x1fe9af000 add_imm=0xe80

0xfffffff00883a2f8: f70300aa  mov	x23, x0
0xfffffff00883a2fc: ace70194  bl	#0xfffffff0088b41ac
0xfffffff00883a300: f60300aa  mov	x22, x0
0xfffffff00883a304: e0008052  mov	w0, #7
0xfffffff00883a308: 52050194  bl	#0xfffffff00887b850
0xfffffff00883a30c: d7010034  cbz	w23, #0xfffffff00883a344
0xfffffff00883a310: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff00883a314: 484fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883a318: 08b12591  add	x8, x8, #0x96c
0xfffffff00883a31c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883a320: 484fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883a324: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883a328: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883a32c: 880a8052  mov	w8, #0x54
0xfffffff00883a330: a04effd0  adrp	x0, #0xfffffff007210000
0xfffffff00883a334: 00a42d91  add	x0, x0, #0xb69
0xfffffff00883a338: f62300a9  stp	x22, x8, [sp]
0xfffffff00883a33c: 49f4d597  bl	#0xfffffff007db7460
0xfffffff00883a340: 16000014  b	#0xfffffff00883a398
0xfffffff00883a344: 9ae70194  bl	#0xfffffff0088b41ac
0xfffffff00883a348: f60300aa  mov	x22, x0
0xfffffff00883a34c: e0008052  mov	w0, #7
0xfffffff00883a350: 40050194  bl	#0xfffffff00887b850
0xfffffff00883a354: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff00883a358: 484fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883a35c: 08b12591  add	x8, x8, #0x96c
0xfffffff00883a360: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883a364: 484fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883a368: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883a36c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883a370: 880a8052  mov	w8, #0x54
0xfffffff00883a374: f62300a9  stp	x22, x8, [sp]
0xfffffff00883a378: 604dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883a37c: 00003a91  add	x0, x0, #0xe80
0xfffffff00883a380: 618effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00883a384: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883a388: a350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff00883a38c: 63183191  add	x3, x3, #0xc46
0xfffffff00883a390: 02008052  mov	w2, #0
0xfffffff00883a394: 67e3eb97  bl	#0xfffffff008333130
0xfffffff00883a398: 882641b9  ldr	w8, [x20, #0x124]
0xfffffff00883a39c: 1f090071  cmp	w8, #2
0xfffffff00883a3a0: 21010054  b.ne	#0xfffffff00883a3c4
0xfffffff00883a3a4: e00313aa  mov	x0, x19
0xfffffff00883a3a8: e10314aa  mov	x1, x20
0xfffffff00883a3ac: d7faff97  bl	#0xfffffff008838f08
0xfffffff00883a3b0: e00314aa  mov	x0, x20
0xfffffff00883a3b4: e10315aa  mov	x1, x21
0xfffffff00883a3b8: 2e94ff97  bl	#0xfffffff00881f470
0xfffffff00883a3bc: f60300aa  mov	x22, x0
0xfffffff00883a3c0: 06000014  b	#0xfffffff00883a3d8
0xfffffff00883a3c4: e00314aa  mov	x0, x20
0xfffffff00883a3c8: e10315aa  mov	x1, x21
0xfffffff00883a3cc: 02008052  mov	w2, #0
0xfffffff00883a3d0: 3e92ff97  bl	#0xfffffff00881ecc8
0xfffffff00883a3d4: 16008052  mov	w22, #0
0xfffffff00883a3d8: 800a8052  mov	w0, #0x54
0xfffffff00883a3dc: e1008052  mov	w1, #7
0xfffffff00883a3e0: fc040194  bl	#0xfffffff00887b7d0
0xfffffff00883a3e4: c0050034  cbz	w0, #0xfffffff00883a49c
0xfffffff00883a3e8: 800a8052  mov	w0, #0x54
0xfffffff00883a3ec: 0b050194  bl	#0xfffffff00887b818
0xfffffff00883a3f0: f80300aa  mov	x24, x0
0xfffffff00883a3f4: 6ee70194  bl	#0xfffffff0088b41ac
