; Candidate 2223
; ADRP+ADD at VM 0xfffffff0085b808c (fileoff 0x15b408c): page=0x1feb3f000 add_imm=0xce6

0xfffffff0085b800c: f30300aa  mov	x19, x0
0xfffffff0085b8010: 23008052  mov	w3, #1
0xfffffff0085b8014: f7feff97  bl	#0xfffffff0085b7bf0
0xfffffff0085b8018: 200a00b4  cbz	x0, #0xfffffff0085b815c
0xfffffff0085b801c: f50300aa  mov	x21, x0
0xfffffff0085b8020: 60b20a91  add	x0, x19, #0x2ac
0xfffffff0085b8024: e10314aa  mov	x1, x20
0xfffffff0085b8028: 22118052  mov	w2, #0x89
0xfffffff0085b802c: 5952de97  bl	#0xfffffff007d4c990
0xfffffff0085b8030: f6040035  cbnz	w22, #0xfffffff0085b80cc
0xfffffff0085b8034: 167b8052  mov	w22, #0x3d8
0xfffffff0085b8038: 3680b072  movk	w22, #0x8401, lsl #16
0xfffffff0085b803c: 687a42b9  ldr	w8, [x19, #0x278]
0xfffffff0085b8040: 1f1d0071  cmp	w8, #7
0xfffffff0085b8044: a3020054  b.lo	#0xfffffff0085b8098
0xfffffff0085b8048: 700240f9  ldr	x16, [x19]
0xfffffff0085b804c: f10313aa  mov	x17, x19
0xfffffff0085b8050: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085b8054: 301ac1da  autda	x16, x17
0xfffffff0085b8058: 113d80d2  mov	x17, #0x1e8
0xfffffff0085b805c: 1002118b  add	x16, x16, x17
0xfffffff0085b8060: 080240f9  ldr	x8, [x16]
0xfffffff0085b8064: e90310aa  mov	x9, x16
0xfffffff0085b8068: e00313aa  mov	x0, x19
0xfffffff0085b806c: 010080d2  mov	x1, #0
0xfffffff0085b8070: f10309aa  mov	x17, x9
0xfffffff0085b8074: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0085b8078: 11093fd7  blraa	x8, x17
0xfffffff0085b807c: e859fff0  adrp	x8, #0xfffffff0070f7000
0xfffffff0085b8080: 082d3491  add	x8, x8, #0xd0b
0xfffffff0085b8084: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff0085b8088: e00300f9  str	x0, [sp]
0xfffffff0085b808c: e059fff0  adrp	x0, #0xfffffff0070f7000
0xfffffff0085b8090: 00983391  add	x0, x0, #0xce6
0xfffffff0085b8094: e37bf697  bl	#0xfffffff008357020
0xfffffff0085b8098: 08a0ffb0  adrp	x8, #0xfffffff0079b9000
0xfffffff0085b809c: 088141f9  ldr	x8, [x8, #0x300]
0xfffffff0085b80a0: 080140b9  ldr	w8, [x8]
0xfffffff0085b80a4: 1f791c72  tst	w8, #0xfffffff7
0xfffffff0085b80a8: 20010054  b.eq	#0xfffffff0085b80cc
0xfffffff0085b80ac: 007b8052  mov	w0, #0x3d8
0xfffffff0085b80b0: 2080b072  movk	w0, #0x8401, lsl #16
0xfffffff0085b80b4: 010080d2  mov	x1, #0
0xfffffff0085b80b8: 020080d2  mov	x2, #0
0xfffffff0085b80bc: 030080d2  mov	x3, #0
0xfffffff0085b80c0: 040080d2  mov	x4, #0
0xfffffff0085b80c4: 050080d2  mov	x5, #0
0xfffffff0085b80c8: 8f17ef97  bl	#0xfffffff00817df04
0xfffffff0085b80cc: 700240f9  ldr	x16, [x19]
0xfffffff0085b80d0: f10313aa  mov	x17, x19
0xfffffff0085b80d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085b80d8: 301ac1da  autda	x16, x17
0xfffffff0085b80dc: 11c680d2  mov	x17, #0x630
0xfffffff0085b80e0: 1002118b  add	x16, x16, x17
0xfffffff0085b80e4: 080240f9  ldr	x8, [x16]
0xfffffff0085b80e8: e90310aa  mov	x9, x16
0xfffffff0085b80ec: e00313aa  mov	x0, x19
0xfffffff0085b80f0: e10315aa  mov	x1, x21
0xfffffff0085b80f4: 02008052  mov	w2, #0
0xfffffff0085b80f8: f10309aa  mov	x17, x9
0xfffffff0085b80fc: 9126e2f2  movk	x17, #0x1134, lsl #48
0xfffffff0085b8100: 11093fd7  blraa	x8, x17
0xfffffff0085b8104: b00240f9  ldr	x16, [x21]
0xfffffff0085b8108: f10315aa  mov	x17, x21
