; Candidate 3442
; ADRP+ADD at VM 0xfffffff00873eac8 (fileoff 0x173aac8): page=0x1fe9f3000 add_imm=0xd90

0xfffffff00873ea48: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00873ea4c: fb0300f9  str	x27, [sp]
0xfffffff00873ea50: f84fffd0  adrp	x24, #0xfffffff00713c000
0xfffffff00873ea54: 18b32391  add	x24, x24, #0x8ec
0xfffffff00873ea58: e00316aa  mov	x0, x22
0xfffffff00873ea5c: e10317aa  mov	x1, x23
0xfffffff00873ea60: 02008052  mov	w2, #0
0xfffffff00873ea64: e30318aa  mov	x3, x24
0xfffffff00873ea68: b2d1ef97  bl	#0xfffffff008333130
0xfffffff00873ea6c: 69be40f9  ldr	x9, [x19, #0x178]
0xfffffff00873ea70: 28008052  mov	w8, #1
0xfffffff00873ea74: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00873ea78: fb0300f9  str	x27, [sp]
0xfffffff00873ea7c: e00316aa  mov	x0, x22
0xfffffff00873ea80: e10317aa  mov	x1, x23
0xfffffff00873ea84: 02008052  mov	w2, #0
0xfffffff00873ea88: e30318aa  mov	x3, x24
0xfffffff00873ea8c: a9d1ef97  bl	#0xfffffff008333130
0xfffffff00873ea90: 9a7700f9  str	x26, [x28, #0xe8]
0xfffffff00873ea94: 6812198b  add	x8, x19, x25, lsl #4
0xfffffff00873ea98: 692a54a9  ldp	x9, x10, [x19, #0x140]
0xfffffff00873ea9c: 092915a9  stp	x9, x10, [x8, #0x150]
0xfffffff00873eaa0: f7dc0090  adrp	x23, #0xfffffff00a2da000
0xfffffff00873eaa4: e8da49b9  ldr	w8, [x23, #0x9d8]
0xfffffff00873eaa8: 1f050071  cmp	w8, #1
0xfffffff00873eaac: e8079f1a  cset	w8, ne
0xfffffff00873eab0: e91740f9  ldr	x9, [sp, #0x28]
0xfffffff00873eab4: 29010052  eor	w9, w9, #1
0xfffffff00873eab8: 2801082a  orr	w8, w9, w8
0xfffffff00873eabc: 68020037  tbnz	w8, #0, #0xfffffff00873eb08
0xfffffff00873eac0: 28008052  mov	w8, #1
0xfffffff00873eac4: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873eac8: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873eacc: 00403691  add	x0, x0, #0xd90
0xfffffff00873ead0: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873ead4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873ead8: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873eadc: 63902491  add	x3, x3, #0x924
0xfffffff00873eae0: 02008052  mov	w2, #0
0xfffffff00873eae4: 93d1ef97  bl	#0xfffffff008333130
0xfffffff00873eae8: 684e40f9  ldr	x8, [x19, #0x98]
0xfffffff00873eaec: 686600f9  str	x8, [x19, #0xc8]
0xfffffff00873eaf0: 69a24aa9  ldp	x9, x8, [x19, #0xa8]
0xfffffff00873eaf4: 686e00f9  str	x8, [x19, #0xd8]
0xfffffff00873eaf8: 695e00f9  str	x9, [x19, #0xb8]
0xfffffff00873eafc: 7a7600f9  str	x26, [x19, #0xe8]
0xfffffff00873eb00: 682654a9  ldp	x8, x9, [x19, #0x140]
0xfffffff00873eb04: 682615a9  stp	x8, x9, [x19, #0x150]
0xfffffff00873eb08: 60b241b9  ldr	w0, [x19, #0x1b0]
0xfffffff00873eb0c: 62524a39  ldrb	w2, [x19, #0x294]
0xfffffff00873eb10: e12340b9  ldr	w1, [sp, #0x20]
0xfffffff00873eb14: b9030094  bl	#0xfffffff00873f9f8
0xfffffff00873eb18: f60300aa  mov	x22, x0
0xfffffff00873eb1c: 700240f9  ldr	x16, [x19]
0xfffffff00873eb20: f10313aa  mov	x17, x19
0xfffffff00873eb24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873eb28: 301ac1da  autda	x16, x17
0xfffffff00873eb2c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00873eb30: e90310aa  mov	x9, x16
0xfffffff00873eb34: c150ffb0  adrp	x1, #0xfffffff007157000
0xfffffff00873eb38: 21082891  add	x1, x1, #0xa02
0xfffffff00873eb3c: e00313aa  mov	x0, x19
0xfffffff00873eb40: 22008052  mov	w2, #1
0xfffffff00873eb44: f10309aa  mov	x17, x9
