; Candidate 14860
; ADRP+ADD at VM 0xfffffff0099c872c (fileoff 0x29c472c): page=0x1fdc32000 add_imm=0xd39

0xfffffff0099c86ac: 408e38d4  brk	#0xc472
0xfffffff0099c86b0: 08c20491  add	x8, x16, #0x130
0xfffffff0099c86b4: 099a40f9  ldr	x9, [x16, #0x130]
0xfffffff0099c86b8: f10308aa  mov	x17, x8
0xfffffff0099c86bc: d125fcf2  movk	x17, #0xe12e, lsl #48
0xfffffff0099c86c0: 31093fd7  blraa	x9, x17
0xfffffff0099c86c4: a0000035  cbnz	w0, #0xfffffff0099c86d8
0xfffffff0099c86c8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0099c86cc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0099c86d0: ffc30091  add	sp, sp, #0x30
0xfffffff0099c86d4: ff0f5fd6  retab	
0xfffffff0099c86d8: 25460094  bl	#0xfffffff0099d9f6c
0xfffffff0099c86dc: 5f2403d5  bti	c
0xfffffff0099c86e0: c0035fd6  ret	
0xfffffff0099c86e4: 5f2403d5  bti	c
0xfffffff0099c86e8: c0035fd6  ret	
0xfffffff0099c86ec: 7f2303d5  pacibsp	
0xfffffff0099c86f0: ffc300d1  sub	sp, sp, #0x30
0xfffffff0099c86f4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0099c86f8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0099c86fc: fd830091  add	x29, sp, #0x20
0xfffffff0099c8700: f30300aa  mov	x19, x0
0xfffffff0099c8704: 00f041f9  ldr	x0, [x0, #0x3e0]
0xfffffff0099c8708: 000400b4  cbz	x0, #0xfffffff0099c8788
0xfffffff0099c870c: 684f00b0  adrp	x8, #0xfffffff00a3b5000
0xfffffff0099c8710: 08413d91  add	x8, x8, #0xf50
0xfffffff0099c8714: 08014039  ldrb	w8, [x8]
0xfffffff0099c8718: 28010036  tbz	w8, #0, #0xfffffff0099c873c
0xfffffff0099c871c: 88e1fed0  adrp	x8, #0xfffffff0075fa000
0xfffffff0099c8720: 08813591  add	x8, x8, #0xd60
0xfffffff0099c8724: 49448152  mov	w9, #0xa22
0xfffffff0099c8728: e82700a9  stp	x8, x9, [sp]
0xfffffff0099c872c: 80e1fed0  adrp	x0, #0xfffffff0075fa000
0xfffffff0099c8730: 00e43491  add	x0, x0, #0xd39
0xfffffff0099c8734: 879baa97  bl	#0xfffffff00846f550
0xfffffff0099c8738: 60f241f9  ldr	x0, [x19, #0x3e0]
0xfffffff0099c873c: 100040f9  ldr	x16, [x0]
0xfffffff0099c8740: f10300aa  mov	x17, x0
0xfffffff0099c8744: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099c8748: 301ac1da  autda	x16, x17
0xfffffff0099c874c: 112780d2  mov	x17, #0x138
0xfffffff0099c8750: 1002118b  add	x16, x16, x17
0xfffffff0099c8754: 080240f9  ldr	x8, [x16]
0xfffffff0099c8758: e10310aa  mov	x1, x16
0xfffffff0099c875c: f00308aa  mov	x16, x8
0xfffffff0099c8760: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0099c8764: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0099c8768: ffc30091  add	sp, sp, #0x30
0xfffffff0099c876c: ff2303d5  autibsp	
0xfffffff0099c8770: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0099c8774: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0099c877c
0xfffffff0099c8778: 208e38d4  brk	#0xc471
0xfffffff0099c877c: f10301aa  mov	x17, x1
0xfffffff0099c8780: 1174fff2  movk	x17, #0xfba0, lsl #48
0xfffffff0099c8784: 110a1fd7  braa	x16, x17
0xfffffff0099c8788: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0099c878c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0099c8790: ffc30091  add	sp, sp, #0x30
0xfffffff0099c8794: ff0f5fd6  retab	
0xfffffff0099c8798: 7f2303d5  pacibsp	
0xfffffff0099c879c: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0099c87a0: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff0099c87a4: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0099c87a8: f85f07a9  stp	x24, x23, [sp, #0x70]
