; Candidate 14439
; ADRP+ADD at VM 0xfffffff009787f54 (fileoff 0x2783f54): page=0x1fde06000 add_imm=0xd31

0xfffffff009787ed4: f40300aa  mov	x20, x0
0xfffffff009787ed8: ff0f00f9  str	xzr, [sp, #0x18]
0xfffffff009787edc: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff009787ee0: 00600491  add	x0, x0, #0x118
0xfffffff009787ee4: 9d72ad97  bl	#0xfffffff0082e4958
0xfffffff009787ee8: 807240f9  ldr	x0, [x20, #0xe0]
0xfffffff009787eec: 400100b4  cbz	x0, #0xfffffff009787f14
0xfffffff009787ef0: 100040f9  ldr	x16, [x0]
0xfffffff009787ef4: f10300aa  mov	x17, x0
0xfffffff009787ef8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787efc: 301ac1da  autda	x16, x17
0xfffffff009787f00: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009787f04: e90310aa  mov	x9, x16
0xfffffff009787f08: f10309aa  mov	x17, x9
0xfffffff009787f0c: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009787f10: 11093fd7  blraa	x8, x17
0xfffffff009787f14: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff009787f18: 00600491  add	x0, x0, #0x118
0xfffffff009787f1c: 8f72ad97  bl	#0xfffffff0082e4958
0xfffffff009787f20: f60300aa  mov	x22, x0
0xfffffff009787f24: 807240f9  ldr	x0, [x20, #0xe0]
0xfffffff009787f28: 600100b4  cbz	x0, #0xfffffff009787f54
0xfffffff009787f2c: 100040f9  ldr	x16, [x0]
0xfffffff009787f30: f10300aa  mov	x17, x0
0xfffffff009787f34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787f38: 301ac1da  autda	x16, x17
0xfffffff009787f3c: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009787f40: e90310aa  mov	x9, x16
0xfffffff009787f44: f10309aa  mov	x17, x9
0xfffffff009787f48: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009787f4c: 11093fd7  blraa	x8, x17
0xfffffff009787f50: 03000014  b	#0xfffffff009787f5c
0xfffffff009787f54: 20f0fed0  adrp	x0, #0xfffffff00758d000
0xfffffff009787f58: 00c43491  add	x0, x0, #0xd31
0xfffffff009787f5c: 15588052  mov	w21, #0x2c0
0xfffffff009787f60: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff009787f64: a8f0fe90  adrp	x8, #0xfffffff00759b000
0xfffffff009787f68: 08551891  add	x8, x8, #0x615
0xfffffff009787f6c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff009787f70: f60300f9  str	x22, [sp]
0xfffffff009787f74: 20f0fe90  adrp	x0, #0xfffffff00758b000
0xfffffff009787f78: 00802191  add	x0, x0, #0x860
0xfffffff009787f7c: 6124fff0  adrp	x1, #0xfffffff007c16000
0xfffffff009787f80: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009787f84: 03f1fef0  adrp	x3, #0xfffffff0075aa000
0xfffffff009787f88: 637c3a91  add	x3, x3, #0xe9f
0xfffffff009787f8c: 02008052  mov	w2, #0
0xfffffff009787f90: 68acae97  bl	#0xfffffff008333130
0xfffffff009787f94: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff009787f98: 880b00b4  cbz	x8, #0xfffffff009788108
0xfffffff009787f9c: 887640f9  ldr	x8, [x20, #0xe8]
0xfffffff009787fa0: c80800b4  cbz	x8, #0xfffffff0097880b8
0xfffffff009787fa4: e00314aa  mov	x0, x20
0xfffffff009787fa8: 2bf3af97  bl	#0xfffffff008384c54
0xfffffff009787fac: 60080037  tbnz	w0, #0, #0xfffffff0097880b8
0xfffffff009787fb0: 807640f9  ldr	x0, [x20, #0xe8]
0xfffffff009787fb4: 100040f9  ldr	x16, [x0]
0xfffffff009787fb8: f10300aa  mov	x17, x0
0xfffffff009787fbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787fc0: 301ac1da  autda	x16, x17
0xfffffff009787fc4: 11ba80d2  mov	x17, #0x5d0
0xfffffff009787fc8: 1002118b  add	x16, x16, x17
0xfffffff009787fcc: 080240f9  ldr	x8, [x16]
0xfffffff009787fd0: e90310aa  mov	x9, x16
