; Candidate 3447
; ADRP+ADD at VM 0xfffffff00873f258 (fileoff 0x173b258): page=0x1fe9f2000 add_imm=0xd90

0xfffffff00873f1d8: 4dc00194  bl	#0xfffffff0087af30c
0xfffffff00873f1dc: e0160034  cbz	w0, #0xfffffff00873f4b8
0xfffffff00873f1e0: fb0300a9  stp	x27, x0, [sp]
0xfffffff00873f1e4: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f1e8: 00403691  add	x0, x0, #0xd90
0xfffffff00873f1ec: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f1f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f1f4: e34fffb0  adrp	x3, #0xfffffff00713c000
0xfffffff00873f1f8: 63142a91  add	x3, x3, #0xa85
0xfffffff00873f1fc: 02008052  mov	w2, #0
0xfffffff00873f200: cccfef97  bl	#0xfffffff008333130
0xfffffff00873f204: bf000014  b	#0xfffffff00873f500
0xfffffff00873f208: 1f510671  cmp	w8, #0x194
0xfffffff00873f20c: 00140054  b.eq	#0xfffffff00873f48c
0xfffffff00873f210: 1f610671  cmp	w8, #0x198
0xfffffff00873f214: 41120054  b.ne	#0xfffffff00873f45c
0xfffffff00873f218: 2096ffb0  adrp	x0, #0xfffffff007a04000
0xfffffff00873f21c: 00a01991  add	x0, x0, #0x668
0xfffffff00873f220: b55cf097  bl	#0xfffffff0083564f4
0xfffffff00873f224: 625a40f9  ldr	x2, [x19, #0xb0]
0xfffffff00873f228: e10313aa  mov	x1, x19
0xfffffff00873f22c: 12df0094  bl	#0xfffffff008776e74
0xfffffff00873f230: 41000014  b	#0xfffffff00873f334
0xfffffff00873f234: 9f2403d5  bti	j
0xfffffff00873f238: 2096ffb0  adrp	x0, #0xfffffff007a04000
0xfffffff00873f23c: 00a01391  add	x0, x0, #0x4e8
0xfffffff00873f240: ad5cf097  bl	#0xfffffff0083564f4
0xfffffff00873f244: 625a40f9  ldr	x2, [x19, #0xb0]
0xfffffff00873f248: e10313aa  mov	x1, x19
0xfffffff00873f24c: ee2dff97  bl	#0xfffffff00870aa04
0xfffffff00873f250: 39000014  b	#0xfffffff00873f334
0xfffffff00873f254: fb0300f9  str	x27, [sp]
0xfffffff00873f258: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f25c: 00403691  add	x0, x0, #0xd90
0xfffffff00873f260: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f264: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f268: e34fffb0  adrp	x3, #0xfffffff00713c000
0xfffffff00873f26c: 63202991  add	x3, x3, #0xa48
0xfffffff00873f270: 02008052  mov	w2, #0
0xfffffff00873f274: afcfef97  bl	#0xfffffff008333130
0xfffffff00873f278: ab000014  b	#0xfffffff00873f524
0xfffffff00873f27c: 1fa10671  cmp	w8, #0x1a8
0xfffffff00873f280: e10e0054  b.ne	#0xfffffff00873f45c
0xfffffff00873f284: 2096ffb0  adrp	x0, #0xfffffff007a04000
0xfffffff00873f288: 00a01b91  add	x0, x0, #0x6e8
0xfffffff00873f28c: 9a5cf097  bl	#0xfffffff0083564f4
0xfffffff00873f290: 625a40f9  ldr	x2, [x19, #0xb0]
0xfffffff00873f294: e10313aa  mov	x1, x19
0xfffffff00873f298: 95b7ff97  bl	#0xfffffff00872d0ec
0xfffffff00873f29c: 26000014  b	#0xfffffff00873f334
0xfffffff00873f2a0: 9f2403d5  bti	j
0xfffffff00873f2a4: 2096ffb0  adrp	x0, #0xfffffff007a04000
0xfffffff00873f2a8: 00a01491  add	x0, x0, #0x528
0xfffffff00873f2ac: 925cf097  bl	#0xfffffff0083564f4
0xfffffff00873f2b0: 625a40f9  ldr	x2, [x19, #0xb0]
0xfffffff00873f2b4: e10313aa  mov	x1, x19
0xfffffff00873f2b8: 8f6d0094  bl	#0xfffffff00875a8f4
0xfffffff00873f2bc: 1e000014  b	#0xfffffff00873f334
0xfffffff00873f2c0: 9f2403d5  bti	j
0xfffffff00873f2c4: 2096ffb0  adrp	x0, #0xfffffff007a04000
0xfffffff00873f2c8: 00a01591  add	x0, x0, #0x568
0xfffffff00873f2cc: 8a5cf097  bl	#0xfffffff0083564f4
0xfffffff00873f2d0: 625a40f9  ldr	x2, [x19, #0xb0]
0xfffffff00873f2d4: e10313aa  mov	x1, x19
