; Candidate 16275
; ADRP+ADD at VM 0xfffffff009e3d6e4 (fileoff 0x2e396e4): page=0x1fd9e9000 add_imm=0xecc

0xfffffff009e3d664: 41008052  mov	w1, #2
0xfffffff009e3d668: e20317aa  mov	x2, x23
0xfffffff009e3d66c: 030080d2  mov	x3, #0
0xfffffff009e3d670: e40316aa  mov	x4, x22
0xfffffff009e3d674: 05008052  mov	w5, #0
0xfffffff009e3d678: 5fd40294  bl	#0xfffffff009ef27f4
0xfffffff009e3d67c: 65010014  b	#0xfffffff009e3dc10
0xfffffff009e3d680: e3430391  add	x3, sp, #0xd0
0xfffffff009e3d684: e00314aa  mov	x0, x20
0xfffffff009e3d688: a1018052  mov	w1, #0xd
0xfffffff009e3d68c: 02048052  mov	w2, #0x20
0xfffffff009e3d690: 04018052  mov	w4, #8
0xfffffff009e3d694: d2720494  bl	#0xfffffff009f5a1dc
0xfffffff009e3d698: e0edff35  cbnz	w0, #0xfffffff009e3d454
0xfffffff009e3d69c: 7affff17  b	#0xfffffff009e3d484
0xfffffff009e3d6a0: e1630391  add	x1, sp, #0xd8
0xfffffff009e3d6a4: e00313aa  mov	x0, x19
0xfffffff009e3d6a8: 020080d2  mov	x2, #0
0xfffffff009e3d6ac: e30317aa  mov	x3, x23
0xfffffff009e3d6b0: 74d00294  bl	#0xfffffff009ef1880
0xfffffff009e3d6b4: 60020034  cbz	w0, #0xfffffff009e3d700
0xfffffff009e3d6b8: f80300aa  mov	x24, x0
0xfffffff009e3d6bc: 083e8452  mov	w8, #0x21f0
0xfffffff009e3d6c0: 6802088b  add	x8, x19, x8
0xfffffff009e3d6c4: e97340f9  ldr	x9, [sp, #0xe0]
0xfffffff009e3d6c8: aa0640f9  ldr	x10, [x21, #8]
0xfffffff009e3d6cc: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff009e3d6d0: e86301a9  stp	x8, x24, [sp, #0x10]
0xfffffff009e3d6d4: 48cffeb0  adrp	x8, #0xfffffff007826000
0xfffffff009e3d6d8: 08ad3a91  add	x8, x8, #0xeab
0xfffffff009e3d6dc: c95e8252  mov	w9, #0x12f6
0xfffffff009e3d6e0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e3d6e4: 40cffeb0  adrp	x0, #0xfffffff007826000
0xfffffff009e3d6e8: 00303b91  add	x0, x0, #0xecc
0xfffffff009e3d6ec: 76080194  bl	#0xfffffff009e7f8c4
0xfffffff009e3d6f0: 1c008052  mov	w28, #0
0xfffffff009e3d6f4: 19008052  mov	w25, #0
0xfffffff009e3d6f8: 1a008052  mov	w26, #0
0xfffffff009e3d6fc: 7affff17  b	#0xfffffff009e3d4e4
0xfffffff009e3d700: e00319aa  mov	x0, x25
0xfffffff009e3d704: 01018052  mov	w1, #8
0xfffffff009e3d708: d0730494  bl	#0xfffffff009f5a648
0xfffffff009e3d70c: e00319aa  mov	x0, x25
0xfffffff009e3d710: a1008052  mov	w1, #5
0xfffffff009e3d714: cd730494  bl	#0xfffffff009f5a648
0xfffffff009e3d718: e86b40f9  ldr	x8, [sp, #0xd0]
0xfffffff009e3d71c: 880000b4  cbz	x8, #0xfffffff009e3d72c
0xfffffff009e3d720: e00319aa  mov	x0, x25
0xfffffff009e3d724: a1018052  mov	w1, #0xd
0xfffffff009e3d728: c8730494  bl	#0xfffffff009f5a648
0xfffffff009e3d72c: ff3700f9  str	xzr, [sp, #0x68]
0xfffffff009e3d730: a10640f9  ldr	x1, [x21, #8]
0xfffffff009e3d734: a3e20291  add	x3, x21, #0xb8
0xfffffff009e3d738: 627e40f9  ldr	x2, [x19, #0xf8]
0xfffffff009e3d73c: 44d1feb0  adrp	x4, #0xfffffff007866000
0xfffffff009e3d740: 84400b91  add	x4, x4, #0x2d0
0xfffffff009e3d744: e5a30191  add	x5, sp, #0x68
0xfffffff009e3d748: e00313aa  mov	x0, x19
0xfffffff009e3d74c: 37950294  bl	#0xfffffff009ee2c28
0xfffffff009e3d750: f80300aa  mov	x24, x0
0xfffffff009e3d754: 80030034  cbz	w0, #0xfffffff009e3d7c4
0xfffffff009e3d758: 28cffeb0  adrp	x8, #0xfffffff007822000
0xfffffff009e3d75c: 00ad42fd  ldr	d0, [x8, #0x558]
0xfffffff009e3d760: e05700fd  str	d0, [sp, #0xa8]
