; Candidate 8842
; ADRP+ADD at VM 0xfffffff0088d96d0 (fileoff 0x18d56d0): page=0x1fe991000 add_imm=0xdf5

0xfffffff0088d9650: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff0088d9654: 11093fd7  blraa	x8, x17
0xfffffff0088d9658: f50300a9  stp	x21, x0, [sp]
0xfffffff0088d965c: 804cffb0  adrp	x0, #0xfffffff00726a000
0xfffffff0088d9660: 004c3b91  add	x0, x0, #0xed3
0xfffffff0088d9664: 6ff6e997  bl	#0xfffffff008357020
0xfffffff0088d9668: 9effff17  b	#0xfffffff0088d94e0
0xfffffff0088d966c: 7f2303d5  pacibsp	
0xfffffff0088d9670: ffc300d1  sub	sp, sp, #0x30
0xfffffff0088d9674: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0088d9678: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0088d967c: fd830091  add	x29, sp, #0x20
0xfffffff0088d9680: f30301aa  mov	x19, x1
0xfffffff0088d9684: f40300aa  mov	x20, x0
0xfffffff0088d9688: 084c40f9  ldr	x8, [x0, #0x98]
0xfffffff0088d968c: 280400b4  cbz	x8, #0xfffffff0088d9710
0xfffffff0088d9690: 900240f9  ldr	x16, [x20]
0xfffffff0088d9694: f10314aa  mov	x17, x20
0xfffffff0088d9698: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d969c: 301ac1da  autda	x16, x17
0xfffffff0088d96a0: 113d80d2  mov	x17, #0x1e8
0xfffffff0088d96a4: 1002118b  add	x16, x16, x17
0xfffffff0088d96a8: 080240f9  ldr	x8, [x16]
0xfffffff0088d96ac: e90310aa  mov	x9, x16
0xfffffff0088d96b0: e00314aa  mov	x0, x20
0xfffffff0088d96b4: 010080d2  mov	x1, #0
0xfffffff0088d96b8: f10309aa  mov	x17, x9
0xfffffff0088d96bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088d96c0: 11093fd7  blraa	x8, x17
0xfffffff0088d96c4: 884cffb0  adrp	x8, #0xfffffff00726a000
0xfffffff0088d96c8: 08f13791  add	x8, x8, #0xdfc
0xfffffff0088d96cc: e02300a9  stp	x0, x8, [sp]
0xfffffff0088d96d0: 804cffb0  adrp	x0, #0xfffffff00726a000
0xfffffff0088d96d4: 00d43791  add	x0, x0, #0xdf5
0xfffffff0088d96d8: 52f6e997  bl	#0xfffffff008357020
0xfffffff0088d96dc: 804e40f9  ldr	x0, [x20, #0x98]
0xfffffff0088d96e0: 100040f9  ldr	x16, [x0]
0xfffffff0088d96e4: f10300aa  mov	x17, x0
0xfffffff0088d96e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d96ec: 301ac1da  autda	x16, x17
0xfffffff0088d96f0: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0088d96f4: e90310aa  mov	x9, x16
0xfffffff0088d96f8: 814cffb0  adrp	x1, #0xfffffff00726a000
0xfffffff0088d96fc: 21283891  add	x1, x1, #0xe0a
0xfffffff0088d9700: e20313aa  mov	x2, x19
0xfffffff0088d9704: f10309aa  mov	x17, x9
0xfffffff0088d9708: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff0088d970c: 11093fd7  blraa	x8, x17
0xfffffff0088d9710: c889ffd0  adrp	x8, #0xfffffff007a13000
0xfffffff0088d9714: 08012791  add	x8, x8, #0x9c0
0xfffffff0088d9718: 02611591  add	x2, x8, #0x558
0xfffffff0088d971c: 10ad42f9  ldr	x16, [x8, #0x558]
0xfffffff0088d9720: e00314aa  mov	x0, x20
0xfffffff0088d9724: e10313aa  mov	x1, x19
0xfffffff0088d9728: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0088d972c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0088d9730: ffc30091  add	sp, sp, #0x30
0xfffffff0088d9734: ff2303d5  autibsp	
0xfffffff0088d9738: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0088d973c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0088d9744
0xfffffff0088d9740: 208e38d4  brk	#0xc471
0xfffffff0088d9744: f10302aa  mov	x17, x2
0xfffffff0088d9748: f15ff2f2  movk	x17, #0x92ff, lsl #48
0xfffffff0088d974c: 110a1fd7  braa	x16, x17
