; Candidate 8506
; ADRP+ADD at VM 0xfffffff0088ae63c (fileoff 0x18aa63c): page=0x1fe93b000 add_imm=0xe80

0xfffffff0088ae5bc: 6c1640b9  ldr	w12, [x19, #0x14]
0xfffffff0088ae5c0: ec2305a9  stp	x12, x8, [sp, #0x50]
0xfffffff0088ae5c4: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff0088ae5c8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088ae5cc: 084bffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088ae5d0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088ae5d4: 69b28052  mov	w9, #0x593
0xfffffff0088ae5d8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ae5dc: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae5e0: 08053a91  add	x8, x8, #0xe81
0xfffffff0088ae5e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ae5e8: c80f8052  mov	w8, #0x7e
0xfffffff0088ae5ec: 204cffb0  adrp	x0, #0xfffffff007233000
0xfffffff0088ae5f0: 00403c91  add	x0, x0, #0xf10
0xfffffff0088ae5f4: f62300a9  stp	x22, x8, [sp]
0xfffffff0088ae5f8: 9a23d497  bl	#0xfffffff007db7460
0xfffffff0088ae5fc: 19000014  b	#0xfffffff0088ae660
0xfffffff0088ae600: eb160094  bl	#0xfffffff0088b41ac
0xfffffff0088ae604: f50300aa  mov	x21, x0
0xfffffff0088ae608: 80008052  mov	w0, #4
0xfffffff0088ae60c: 9134ff97  bl	#0xfffffff00887b850
0xfffffff0088ae610: e80314aa  mov	x8, x20
0xfffffff0088ae614: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088ae618: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae61c: 086d3a91  add	x8, x8, #0xe9b
0xfffffff0088ae620: c9af8052  mov	w9, #0x57e
0xfffffff0088ae624: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ae628: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae62c: 08053a91  add	x8, x8, #0xe81
0xfffffff0088ae630: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ae634: c80f8052  mov	w8, #0x7e
0xfffffff0088ae638: f52300a9  stp	x21, x8, [sp]
0xfffffff0088ae63c: c049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ae640: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ae644: c18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ae648: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ae64c: a34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088ae650: 63503d91  add	x3, x3, #0xf54
0xfffffff0088ae654: 02008052  mov	w2, #0
0xfffffff0088ae658: b612ea97  bl	#0xfffffff008333130
0xfffffff0088ae65c: 157d8012  mov	w21, #-0x3e9
0xfffffff0088ae660: c00f8052  mov	w0, #0x7e
0xfffffff0088ae664: c1008052  mov	w1, #6
0xfffffff0088ae668: 5a34ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ae66c: 20050034  cbz	w0, #0xfffffff0088ae710
0xfffffff0088ae670: c00f8052  mov	w0, #0x7e
0xfffffff0088ae674: 6934ff97  bl	#0xfffffff00887b818
0xfffffff0088ae678: f70300aa  mov	x23, x0
0xfffffff0088ae67c: cc160094  bl	#0xfffffff0088b41ac
0xfffffff0088ae680: f60300aa  mov	x22, x0
0xfffffff0088ae684: c0008052  mov	w0, #6
0xfffffff0088ae688: 7234ff97  bl	#0xfffffff00887b850
0xfffffff0088ae68c: b7010034  cbz	w23, #0xfffffff0088ae6c0
0xfffffff0088ae690: e80315aa  mov	x8, x21
0xfffffff0088ae694: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088ae698: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae69c: 08053a91  add	x8, x8, #0xe81
0xfffffff0088ae6a0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088ae6a4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088ae6a8: c80f8052  mov	w8, #0x7e
0xfffffff0088ae6ac: a04bfff0  adrp	x0, #0xfffffff007225000
0xfffffff0088ae6b0: 00042891  add	x0, x0, #0xa01
0xfffffff0088ae6b4: f62300a9  stp	x22, x8, [sp]
0xfffffff0088ae6b8: 6a23d497  bl	#0xfffffff007db7460
