; Candidate 13756
; ADRP+ADD at VM 0xfffffff00956ff64 (fileoff 0x256bf64): page=0x1fdfed000 add_imm=0xe9d

0xfffffff00956fee4: 0a0540f9  ldr	x10, [x8, #8]
0xfffffff00956fee8: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff00956feec: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff00956fef0: e90300f9  str	x9, [sp]
0xfffffff00956fef4: 60fffed0  adrp	x0, #0xfffffff00755d000
0xfffffff00956fef8: 00500391  add	x0, x0, #0xd4
0xfffffff00956fefc: 591da197  bl	#0xfffffff007db7460
0xfffffff00956ff00: 15008052  mov	w21, #0
0xfffffff00956ff04: a8c358b8  ldur	w8, [x29, #-0x74]
0xfffffff00956ff08: e333c03d  ldr	q3, [sp, #0xc0]
0xfffffff00956ff0c: 0b008092  mov	x11, #-1
0xfffffff00956ff10: 8bfdff17  b	#0xfffffff00956f53c
0xfffffff00956ff14: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff00956ff18: e82b00a9  stp	x8, x10, [sp]
0xfffffff00956ff1c: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956ff20: 00883b91  add	x0, x0, #0xee2
0xfffffff00956ff24: e4ffff17  b	#0xfffffff00956feb4
0xfffffff00956ff28: 692240f9  ldr	x9, [x19, #0x40]
0xfffffff00956ff2c: fc2301a9  stp	x28, x8, [sp, #0x10]
0xfffffff00956ff30: e96700a9  stp	x9, x25, [sp]
0xfffffff00956ff34: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956ff38: 00b03491  add	x0, x0, #0xd2c
0xfffffff00956ff3c: 491da197  bl	#0xfffffff007db7460
0xfffffff00956ff40: a80355f8  ldur	x8, [x29, #-0xb0]
0xfffffff00956ff44: 3f0308eb  cmp	x25, x8
0xfffffff00956ff48: a84357b8  ldur	w8, [x29, #-0x8c]
0xfffffff00956ff4c: 81fbff54  b.ne	#0xfffffff00956febc
0xfffffff00956ff50: 04010014  b	#0xfffffff009570360
0xfffffff00956ff54: 692240f9  ldr	x9, [x19, #0x40]
0xfffffff00956ff58: 8a064079  ldrh	w10, [x20, #2]
0xfffffff00956ff5c: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff00956ff60: e90300f9  str	x9, [sp]
0xfffffff00956ff64: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956ff68: 00743a91  add	x0, x0, #0xe9d
0xfffffff00956ff6c: d2ffff17  b	#0xfffffff00956feb4
0xfffffff00956ff70: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff00956ff74: e86300a9  stp	x8, x24, [sp]
0xfffffff00956ff78: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956ff7c: 00583c91  add	x0, x0, #0xf16
0xfffffff00956ff80: 381da197  bl	#0xfffffff007db7460
0xfffffff00956ff84: bb8357f8  ldur	x27, [x29, #-0x88]
0xfffffff00956ff88: 16000014  b	#0xfffffff00956ffe0
0xfffffff00956ff8c: 692240f9  ldr	x9, [x19, #0x40]
0xfffffff00956ff90: e81b03a9  stp	x8, x6, [sp, #0x30]
0xfffffff00956ff94: fb5702a9  stp	x27, x21, [sp, #0x20]
0xfffffff00956ff98: f95f01a9  stp	x25, x23, [sp, #0x10]
0xfffffff00956ff9c: bb8357f8  ldur	x27, [x29, #-0x88]
0xfffffff00956ffa0: e96f00a9  stp	x9, x27, [sp]
0xfffffff00956ffa4: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956ffa8: 008c3d91  add	x0, x0, #0xf63
0xfffffff00956ffac: 2d1da197  bl	#0xfffffff007db7460
0xfffffff00956ffb0: af0356f8  ldur	x15, [x29, #-0xa0]
0xfffffff00956ffb4: e8254029  ldp	w8, w9, [x15]
0xfffffff00956ffb8: ea2d4129  ldp	w10, w11, [x15, #8]
0xfffffff00956ffbc: ec354229  ldp	w12, w13, [x15, #0x10]
0xfffffff00956ffc0: ee3d4329  ldp	w14, w15, [x15, #0x18]
0xfffffff00956ffc4: ee3f03a9  stp	x14, x15, [sp, #0x30]
0xfffffff00956ffc8: ec3702a9  stp	x12, x13, [sp, #0x20]
0xfffffff00956ffcc: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff00956ffd0: e82700a9  stp	x8, x9, [sp]
0xfffffff00956ffd4: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956ffd8: 004c3f91  add	x0, x0, #0xfd3
0xfffffff00956ffdc: 211da197  bl	#0xfffffff007db7460
0xfffffff00956ffe0: 28008052  mov	w8, #1
