; Candidate 8308
; ADRP+ADD at VM 0xfffffff0088a25e8 (fileoff 0x189e5e8): page=0x1fe947000 add_imm=0xe80

0xfffffff0088a2568: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088a256c: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a2570: 087d2691  add	x8, x8, #0x99f
0xfffffff0088a2574: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a2578: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a257c: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a2580: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a2584: a80f8052  mov	w8, #0x7d
0xfffffff0088a2588: 604cfff0  adrp	x0, #0xfffffff007231000
0xfffffff0088a258c: 007c2b91  add	x0, x0, #0xadf
0xfffffff0088a2590: f92300a9  stp	x25, x8, [sp]
0xfffffff0088a2594: b353d497  bl	#0xfffffff007db7460
0xfffffff0088a2598: 1a000014  b	#0xfffffff0088a2600
0xfffffff0088a259c: 04470094  bl	#0xfffffff0088b41ac
0xfffffff0088a25a0: f90300aa  mov	x25, x0
0xfffffff0088a25a4: e0008052  mov	w0, #7
0xfffffff0088a25a8: aa64ff97  bl	#0xfffffff00887b850
0xfffffff0088a25ac: e80318aa  mov	x8, x24
0xfffffff0088a25b0: 690240b9  ldr	w9, [x19]
0xfffffff0088a25b4: f72305a9  stp	x23, x8, [sp, #0x50]
0xfffffff0088a25b8: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088a25bc: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088a25c0: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a25c4: 087d2691  add	x8, x8, #0x99f
0xfffffff0088a25c8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a25cc: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a25d0: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a25d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a25d8: a80f8052  mov	w8, #0x7d
0xfffffff0088a25dc: e34dfff0  adrp	x3, #0xfffffff007261000
0xfffffff0088a25e0: 63cc2e91  add	x3, x3, #0xbb3
0xfffffff0088a25e4: f92300a9  stp	x25, x8, [sp]
0xfffffff0088a25e8: 204afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a25ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a25f0: 218bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a25f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a25f8: 02008052  mov	w2, #0
0xfffffff0088a25fc: cd42ea97  bl	#0xfffffff008333130
0xfffffff0088a2600: e00318aa  mov	x0, x24
0xfffffff0088a2604: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff0088a2608: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff0088a260c: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff0088a2610: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff0088a2614: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff0088a2618: ffc30391  add	sp, sp, #0xf0
0xfffffff0088a261c: ff0f5fd6  retab	
0xfffffff0088a2620: e00313aa  mov	x0, x19
0xfffffff0088a2624: e10314aa  mov	x1, x20
0xfffffff0088a2628: 39eaff97  bl	#0xfffffff00889cf0c
0xfffffff0088a262c: 800500b4  cbz	x0, #0xfffffff0088a26dc
0xfffffff0088a2630: f80300aa  mov	x24, x0
0xfffffff0088a2634: a00f8052  mov	w0, #0x7d
0xfffffff0088a2638: 01018052  mov	w1, #8
0xfffffff0088a263c: 6564ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a2640: 200d0034  cbz	w0, #0xfffffff0088a27e4
0xfffffff0088a2644: a00f8052  mov	w0, #0x7d
0xfffffff0088a2648: 7464ff97  bl	#0xfffffff00887b818
0xfffffff0088a264c: fa0300aa  mov	x26, x0
0xfffffff0088a2650: d7460094  bl	#0xfffffff0088b41ac
0xfffffff0088a2654: f90300aa  mov	x25, x0
0xfffffff0088a2658: 00018052  mov	w0, #8
0xfffffff0088a265c: 7d64ff97  bl	#0xfffffff00887b850
0xfffffff0088a2660: 7a070034  cbz	w26, #0xfffffff0088a274c
0xfffffff0088a2664: 081340f9  ldr	x8, [x24, #0x20]
