; Candidate 752
; ADRP+ADD at VM 0xfffffff008069728 (fileoff 0x1065728): page=0x1ff006000 add_imm=0xe62

0xfffffff0080696a8: 5c300094  bl	#0xfffffff008075818
0xfffffff0080696ac: e00313aa  mov	x0, x19
0xfffffff0080696b0: e80314aa  mov	x8, x20
0xfffffff0080696b4: b30100b4  cbz	x19, #0xfffffff0080696e8
0xfffffff0080696b8: 133040f9  ldr	x19, [x0, #0x60]
0xfffffff0080696bc: f40313aa  mov	x20, x19
0xfffffff0080696c0: 1f0100eb  cmp	x8, x0
0xfffffff0080696c4: 00ffff54  b.eq	#0xfffffff0080696a4
0xfffffff0080696c8: ea0308aa  mov	x10, x8
0xfffffff0080696cc: e9030aaa  mov	x9, x10
0xfffffff0080696d0: 4a3140f9  ldr	x10, [x10, #0x60]
0xfffffff0080696d4: 5f0100eb  cmp	x10, x0
0xfffffff0080696d8: a1ffff54  b.ne	#0xfffffff0080696cc
0xfffffff0080696dc: 333100f9  str	x19, [x9, #0x60]
0xfffffff0080696e0: f40308aa  mov	x20, x8
0xfffffff0080696e4: f0ffff17  b	#0xfffffff0080696a4
0xfffffff0080696e8: b40900b5  cbnz	x20, #0xfffffff00806981c
0xfffffff0080696ec: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff0080696f0: e90a01d0  adrp	x9, #0xfffffff00a1c7000
0xfffffff0080696f4: 29010091  add	x9, x9, #0
0xfffffff0080696f8: 290140f9  ldr	x9, [x9]
0xfffffff0080696fc: 3f0108eb  cmp	x9, x8
0xfffffff008069700: a1090054  b.ne	#0xfffffff008069834
0xfffffff008069704: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff008069708: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff00806970c: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff008069710: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff008069714: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff008069718: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff00806971c: e9234b6d  ldp	d9, d8, [sp, #0xb0]
0xfffffff008069720: ff830491  add	sp, sp, #0x120
0xfffffff008069724: ff0f5fd6  retab	
0xfffffff008069728: 2080ffd0  adrp	x0, #0xfffffff00706f000
0xfffffff00806972c: 00883991  add	x0, x0, #0xe62
0xfffffff008069730: 2180ffd0  adrp	x1, #0xfffffff00706f000
0xfffffff008069734: 21682c91  add	x1, x1, #0xb1a
0xfffffff008069738: e21f8152  mov	w2, #0x8ff
0xfffffff00806973c: 36d81094  bl	#0xfffffff00849f814
0xfffffff008069740: a080ff90  adrp	x0, #0xfffffff00707d000
0xfffffff008069744: 00402691  add	x0, x0, #0x990
0xfffffff008069748: 09000014  b	#0xfffffff00806976c
0xfffffff00806974c: a080ff90  adrp	x0, #0xfffffff00707d000
0xfffffff008069750: 00402691  add	x0, x0, #0x990
0xfffffff008069754: 0f000014  b	#0xfffffff008069790
0xfffffff008069758: a080ff90  adrp	x0, #0xfffffff00707d000
0xfffffff00806975c: 00e42491  add	x0, x0, #0x939
0xfffffff008069760: 03000014  b	#0xfffffff00806976c
0xfffffff008069764: a080ff90  adrp	x0, #0xfffffff00707d000
0xfffffff008069768: 007c2591  add	x0, x0, #0x95f
0xfffffff00806976c: 2180ffd0  adrp	x1, #0xfffffff00706f000
0xfffffff008069770: 21682c91  add	x1, x1, #0xb1a
0xfffffff008069774: 02e88152  mov	w2, #0xf40
0xfffffff008069778: 27d81094  bl	#0xfffffff00849f814
0xfffffff00806977c: a080ff90  adrp	x0, #0xfffffff00707d000
0xfffffff008069780: 00e42491  add	x0, x0, #0x939
0xfffffff008069784: 03000014  b	#0xfffffff008069790
0xfffffff008069788: a080ff90  adrp	x0, #0xfffffff00707d000
0xfffffff00806978c: 007c2591  add	x0, x0, #0x95f
0xfffffff008069790: 2180ffd0  adrp	x1, #0xfffffff00706f000
0xfffffff008069794: 21682c91  add	x1, x1, #0xb1a
0xfffffff008069798: a2e68152  mov	w2, #0xf35
0xfffffff00806979c: 1ed81094  bl	#0xfffffff00849f814
0xfffffff0080697a0: a080ff90  adrp	x0, #0xfffffff00707d000
0xfffffff0080697a4: 00702191  add	x0, x0, #0x85c
