; Candidate 10654
; ADRP+ADD at VM 0xfffffff008de2200 (fileoff 0x1dde200): page=0x1fe5e2000 add_imm=0xe15

0xfffffff008de2180: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008de2184: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008de2188: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008de218c: ffc30191  add	sp, sp, #0x70
0xfffffff008de2190: ff0f5fd6  retab	
0xfffffff008de2194: 28938052  mov	w8, #0x499
0xfffffff008de2198: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de219c: 29490d91  add	x9, x9, #0x352
0xfffffff008de21a0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de21a4: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de21a8: 08493991  add	x8, x8, #0xe52
0xfffffff008de21ac: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de21b0: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de21b4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de21b8: ea0300f9  str	x10, [sp]
0xfffffff008de21bc: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de21c0: 00543891  add	x0, x0, #0xe15
0xfffffff008de21c4: 97d3d597  bl	#0xfffffff008357020
0xfffffff008de21c8: c8088052  mov	w8, #0x46
0xfffffff008de21cc: 53008012  mov	w19, #-3
0xfffffff008de21d0: e0ffff17  b	#0xfffffff008de2150
0xfffffff008de21d4: 687e4093  sxtw	x8, w19
0xfffffff008de21d8: 69938052  mov	w9, #0x49b
0xfffffff008de21dc: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de21e0: 4a490d91  add	x10, x10, #0x352
0xfffffff008de21e4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de21e8: 092fffd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de21ec: 29493991  add	x9, x9, #0xe52
0xfffffff008de21f0: 0b2fffd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de21f4: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de21f8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de21fc: eb0300f9  str	x11, [sp]
0xfffffff008de2200: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2204: 00543891  add	x0, x0, #0xe15
0xfffffff008de2208: 86d3d597  bl	#0xfffffff008357020
0xfffffff008de220c: c8088052  mov	w8, #0x46
0xfffffff008de2210: d0ffff17  b	#0xfffffff008de2150
0xfffffff008de2214: 7f2303d5  pacibsp	
0xfffffff008de2218: ffc302d1  sub	sp, sp, #0xb0
0xfffffff008de221c: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff008de2220: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff008de2224: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff008de2228: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff008de222c: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff008de2230: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff008de2234: fd830291  add	x29, sp, #0xa0
0xfffffff008de2238: f40306aa  mov	x20, x6
0xfffffff008de223c: f50305aa  mov	x21, x5
0xfffffff008de2240: f30304aa  mov	x19, x4
0xfffffff008de2244: f80303aa  mov	x24, x3
0xfffffff008de2248: f90302aa  mov	x25, x2
0xfffffff008de224c: f70301aa  mov	x23, x1
0xfffffff008de2250: f60300aa  mov	x22, x0
0xfffffff008de2254: 6868ffd0  adrp	x8, #0xfffffff007af0000
0xfffffff008de2258: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff008de225c: 080140f9  ldr	x8, [x8]
0xfffffff008de2260: e82700f9  str	x8, [sp, #0x48]
0xfffffff008de2264: fca800b0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008de2268: 9c432c91  add	x28, x28, #0xb10
0xfffffff008de226c: 88034039  ldrb	w8, [x28]
0xfffffff008de2270: fa2efff0  adrp	x26, #0xfffffff0073c1000
0xfffffff008de2274: 5a573f91  add	x26, x26, #0xfd5
0xfffffff008de2278: fb2efff0  adrp	x27, #0xfffffff0073c1000
0xfffffff008de227c: 7b9f0c91  add	x27, x27, #0x327
