; Candidate 189
; ADRP+ADD at VM 0xfffffff007e2e56c (fileoff 0xe2a56c): page=0x23a3000 add_imm=0xd20

0xfffffff007e2e4ec: 1f0100f1  cmp	x8, #0
0xfffffff007e2e4f0: e1010054  b.ne	#0xfffffff007e2e52c
0xfffffff007e2e4f4: f3000034  cbz	w19, #0xfffffff007e2e510
0xfffffff007e2e4f8: 680e0011  add	w8, w19, #3
0xfffffff007e2e4fc: 7f020071  cmp	w19, #0
0xfffffff007e2e500: 08b1931a  csel	w8, w8, w19, lt
0xfffffff007e2e504: a96e40b9  ldr	w9, [x21, #0x6c]
0xfffffff007e2e508: 2809880b  add	w8, w9, w8, asr #2
0xfffffff007e2e50c: a86e00b9  str	w8, [x21, #0x6c]
0xfffffff007e2e510: e00315aa  mov	x0, x21
0xfffffff007e2e514: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007e2e518: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007e2e51c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007e2e520: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff007e2e524: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff007e2e528: ff0f5fd6  retab	
0xfffffff007e2e52c: e00315aa  mov	x0, x21
0xfffffff007e2e530: 42008052  mov	w2, #2
0xfffffff007e2e534: 71f5fd97  bl	#0xfffffff007dabaf8
0xfffffff007e2e538: 13feff35  cbnz	w19, #0xfffffff007e2e4f8
0xfffffff007e2e53c: f5ffff17  b	#0xfffffff007e2e510
0xfffffff007e2e540: 001d01f0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2e544: 00803491  add	x0, x0, #0xd20
0xfffffff007e2e548: e10314aa  mov	x1, x20
0xfffffff007e2e54c: 42008052  mov	w2, #2
0xfffffff007e2e550: 6af5fd97  bl	#0xfffffff007dabaf8
0xfffffff007e2e554: d5feff17  b	#0xfffffff007e2e0a8
0xfffffff007e2e558: 001d01f0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2e55c: 00803491  add	x0, x0, #0xd20
0xfffffff007e2e560: e10314aa  mov	x1, x20
0xfffffff007e2e564: 80f8fd97  bl	#0xfffffff007dac764
0xfffffff007e2e568: 11ffff17  b	#0xfffffff007e2e1ac
0xfffffff007e2e56c: 001d01f0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2e570: 00803491  add	x0, x0, #0xd20
0xfffffff007e2e574: e10314aa  mov	x1, x20
0xfffffff007e2e578: 42008052  mov	w2, #2
0xfffffff007e2e57c: 5ff5fd97  bl	#0xfffffff007dabaf8
0xfffffff007e2e580: 37ffff17  b	#0xfffffff007e2e25c
0xfffffff007e2e584: 001d01f0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2e588: 00803491  add	x0, x0, #0xd20
0xfffffff007e2e58c: e10314aa  mov	x1, x20
0xfffffff007e2e590: 75f8fd97  bl	#0xfffffff007dac764
0xfffffff007e2e594: 41ffff17  b	#0xfffffff007e2e298
0xfffffff007e2e598: 001d01f0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2e59c: 00803491  add	x0, x0, #0xd20
0xfffffff007e2e5a0: e10314aa  mov	x1, x20
0xfffffff007e2e5a4: 70f8fd97  bl	#0xfffffff007dac764
0xfffffff007e2e5a8: 150080d2  mov	x21, #0
0xfffffff007e2e5ac: d9ffff17  b	#0xfffffff007e2e510
0xfffffff007e2e5b0: 601c01d0  adrp	x0, #0xfffffff00a1bc000
0xfffffff007e2e5b4: 00a01b91  add	x0, x0, #0x6e8
0xfffffff007e2e5b8: 15c71994  bl	#0xfffffff0084a020c
0xfffffff007e2e5bc: 001d01f0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2e5c0: 00803491  add	x0, x0, #0xd20
0xfffffff007e2e5c4: e10314aa  mov	x1, x20
0xfffffff007e2e5c8: 67f8fd97  bl	#0xfffffff007dac764
0xfffffff007e2e5cc: 5dffff17  b	#0xfffffff007e2e340
0xfffffff007e2e5d0: 001d01f0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2e5d4: 00803491  add	x0, x0, #0xd20
0xfffffff007e2e5d8: e10314aa  mov	x1, x20
0xfffffff007e2e5dc: 42008052  mov	w2, #2
0xfffffff007e2e5e0: 46f5fd97  bl	#0xfffffff007dabaf8
0xfffffff007e2e5e4: 79ffff17  b	#0xfffffff007e2e3c8
0xfffffff007e2e5e8: 7f2303d5  pacibsp	
