; Candidate 4538
; ADRP+ADD at VM 0xfffffff0087b9ee0 (fileoff 0x17b5ee0): page=0x1fe978000 add_imm=0xd90

0xfffffff0087b9e60: 094540b9  ldr	w9, [x8, #0x44]
0xfffffff0087b9e64: 3f0d0071  cmp	w9, #3
0xfffffff0087b9e68: 61000054  b.ne	#0xfffffff0087b9e74
0xfffffff0087b9e6c: 20008052  mov	w0, #1
0xfffffff0087b9e70: 07000014  b	#0xfffffff0087b9e8c
0xfffffff0087b9e74: 214dffb0  adrp	x1, #0xfffffff00715e000
0xfffffff0087b9e78: 212c2691  add	x1, x1, #0x98b
0xfffffff0087b9e7c: e00313aa  mov	x0, x19
0xfffffff0087b9e80: 22008052  mov	w2, #1
0xfffffff0087b9e84: 0f050094  bl	#0xfffffff0087bb2c0
0xfffffff0087b9e88: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087b9e8c: 00411a39  strb	w0, [x8, #0x690]
0xfffffff0087b9e90: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0087b9e94: 082d40b9  ldr	w8, [x8, #0x2c]
0xfffffff0087b9e98: 02050011  add	w2, w8, #1
0xfffffff0087b9e9c: 214dffb0  adrp	x1, #0xfffffff00715e000
0xfffffff0087b9ea0: 21902691  add	x1, x1, #0x9a4
0xfffffff0087b9ea4: e00313aa  mov	x0, x19
0xfffffff0087b9ea8: 06050094  bl	#0xfffffff0087bb2c0
0xfffffff0087b9eac: 69a245a9  ldp	x9, x8, [x19, #0x58]
0xfffffff0087b9eb0: 004d00b9  str	w0, [x8, #0x4c]
0xfffffff0087b9eb4: ea03002a  mov	w10, w0
0xfffffff0087b9eb8: 2b2d40b9  ldr	w11, [x9, #0x2c]
0xfffffff0087b9ebc: 6b050011  add	w11, w11, #1
0xfffffff0087b9ec0: 0c008092  mov	x12, #-1
0xfffffff0087b9ec4: 8b21cb9a  lsl	x11, x12, x11
0xfffffff0087b9ec8: eb032baa  mvn	x11, x11
0xfffffff0087b9ecc: 5f010beb  cmp	x10, x11
0xfffffff0087b9ed0: ad010054  b.le	#0xfffffff0087b9f04
0xfffffff0087b9ed4: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b9ed8: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b9edc: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b9ee0: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9ee4: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9ee8: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9eec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9ef0: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9ef4: 63d03191  add	x3, x3, #0xc74
0xfffffff0087b9ef8: 02008052  mov	w2, #0
0xfffffff0087b9efc: 8de4ed97  bl	#0xfffffff008333130
0xfffffff0087b9f00: 37fdff17  b	#0xfffffff0087b93dc
0xfffffff0087b9f04: 005500b9  str	w0, [x8, #0x54]
0xfffffff0087b9f08: 0a314239  ldrb	w10, [x8, #0x8c]
0xfffffff0087b9f0c: 6aaeff35  cbnz	w10, #0xfffffff0087b94d8
0xfffffff0087b9f10: 0a116e39  ldrb	w10, [x8, #0xb84]
0xfffffff0087b9f14: 2aaeff35  cbnz	w10, #0xfffffff0087b94d8
0xfffffff0087b9f18: 214dffb0  adrp	x1, #0xfffffff00715e000
0xfffffff0087b9f1c: 21bc2691  add	x1, x1, #0x9af
0xfffffff0087b9f20: e00313aa  mov	x0, x19
0xfffffff0087b9f24: 62008052  mov	w2, #3
0xfffffff0087b9f28: e6040094  bl	#0xfffffff0087bb2c0
0xfffffff0087b9f2c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087b9f30: 009900b9  str	w0, [x8, #0x98]
0xfffffff0087b9f34: 1f1c0071  cmp	w0, #7
0xfffffff0087b9f38: 49180054  b.ls	#0xfffffff0087ba240
0xfffffff0087b9f3c: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b9f40: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b9f44: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b9f48: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9f4c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9f50: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9f54: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9f58: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9f5c: 63683291  add	x3, x3, #0xc9a
