; Candidate 7510
; ADRP+ADD at VM 0xfffffff008870b84 (fileoff 0x186cb84): page=0x1fe9a3000 add_imm=0xe0f

0xfffffff008870b04: e00314aa  mov	x0, x20
0xfffffff008870b08: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008870b0c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008870b10: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008870b14: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008870b18: ff030291  add	sp, sp, #0x80
0xfffffff008870b1c: ff0f5fd6  retab	
0xfffffff008870b20: 7f2303d5  pacibsp	
0xfffffff008870b24: ff8301d1  sub	sp, sp, #0x60
0xfffffff008870b28: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008870b2c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008870b30: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008870b34: fd430191  add	x29, sp, #0x50
0xfffffff008870b38: f30300aa  mov	x19, x0
0xfffffff008870b3c: 600b8052  mov	w0, #0x5b
0xfffffff008870b40: 01018052  mov	w1, #8
0xfffffff008870b44: 232b0094  bl	#0xfffffff00887b7d0
0xfffffff008870b48: a0040034  cbz	w0, #0xfffffff008870bdc
0xfffffff008870b4c: 600b8052  mov	w0, #0x5b
0xfffffff008870b50: 322b0094  bl	#0xfffffff00887b818
0xfffffff008870b54: f50300aa  mov	x21, x0
0xfffffff008870b58: 950d0194  bl	#0xfffffff0088b41ac
0xfffffff008870b5c: f40300aa  mov	x20, x0
0xfffffff008870b60: 00018052  mov	w0, #8
0xfffffff008870b64: 3b2b0094  bl	#0xfffffff00887b850
0xfffffff008870b68: 75010034  cbz	w21, #0xfffffff008870b94
0xfffffff008870b6c: c84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008870b70: 08292591  add	x8, x8, #0x94a
0xfffffff008870b74: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008870b78: 680b8052  mov	w8, #0x5b
0xfffffff008870b7c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008870b80: f40300f9  str	x20, [sp]
0xfffffff008870b84: 004dfff0  adrp	x0, #0xfffffff007213000
0xfffffff008870b88: 003c3891  add	x0, x0, #0xe0f
0xfffffff008870b8c: 351ad597  bl	#0xfffffff007db7460
0xfffffff008870b90: 13000014  b	#0xfffffff008870bdc
0xfffffff008870b94: 860d0194  bl	#0xfffffff0088b41ac
0xfffffff008870b98: f40300aa  mov	x20, x0
0xfffffff008870b9c: 00018052  mov	w0, #8
0xfffffff008870ba0: 2c2b0094  bl	#0xfffffff00887b850
0xfffffff008870ba4: c84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008870ba8: 08292591  add	x8, x8, #0x94a
0xfffffff008870bac: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008870bb0: 680b8052  mov	w8, #0x5b
0xfffffff008870bb4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008870bb8: f40300f9  str	x20, [sp]
0xfffffff008870bbc: c04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008870bc0: 00003a91  add	x0, x0, #0xe80
0xfffffff008870bc4: c18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008870bc8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008870bcc: 434fff90  adrp	x3, #0xfffffff007258000
0xfffffff008870bd0: 63383791  add	x3, x3, #0xdce
0xfffffff008870bd4: 02008052  mov	w2, #0
0xfffffff008870bd8: 5609eb97  bl	#0xfffffff008333130
0xfffffff008870bdc: e00313aa  mov	x0, x19
0xfffffff008870be0: 01009052  mov	w1, #0x8000
0xfffffff008870be4: e102a072  movk	w1, #0x17, lsl #16
0xfffffff008870be8: 02048052  mov	w2, #0x20
0xfffffff008870bec: c202a072  movk	w2, #0x16, lsl #16
0xfffffff008870bf0: 23008052  mov	w3, #1
0xfffffff008870bf4: 9b130094  bl	#0xfffffff008875a60
0xfffffff008870bf8: f40300aa  mov	x20, x0
0xfffffff008870bfc: 600b8052  mov	w0, #0x5b
0xfffffff008870c00: 01018052  mov	w1, #8
