; Candidate 4737
; ADRP+ADD at VM 0xfffffff0087c3ffc (fileoff 0x17bfffc): page=0x1fe96e000 add_imm=0xd90

0xfffffff0087c3f7c: 63a42291  add	x3, x3, #0x8a9
0xfffffff0087c3f80: 02008052  mov	w2, #0
0xfffffff0087c3f84: 6bbced97  bl	#0xfffffff008333130
0xfffffff0087c3f88: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3f8c: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3f90: e80300f9  str	x8, [sp]
0xfffffff0087c3f94: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3f98: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3f9c: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3fa0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3fa4: 434cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c3fa8: 63840891  add	x3, x3, #0x221
0xfffffff0087c3fac: 02008052  mov	w2, #0
0xfffffff0087c3fb0: 60bced97  bl	#0xfffffff008333130
0xfffffff0087c3fb4: a4ffff17  b	#0xfffffff0087c3e44
0xfffffff0087c3fb8: e9ca8252  mov	w9, #0x1657
0xfffffff0087c3fbc: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3fc0: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3fc4: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c3fc8: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3fcc: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3fd0: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3fd4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3fd8: 434cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c3fdc: 63dc0a91  add	x3, x3, #0x2b7
0xfffffff0087c3fe0: 02008052  mov	w2, #0
0xfffffff0087c3fe4: 53bced97  bl	#0xfffffff008333130
0xfffffff0087c3fe8: 97ffff17  b	#0xfffffff0087c3e44
0xfffffff0087c3fec: 89cb8252  mov	w9, #0x165c
0xfffffff0087c3ff0: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3ff4: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3ff8: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c3ffc: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4000: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4004: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4008: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c400c: 434cffb0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c4010: 63600b91  add	x3, x3, #0x2d8
0xfffffff0087c4014: 02008052  mov	w2, #0
0xfffffff0087c4018: 46bced97  bl	#0xfffffff008333130
0xfffffff0087c401c: 8affff17  b	#0xfffffff0087c3e44
0xfffffff0087c4020: 69c88252  mov	w9, #0x1643
0xfffffff0087c4024: 684cff90  adrp	x8, #0xfffffff007150000
0xfffffff0087c4028: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c402c: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c4030: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4034: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4038: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c403c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c4040: 434cffb0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c4044: 63d40991  add	x3, x3, #0x275
0xfffffff0087c4048: 02008052  mov	w2, #0
0xfffffff0087c404c: 39bced97  bl	#0xfffffff008333130
0xfffffff0087c4050: 7dffff17  b	#0xfffffff0087c3e44
0xfffffff0087c4054: c84cfff0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c4058: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0087c405c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c4060: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4064: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4068: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c406c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c4070: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c4074: 63ac0891  add	x3, x3, #0x22b
0xfffffff0087c4078: 02008052  mov	w2, #0
