; Candidate 10812
; ADRP+ADD at VM 0xfffffff008de7a14 (fileoff 0x1de3a14): page=0x1fe5dd000 add_imm=0xd21

0xfffffff008de7994: cdfcff97  bl	#0xfffffff008de6cc8
0xfffffff008de7998: e00314aa  mov	x0, x20
0xfffffff008de799c: e10313aa  mov	x1, x19
0xfffffff008de79a0: 73fcff97  bl	#0xfffffff008de6b6c
0xfffffff008de79a4: e02340f9  ldr	x0, [sp, #0x40]
0xfffffff008de79a8: a0eaffb4  cbz	x0, #0xfffffff008de76fc
0xfffffff008de79ac: e13f40b9  ldr	w1, [sp, #0x3c]
0xfffffff008de79b0: 441a0094  bl	#0xfffffff008dee2c0
0xfffffff008de79b4: 52ffff17  b	#0xfffffff008de76fc
0xfffffff008de79b8: 7f2303d5  pacibsp	
0xfffffff008de79bc: ffc302d1  sub	sp, sp, #0xb0
0xfffffff008de79c0: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff008de79c4: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff008de79c8: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff008de79cc: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff008de79d0: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff008de79d4: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff008de79d8: fd830291  add	x29, sp, #0xa0
0xfffffff008de79dc: fa0304aa  mov	x26, x4
0xfffffff008de79e0: f90303aa  mov	x25, x3
0xfffffff008de79e4: f40302aa  mov	x20, x2
0xfffffff008de79e8: f60301aa  mov	x22, x1
0xfffffff008de79ec: f70300aa  mov	x23, x0
0xfffffff008de79f0: dca80090  adrp	x28, #0xfffffff00a2ff000
0xfffffff008de79f4: 88436c39  ldrb	w8, [x28, #0xb10]
0xfffffff008de79f8: f52eff90  adrp	x21, #0xfffffff0073c3000
0xfffffff008de79fc: b52a3091  add	x21, x21, #0xc0a
0xfffffff008de7a00: d82effd0  adrp	x24, #0xfffffff0073c1000
0xfffffff008de7a04: 189f0c91  add	x24, x24, #0x327
0xfffffff008de7a08: 1f290071  cmp	w8, #0xa
0xfffffff008de7a0c: a8000054  b.hi	#0xfffffff008de7a20
0xfffffff008de7a10: f85700a9  stp	x24, x21, [sp]
0xfffffff008de7a14: e02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de7a18: 00843491  add	x0, x0, #0xd21
0xfffffff008de7a1c: 81bdd597  bl	#0xfffffff008357020
0xfffffff008de7a20: 971700b4  cbz	x23, #0xfffffff008de7d10
0xfffffff008de7a24: 741700b4  cbz	x20, #0xfffffff008de7d10
0xfffffff008de7a28: 591700b4  cbz	x25, #0xfffffff008de7d10
0xfffffff008de7a2c: 3a1700b4  cbz	x26, #0xfffffff008de7d10
0xfffffff008de7a30: 930240f9  ldr	x19, [x20]
0xfffffff008de7a34: 7f0216eb  cmp	x19, x22
0xfffffff008de7a38: f92700f9  str	x25, [sp, #0x48]
0xfffffff008de7a3c: c20a0054  b.hs	#0xfffffff008de7b94
0xfffffff008de7a40: c80213cb  sub	x8, x22, x19
0xfffffff008de7a44: 1f0d00f1  cmp	x8, #3
0xfffffff008de7a48: 69170054  b.ls	#0xfffffff008de7d34
0xfffffff008de7a4c: e86a73b8  ldr	w8, [x23, x19]
0xfffffff008de7a50: 1f2d0071  cmp	w8, #0xb
0xfffffff008de7a54: 22180054  b.hs	#0xfffffff008de7d58
0xfffffff008de7a58: 73120091  add	x19, x19, #4
0xfffffff008de7a5c: c8090034  cbz	w8, #0xfffffff008de7b94
0xfffffff008de7a60: fad303a9  stp	x26, x20, [sp, #0x38]
0xfffffff008de7a64: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008de7a68: 0805088b  add	x8, x8, x8, lsl #1
0xfffffff008de7a6c: 1af17dd3  lsl	x26, x8, #3
0xfffffff008de7a70: 4068ffd0  adrp	x0, #0xfffffff007af1000
0xfffffff008de7a74: 00803691  add	x0, x0, #0xda0
0xfffffff008de7a78: e1031aaa  mov	x1, x26
0xfffffff008de7a7c: d5bcd597  bl	#0xfffffff008356dd0
0xfffffff008de7a80: f90300aa  mov	x25, x0
0xfffffff008de7a84: e02eff90  adrp	x0, #0xfffffff0073c3000
0xfffffff008de7a88: 00843291  add	x0, x0, #0xca1
0xfffffff008de7a8c: d42efff0  adrp	x20, #0xfffffff0073c2000
0xfffffff008de7a90: 94ea2e91  add	x20, x20, #0xbba
