; Candidate 10656
; ADRP+ADD at VM 0xfffffff008de232c (fileoff 0x1dde32c): page=0x1fe5e2000 add_imm=0xd54

0xfffffff008de22ac: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff008de22b0: 08038052  mov	w8, #0x18
0xfffffff008de22b4: e81700f9  str	x8, [sp, #0x28]
0xfffffff008de22b8: e3c30091  add	x3, sp, #0x30
0xfffffff008de22bc: e4a30091  add	x4, sp, #0x28
0xfffffff008de22c0: e00319aa  mov	x0, x25
0xfffffff008de22c4: e10318aa  mov	x1, x24
0xfffffff008de22c8: e20313aa  mov	x2, x19
0xfffffff008de22cc: 57260094  bl	#0xfffffff008debc28
0xfffffff008de22d0: 60090035  cbnz	w0, #0xfffffff008de23fc
0xfffffff008de22d4: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008de22d8: 1f6100f1  cmp	x8, #0x18
0xfffffff008de22dc: 010b0054  b.ne	#0xfffffff008de243c
0xfffffff008de22e0: e3c30091  add	x3, sp, #0x30
0xfffffff008de22e4: e00317aa  mov	x0, x23
0xfffffff008de22e8: 21048052  mov	w1, #0x21
0xfffffff008de22ec: 02008052  mov	w2, #0
0xfffffff008de22f0: 04038052  mov	w4, #0x18
0xfffffff008de22f4: e50315aa  mov	x5, x21
0xfffffff008de22f8: e60314aa  mov	x6, x20
0xfffffff008de22fc: 519081d2  mov	x17, #0xc82
0xfffffff008de2300: d10a3fd7  blraa	x22, x17
0xfffffff008de2304: f30300aa  mov	x19, x0
0xfffffff008de2308: 800b0035  cbnz	w0, #0xfffffff008de2478
0xfffffff008de230c: 48018052  mov	w8, #0xa
0xfffffff008de2310: 89034039  ldrb	w9, [x28]
0xfffffff008de2314: 1f01096b  cmp	w8, w9
0xfffffff008de2318: 03010054  b.lo	#0xfffffff008de2338
0xfffffff008de231c: e80313aa  mov	x8, x19
0xfffffff008de2320: 087d4093  sxtw	x8, w8
0xfffffff008de2324: fb6b00a9  stp	x27, x26, [sp]
0xfffffff008de2328: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de232c: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2330: 00503591  add	x0, x0, #0xd54
0xfffffff008de2334: 3bd3d597  bl	#0xfffffff008357020
0xfffffff008de2338: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff008de233c: 6968ffd0  adrp	x9, #0xfffffff007af0000
0xfffffff008de2340: 296946f9  ldr	x9, [x9, #0xcd0]
0xfffffff008de2344: 290140f9  ldr	x9, [x9]
0xfffffff008de2348: 3f0108eb  cmp	x9, x8
0xfffffff008de234c: 610b0054  b.ne	#0xfffffff008de24b8
0xfffffff008de2350: e00313aa  mov	x0, x19
0xfffffff008de2354: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008de2358: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008de235c: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008de2360: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008de2364: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008de2368: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff008de236c: ffc30291  add	sp, sp, #0xb0
0xfffffff008de2370: ff0f5fd6  retab	
0xfffffff008de2374: e8948052  mov	w8, #0x4a7
0xfffffff008de2378: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de237c: 29490d91  add	x9, x9, #0x352
0xfffffff008de2380: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de2384: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de2388: 08493991  add	x8, x8, #0xe52
0xfffffff008de238c: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de2390: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de2394: 12000014  b	#0xfffffff008de23dc
0xfffffff008de2398: 08958052  mov	w8, #0x4a8
0xfffffff008de239c: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de23a0: 29490d91  add	x9, x9, #0x352
0xfffffff008de23a4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de23a8: 082fffd0  adrp	x8, #0xfffffff0073c4000
