; Candidate 6110
; ADRP+ADD at VM 0xfffffff0088155b4 (fileoff 0x18115b4): page=0x1fe9d4000 add_imm=0xe80

0xfffffff008815534: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008815538: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881553c: 8ac640b9  ldr	w10, [x20, #0xc4]
0xfffffff008815540: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff008815544: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008815548: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff00881554c: 08b92191  add	x8, x8, #0x86e
0xfffffff008815550: 29c68052  mov	w9, #0x631
0xfffffff008815554: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008815558: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff00881555c: 08951f91  add	x8, x8, #0x7e5
0xfffffff008815560: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008815564: 880e8052  mov	w8, #0x74
0xfffffff008815568: 4050ffb0  adrp	x0, #0xfffffff00721e000
0xfffffff00881556c: 00b42091  add	x0, x0, #0x82d
0xfffffff008815570: f62300a9  stp	x22, x8, [sp]
0xfffffff008815574: bb87d697  bl	#0xfffffff007db7460
0xfffffff008815578: 18000014  b	#0xfffffff0088155d8
0xfffffff00881557c: 0c7b0294  bl	#0xfffffff0088b41ac
0xfffffff008815580: f50300aa  mov	x21, x0
0xfffffff008815584: 80008052  mov	w0, #4
0xfffffff008815588: b2980194  bl	#0xfffffff00887b850
0xfffffff00881558c: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff008815590: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815594: 080d2091  add	x8, x8, #0x803
0xfffffff008815598: 09c28052  mov	w9, #0x610
0xfffffff00881559c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088155a0: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff0088155a4: 08951f91  add	x8, x8, #0x7e5
0xfffffff0088155a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088155ac: 880e8052  mov	w8, #0x74
0xfffffff0088155b0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088155b4: a04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088155b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088155bc: 818ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088155c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088155c4: 8351fff0  adrp	x3, #0xfffffff007248000
0xfffffff0088155c8: 63101691  add	x3, x3, #0x584
0xfffffff0088155cc: 02008052  mov	w2, #0
0xfffffff0088155d0: d876ec97  bl	#0xfffffff008333130
0xfffffff0088155d4: 157d8012  mov	w21, #-0x3e9
0xfffffff0088155d8: 800e8052  mov	w0, #0x74
0xfffffff0088155dc: 01018052  mov	w1, #8
0xfffffff0088155e0: 7c980194  bl	#0xfffffff00887b7d0
0xfffffff0088155e4: 00050034  cbz	w0, #0xfffffff008815684
0xfffffff0088155e8: 800e8052  mov	w0, #0x74
0xfffffff0088155ec: 8b980194  bl	#0xfffffff00887b818
0xfffffff0088155f0: f70300aa  mov	x23, x0
0xfffffff0088155f4: ee7a0294  bl	#0xfffffff0088b41ac
0xfffffff0088155f8: f60300aa  mov	x22, x0
0xfffffff0088155fc: 00018052  mov	w0, #8
0xfffffff008815600: 94980194  bl	#0xfffffff00887b850
0xfffffff008815604: 97010034  cbz	w23, #0xfffffff008815634
0xfffffff008815608: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00881560c: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815610: 08951f91  add	x8, x8, #0x7e5
0xfffffff008815614: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008815618: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881561c: 880e8052  mov	w8, #0x74
0xfffffff008815620: e04fffd0  adrp	x0, #0xfffffff007213000
0xfffffff008815624: 00b43791  add	x0, x0, #0xded
0xfffffff008815628: f62300a9  stp	x22, x8, [sp]
0xfffffff00881562c: 8d87d697  bl	#0xfffffff007db7460
0xfffffff008815630: 15000014  b	#0xfffffff008815684
