; Candidate 8232
; ADRP+ADD at VM 0xfffffff00889df3c (fileoff 0x1899f3c): page=0x1fe94c000 add_imm=0xe80

0xfffffff00889debc: 1affff17  b	#0xfffffff00889db24
0xfffffff00889dec0: bb580094  bl	#0xfffffff0088b41ac
0xfffffff00889dec4: fb0300aa  mov	x27, x0
0xfffffff00889dec8: 00018052  mov	w0, #8
0xfffffff00889decc: 6176ff97  bl	#0xfffffff00887b850
0xfffffff00889ded0: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00889ded4: 091140f9  ldr	x9, [x8, #0x20]
0xfffffff00889ded8: 6a0240b9  ldr	w10, [x19]
0xfffffff00889dedc: 0b314229  ldp	w11, w12, [x8, #0x10]
0xfffffff00889dee0: 0d1940b9  ldr	w13, [x8, #0x18]
0xfffffff00889dee4: 0e2940b9  ldr	w14, [x8, #0x28]
0xfffffff00889dee8: 0f3940b9  ldr	w15, [x8, #0x38]
0xfffffff00889deec: 10c140b9  ldr	w16, [x8, #0xc0]
0xfffffff00889def0: 11b141b9  ldr	w17, [x8, #0x1b0]
0xfffffff00889def4: 01f941b9  ldr	w1, [x8, #0x1f8]
0xfffffff00889def8: f10708a9  stp	x17, x1, [sp, #0x80]
0xfffffff00889defc: ef4307a9  stp	x15, x16, [sp, #0x70]
0xfffffff00889df00: e93b06a9  stp	x9, x14, [sp, #0x60]
0xfffffff00889df04: ec3705a9  stp	x12, x13, [sp, #0x50]
0xfffffff00889df08: e82f04a9  stp	x8, x11, [sp, #0x40]
0xfffffff00889df0c: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff00889df10: a84c8052  mov	w8, #0x265
0xfffffff00889df14: a94bffb0  adrp	x9, #0xfffffff007212000
0xfffffff00889df18: 29a92f91  add	x9, x9, #0xbea
0xfffffff00889df1c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889df20: a84cff90  adrp	x8, #0xfffffff007231000
0xfffffff00889df24: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889df28: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889df2c: a80f8052  mov	w8, #0x7d
0xfffffff00889df30: 034efff0  adrp	x3, #0xfffffff007260000
0xfffffff00889df34: 63342e91  add	x3, x3, #0xb8d
0xfffffff00889df38: fb2300a9  stp	x27, x8, [sp]
0xfffffff00889df3c: 604aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00889df40: 00003a91  add	x0, x0, #0xe80
0xfffffff00889df44: 418bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00889df48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889df4c: 02008052  mov	w2, #0
0xfffffff00889df50: 7854ea97  bl	#0xfffffff008333130
0xfffffff00889df54: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00889df58: 00210591  add	x0, x8, #0x148
0xfffffff00889df5c: 01008052  mov	w1, #0
0xfffffff00889df60: 020c8052  mov	w2, #0x60
0xfffffff00889df64: 17bbd297  bl	#0xfffffff007d4cbc0
0xfffffff00889df68: a1035af8  ldur	x1, [x29, #-0x60]
0xfffffff00889df6c: e00313aa  mov	x0, x19
0xfffffff00889df70: ad030094  bl	#0xfffffff00889ee24
0xfffffff00889df74: e0040034  cbz	w0, #0xfffffff00889e010
0xfffffff00889df78: fc0300aa  mov	x28, x0
0xfffffff00889df7c: a00f8052  mov	w0, #0x7d
0xfffffff00889df80: 81008052  mov	w1, #4
0xfffffff00889df84: 1376ff97  bl	#0xfffffff00887b7d0
0xfffffff00889df88: e0150034  cbz	w0, #0xfffffff00889e244
0xfffffff00889df8c: fb031caa  mov	x27, x28
0xfffffff00889df90: a00f8052  mov	w0, #0x7d
0xfffffff00889df94: 2176ff97  bl	#0xfffffff00887b818
0xfffffff00889df98: fc0300aa  mov	x28, x0
0xfffffff00889df9c: 84580094  bl	#0xfffffff0088b41ac
0xfffffff00889dfa0: a08319f8  stur	x0, [x29, #-0x68]
0xfffffff00889dfa4: 80008052  mov	w0, #4
0xfffffff00889dfa8: 2a76ff97  bl	#0xfffffff00887b850
0xfffffff00889dfac: 3c0d0034  cbz	w28, #0xfffffff00889e150
0xfffffff00889dfb0: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00889dfb4: fc031baa  mov	x28, x27
0xfffffff00889dfb8: e9031caa  mov	x9, x28
